,log10_var,log10_left_bound,log10_right_bound
beta,0.36078268987328005,0.3561717861821213,0.364138937053308
gammam,-0.3624102141613001,-0.36498598543653316,-0.359578884363165
gammamRNA,-0.4594202834955457,-0.4643823532543435,-0.4565698532543435
gammad,-1.7530093007584502,-3.3010299956639813,-1.7383020878530115
alphaass,-1.2919191895317685,-1.29468513019766,-1.2843493505306058
alphadiss,0.436162647040756,0.4260957642857538,0.4386663944557553
phi0,-0.6192462291960998,-0.6219430139047012,-0.6160836389047012
f1,-1.1191292674675766,-1.3211759281888327,-0.714007985657823
f2,0.9884251700063033,0.8287323653478477,1.9407280373050568
f3,1.7468676278504294,1.7422320149326067,1.7587332077949407
f12,-0.530325227448202,-3.0,1.3921289004372484
f13,-2.519561852822183,-3.0,-0.7232125617102412
f23,0.9165065871151556,-3.0,2.0
f123,-2.7718563924022583,-3.0,1.417497998974334
kb1,-2.75448733218585,-2.789012551097215,-2.749844278150512
kb2,-2.419189027339054,-2.6506058992586494,0.019133043409545157
kb3,-0.03763066432997889,-0.04052360313434415,-0.025691422156170422
ku1,-1.2405588028663024,-1.2435253700426059,-1.2364176321603781
ku2,1.115943176939055,-1.1327697212620793,1.3477704813391322
ku3,1.6514718521990424,1.6407741807570528,1.654105696237716
bcoop12,0.4549972173094601,0.21834511243608618,1.1721421895865347
bcoop23,0.8929845507107167,0.6315882863965436,1.3010299956639813
bcoop13,0.5236164190543707,0.5057976064106369,0.5509473651070522
bcoop123,-0.5012760292520954,-0.7418270269619204,0.41043737007068554
ucoop12,-0.15782777061438424,-0.8767947949619823,0.04447477119374847
ucoop23,0.5707763687947482,-0.8732929944107168,0.8303587127209209
ucoop13,-0.37407050728370544,-0.3994170557941036,-0.3642554652742463
ucoop123,-0.9926790470772554,-1.3010299956639813,-0.7642041228979525
