,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,7.140000E+01,1.058581E-01,1.200308E+02,5.370000E+01,1.324204E-01,1.416524E+02,4.440000E+01,1.733363E-01,1.609803E+02,3.810000E+01,2.391652E-01,1.789363E+02,3.340000E+01,3.569006E-01,1.946536E+02
gammam,3.770000E+01,3.726958E-01,1.766722E+02,4.080000E+01,2.006150E-01,1.708270E+02,4.520000E+01,1.274515E-01,1.613241E+02,5.250000E+01,8.912230E-02,1.502731E+02,6.780000E+01,6.727811E-02,1.369272E+02
gammamRNA,3.420000E+01,3.635197E-01,1.956567E+02,3.830000E+01,2.412856E-01,1.794447E+02,4.380000E+01,1.741400E-01,1.613145E+02,5.240000E+01,1.324343E-01,1.422726E+02,6.950000E+01,1.049530E-01,1.215822E+02
gammad,4.060000E+01,1.987739E-01,1.754990E+02,4.060000E+01,1.989187E-01,1.753707E+02,4.060000E+01,1.992375E-01,1.751888E+02,4.060000E+01,2.000265E-01,1.746664E+02,4.060000E+01,2.019367E-01,1.735255E+02
alphaass,5.530000E+01,1.251088E-01,1.420079E+02,4.700000E+01,1.549055E-01,1.565677E+02,4.120000E+01,1.986551E-01,1.696131E+02,3.700000E+01,2.669818E-01,1.810568E+02,3.350000E+01,3.857693E-01,1.898214E+02
alphadiss,3.340000E+01,3.916447E-01,1.901057E+02,3.690000E+01,2.697394E-01,1.813715E+02,4.110000E+01,2.000780E-01,1.699500E+02,4.680000E+01,1.556611E-01,1.568681E+02,5.510000E+01,1.254962E-01,1.422605E+02
phi0,7.090000E+01,1.063445E-01,1.205831E+02,5.340000E+01,1.333839E-01,1.422436E+02,4.410000E+01,1.751560E-01,1.616941E+02,3.790000E+01,2.427537E-01,1.796996E+02,3.320000E+01,3.648468E-01,1.953074E+02
f1,4.070000E+01,2.055629E-01,1.712173E+02,4.050000E+01,2.118424E-01,1.709134E+02,4.030000E+01,2.356024E-01,1.696727E+02,3.920000E+01,3.373861E-01,1.646806E+02,3.510000E+01,1.007425E+00,1.389432E+02
f2,4.090000E+01,2.060124E-01,1.689674E+02,4.090000E+01,2.060106E-01,1.689465E+02,4.090000E+01,2.060101E-01,1.689682E+02,4.090000E+01,2.060041E-01,1.690272E+02,4.080000E+01,2.059540E-01,1.695281E+02
f3,7.090000E+01,3.397419E-01,5.829642E+01,5.590000E+01,2.621430E-01,9.281187E+01,4.740000E+01,2.238281E-01,1.273002E+02,4.160000E+01,2.068400E-01,1.636020E+02,3.710000E+01,2.113243E-01,2.023480E+02
f12,4.060000E+01,2.058113E-01,1.711704E+02,4.060000E+01,2.058358E-01,1.711726E+02,4.060000E+01,2.060032E-01,1.711864E+02,4.060000E+01,2.071514E-01,1.712231E+02,4.060000E+01,2.152886E-01,1.710912E+02
f13,4.060000E+01,2.058625E-01,1.711732E+02,4.060000E+01,2.065050E-01,1.712000E+02,4.060000E+01,2.086422E-01,1.712057E+02,4.070000E+01,2.159976E-01,1.710892E+02,4.060000E+01,2.443682E-01,1.708077E+02
f23,4.070000E+01,2.058903E-01,1.711609E+02,4.070000E+01,2.058754E-01,1.711602E+02,4.060000E+01,2.057804E-01,1.712183E+02,4.060000E+01,2.050444E-01,1.715930E+02,4.060000E+01,2.002302E-01,1.742078E+02
f123,4.060000E+01,2.057947E-01,1.712426E+02,4.060000E+01,2.057209E-01,1.712896E+02,4.070000E+01,2.053067E-01,1.715605E+02,4.080000E+01,2.031271E-01,1.730374E+02,4.150000E+01,1.940218E-01,1.815886E+02
kb1,4.060000E+01,2.069071E-01,1.723013E+02,4.000000E+01,1.725357E-01,1.242338E+02,3.970000E+01,1.572721E-01,8.053509E+01,3.980000E+01,1.585526E-01,4.311192E+01,4.020000E+01,2.053255E-01,1.548351E+01
kb2,4.330000E+01,2.649811E-01,2.361466E+02,4.240000E+01,2.427951E-01,2.166305E+02,4.080000E+01,2.085670E-01,1.755864E+02,3.870000E+01,1.863283E-01,1.228613E+02,3.520000E+01,1.997299E-01,7.806628E+01
kb3,7.240000E+01,2.102491E-01,1.192865E+02,5.670000E+01,1.904882E-01,1.442816E+02,4.840000E+01,1.871858E-01,1.593507E+02,4.280000E+01,1.959979E-01,1.684844E+02,3.870000E+01,2.217641E-01,1.729243E+02
ku1,9.310000E+01,3.086229E-02,1.285652E+02,7.280000E+01,4.442035E-02,1.384062E+02,5.810000E+01,6.854633E-02,1.491972E+02,4.760000E+01,1.154251E-01,1.608930E+02,3.980000E+01,2.252759E-01,1.724265E+02
ku2,3.360000E+01,2.250603E-01,6.769821E+01,3.670000E+01,1.887275E-01,9.112370E+01,3.860000E+01,1.856897E-01,1.213883E+02,4.000000E+01,1.970756E-01,1.553811E+02,4.120000E+01,2.172611E-01,1.878437E+02
ku3,3.880000E+01,2.204320E-01,1.728606E+02,4.280000E+01,1.957627E-01,1.683269E+02,4.840000E+01,1.874112E-01,1.592268E+02,5.680000E+01,1.909073E-01,1.441936E+02,7.240000E+01,2.106851E-01,1.193149E+02
bcoop12,4.380000E+01,3.514536E-01,2.244409E+02,4.360000E+01,3.365496E-01,2.210228E+02,4.290000E+01,3.052066E-01,2.128111E+02,4.180000E+01,2.555127E-01,1.959145E+02,4.050000E+01,2.017188E-01,1.686048E+02
bcoop23,4.310000E+01,2.783127E-01,2.357432E+02,4.290000E+01,2.744700E-01,2.332229E+02,4.260000E+01,2.653384E-01,2.268639E+02,4.210000E+01,2.471044E-01,2.128206E+02,4.120000E+01,2.201891E-01,1.878222E+02
bcoop13,4.060000E+01,2.009993E-01,1.696129E+02,4.080000E+01,1.302827E-01,1.341964E+02,4.140000E+01,9.411381E-02,1.018518E+02,4.260000E+01,7.266934E-02,7.383484E+01,4.470000E+01,5.970259E-02,5.062100E+01
bcoop123,4.330000E+01,3.331647E-01,2.160709E+02,4.290000E+01,3.096953E-01,2.103563E+02,4.200000E+01,2.674140E-01,1.977649E+02,4.080000E+01,2.138027E-01,1.754450E+02,3.970000E+01,1.664971E-01,1.449846E+02
