,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.141000E+02,3.120708E-01,6.284909E+01,8.900000E+01,4.018439E-01,8.216985E+01,7.600000E+01,5.645198E-01,9.846692E+01,6.760000E+01,8.868456E-01,1.114083E+02,6.080000E+01,1.743879E+00,1.145788E+02
gammam,6.110000E+01,1.381392E+00,1.192199E+02,6.340000E+01,6.433857E-01,1.220858E+02,6.690000E+01,3.933910E-01,1.158983E+02,7.320000E+01,2.738809E-01,1.072075E+02,8.640000E+01,2.079828E-01,9.655819E+01
gammamRNA,6.060000E+01,1.772878E+00,1.143957E+02,6.630000E+01,8.924148E-01,1.113447E+02,7.330000E+01,5.644158E-01,9.888535E+01,8.420000E+01,4.000922E-01,8.372562E+01,1.054000E+02,3.078219E-01,6.640542E+01
gammad,6.130000E+01,1.134314E+00,1.446870E+02,6.130000E+01,1.148924E+00,1.437812E+02,6.120000E+01,1.185285E+00,1.416119E+02,6.110000E+01,1.279381E+00,1.364432E+02,6.080000E+01,1.550810E+00,1.242738E+02
alphaass,1.076000E+02,2.585883E-01,8.131898E+01,8.460000E+01,3.343035E-01,9.853668E+01,7.330000E+01,4.672368E-01,1.111350E+02,6.650000E+01,7.293265E-01,1.193671E+02,6.160000E+01,1.436656E+00,1.181331E+02
alphadiss,6.160000E+01,1.433654E+00,1.181599E+02,6.640000E+01,7.295423E-01,1.193755E+02,7.330000E+01,4.678435E-01,1.111841E+02,8.450000E+01,3.349163E-01,9.866614E+01,1.071000E+02,2.590711E-01,8.158486E+01
phi0,1.131000E+02,3.135589E-01,6.336321E+01,8.860000E+01,4.042337E-01,8.251929E+01,7.590000E+01,5.681177E-01,9.871310E+01,6.740000E+01,8.928874E-01,1.115365E+02,6.080000E+01,1.758243E+00,1.145001E+02
f1,6.090000E+01,1.551088E+00,1.196084E+02,6.090000E+01,1.592284E+00,1.187980E+02,6.060000E+01,1.714578E+00,1.164547E+02,6.010000E+01,2.108602E+00,1.095298E+02,5.850000E+01,3.692590E+00,8.859891E+01
f2,6.060000E+01,1.816896E+00,1.135927E+02,6.060000E+01,1.816969E+00,1.135930E+02,6.060000E+01,1.817398E+00,1.135984E+02,6.060000E+01,1.820308E+00,1.136356E+02,6.050000E+01,1.840641E+00,1.138818E+02
f3,8.200000E+01,2.346092E+00,3.136960E+01,7.470000E+01,1.706053E+00,5.256486E+01,6.920000E+01,1.493640E+00,7.473623E+01,6.450000E+01,1.513052E+00,9.698244E+01,6.010000E+01,1.901937E+00,1.148295E+02
