,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.167000E+02,2.398270E-01,7.994098E+01,9.090000E+01,2.991603E-01,8.877110E+01,7.770000E+01,3.867269E-01,9.555242E+01,6.900000E+01,5.249069E-01,1.008161E+02,6.260000E+01,7.730131E-01,1.038997E+02
gammam,6.130000E+01,1.004448E+00,1.017865E+02,6.510000E+01,5.442151E-01,1.048803E+02,7.030000E+01,3.614827E-01,1.038614E+02,7.930000E+01,2.626195E-01,1.014983E+02,9.790000E+01,2.012509E-01,9.760575E+01
gammamRNA,5.780000E+01,1.255963E+00,1.025016E+02,6.420000E+01,6.851056E-01,1.033108E+02,7.220000E+01,4.526480E-01,9.845593E+01,8.460000E+01,3.266860E-01,9.135283E+01,1.086000E+02,2.489028E-01,8.202174E+01
gammad,6.270000E+01,7.504509E-01,1.075882E+02,6.270000E+01,7.529392E-01,1.071180E+02,6.260000E+01,7.589823E-01,1.059917E+02,6.260000E+01,7.739104E-01,1.033316E+02,6.270000E+01,8.113784E-01,9.730106E+01
alphaass,1.059000E+02,2.285224E-01,9.263405E+01,8.340000E+01,2.952227E-01,9.895269E+01,7.220000E+01,4.011982E-01,1.027475E+02,6.530000E+01,5.929173E-01,1.044137E+02,6.030000E+01,1.056751E+00,1.015373E+02
alphadiss,6.050000E+01,1.058193E+00,1.015331E+02,6.520000E+01,5.856984E-01,1.044328E+02,7.170000E+01,3.938217E-01,1.028071E+02,8.250000E+01,2.885610E-01,9.919791E+01,1.046000E+02,2.225248E-01,9.323065E+01
phi0,1.070000E+02,2.544126E-01,8.273618E+01,8.430000E+01,3.328113E-01,9.190537E+01,7.230000E+01,4.590849E-01,9.882999E+01,6.410000E+01,6.904807E-01,1.034025E+02,5.760000E+01,1.252739E+00,1.023218E+02
f1,6.660000E+01,2.681493E-01,1.155240E+02,6.660000E+01,2.745659E-01,1.153523E+02,6.630000E+01,2.974829E-01,1.147382E+02,6.540000E+01,3.879910E-01,1.124264E+02,6.190000E+01,9.076328E-01,1.011627E+02
f2,6.260000E+01,7.705968E-01,1.038790E+02,6.260000E+01,7.706077E-01,1.038823E+02,6.260000E+01,7.706890E-01,1.038890E+02,6.260000E+01,7.712241E-01,1.039241E+02,6.250000E+01,7.749257E-01,1.041745E+02
f3,1.039000E+02,6.274687E-01,4.330287E+01,8.460000E+01,5.984309E-01,6.306691E+01,7.350000E+01,6.195414E-01,8.066009E+01,6.570000E+01,6.970230E-01,9.688225E+01,5.940000E+01,9.106577E-01,1.102915E+02
