,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,3.024000E+02,1.991471E+00,1.392478E+01,2.400000E+02,2.130674E+00,1.876772E+01,2.034000E+02,2.557669E+00,2.217337E+01,1.770000E+02,3.363327E+00,2.387613E+01,1.562000E+02,4.945446E+00,2.306876E+01
gammam,1.717000E+02,4.361749E+00,2.149419E+01,1.953000E+02,2.818637E+00,2.249670E+01,2.243000E+02,2.104085E+00,2.085677E+01,2.651000E+02,1.745038E+00,1.756711E+01,3.419000E+02,1.651151E+00,1.277957E+01
gammamRNA,1.629000E+02,4.651051E+00,2.262883E+01,1.848000E+02,3.138434E+00,2.325965E+01,2.125000E+02,2.373194E+00,2.144195E+01,2.523000E+02,1.970437E+00,1.794613E+01,3.256000E+02,1.859015E+00,1.292908E+01
gammad,2.021000E+02,2.390530E+00,2.387997E+01,2.021000E+02,2.428087E+00,2.353314E+01,2.023000E+02,2.514380E+00,2.277421E+01,2.027000E+02,2.723012E+00,2.113046E+01,2.032000E+02,3.299819E+00,1.762018E+01
alphaass,3.354000E+02,1.858358E+00,1.260314E+01,2.593000E+02,1.920751E+00,1.756067E+01,2.184000E+02,2.269127E+00,2.103904E+01,1.899000E+02,2.959838E+00,2.290362E+01,1.671000E+02,4.380779E+00,2.231549E+01
alphadiss,1.646000E+02,4.657954E+00,2.196889E+01,1.875000E+02,3.058401E+00,2.296169E+01,2.160000E+02,2.304737E+00,2.124702E+01,2.567000E+02,1.928016E+00,1.779598E+01,3.319000E+02,1.846446E+00,1.280486E+01
phi0,3.053000E+02,1.993331E+00,1.373645E+01,2.400000E+02,2.130290E+00,1.876224E+01,2.025000E+02,2.575567E+00,2.225320E+01,1.756000E+02,3.432528E+00,2.391048E+01,1.544000E+02,5.174860E+00,2.283538E+01
f1,2.024000E+02,2.576066E+00,2.225861E+01,2.021000E+02,2.594211E+00,2.222213E+01,2.012000E+02,2.648571E+00,2.211224E+01,1.985000E+02,2.818745E+00,2.176279E+01,1.903000E+02,3.434191E+00,2.047278E+01
f2,2.030000E+02,2.585741E+00,2.208345E+01,2.029000E+02,2.585665E+00,2.208484E+01,2.029000E+02,2.585148E+00,2.209459E+01,2.027000E+02,2.581645E+00,2.216071E+01,2.012000E+02,2.558669E+00,2.260955E+01
f3,2.425000E+02,2.741687E+00,1.465258E+01,2.130000E+02,2.540990E+00,2.016136E+01,1.895000E+02,2.719545E+00,2.474329E+01,1.686000E+02,3.314441E+00,2.777256E+01,1.485000E+02,4.834302E+00,2.752353E+01
f12,2.024000E+02,2.574048E+00,2.224840E+01,2.025000E+02,2.574236E+00,2.224909E+01,2.025000E+02,2.575495E+00,2.225368E+01,2.023000E+02,2.584185E+00,2.228483E+01,2.010000E+02,2.648257E+00,2.248568E+01
f13,2.024000E+02,2.576588E+00,2.225757E+01,2.022000E+02,2.592984E+00,2.223282E+01,2.016000E+02,2.641454E+00,2.215863E+01,1.996000E+02,2.791871E+00,2.191875E+01,1.935000E+02,3.339762E+00,2.096488E+01
f23,2.024000E+02,2.576991E+00,2.225552E+01,2.024000E+02,2.576652E+00,2.225719E+01,2.024000E+02,2.574346E+00,2.226836E+01,2.026000E+02,2.558738E+00,2.234457E+01,2.036000E+02,2.456872E+00,2.285972E+01
f123,2.024000E+02,2.577058E+00,2.225355E+01,2.025000E+02,2.575400E+00,2.226721E+01,2.027000E+02,2.566036E+00,2.234457E+01,2.038000E+02,2.513700E+00,2.278814E+01,2.103000E+02,2.239794E+00,2.549203E+01
kb1,2.012000E+02,2.567967E+00,2.516713E+01,2.027000E+02,2.587209E+00,2.156078E+01,2.038000E+02,2.701863E+00,1.803775E+01,2.045000E+02,2.950457E+00,1.459534E+01,2.051000E+02,3.436924E+00,1.117046E+01
kb2,2.028000E+02,2.894941E+00,2.280198E+01,2.027000E+02,2.780908E+00,2.266310E+01,2.022000E+02,2.475224E+00,2.197585E+01,2.002000E+02,1.995558E+00,1.944865E+01,1.924000E+02,1.765543E+00,1.372668E+01
kb3,2.592000E+02,2.871034E+00,1.406187E+01,2.230000E+02,2.544097E+00,1.920886E+01,1.971000E+02,2.620173E+00,2.298608E+01,1.761000E+02,3.032138E+00,2.513631E+01,1.570000E+02,4.086249E+00,2.461467E+01
ku1,3.418000E+02,6.901217E-01,7.709048E+00,3.072000E+02,6.221686E-01,1.242396E+01,2.783000E+02,7.141719E-01,1.652792E+01,2.532000E+02,9.737553E-01,2.004996E+01,2.232000E+02,1.703974E+00,2.248246E+01
ku2,1.955000E+02,1.629468E+00,1.185202E+01,2.006000E+02,1.663435E+00,1.712455E+01,2.024000E+02,2.027037E+00,2.047778E+01,2.024000E+02,2.459188E+00,2.199377E+01,2.025000E+02,2.735478E+00,2.255790E+01
ku3,1.705000E+02,4.116615E+00,2.202613E+01,1.908000E+02,2.896538E+00,2.297060E+01,2.123000E+02,2.414671E+00,2.125574E+01,2.379000E+02,2.282147E+00,1.796936E+01,2.742000E+02,2.512325E+00,1.337508E+01
bcoop12,2.016000E+02,2.927261E+00,2.250322E+01,2.019000E+02,2.766987E+00,2.243232E+01,2.027000E+02,2.461564E+00,2.209997E+01,2.041000E+02,2.020813E+00,2.101467E+01,2.051000E+02,1.585353E+00,1.854637E+01
