,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,6.770000E+01,3.734065E+00,2.695915E+01,6.320000E+01,4.365304E+00,2.636531E+01,5.950000E+01,5.170880E+00,2.531055E+01,5.630000E+01,6.223622E+00,2.375936E+01,5.370000E+01,7.608701E+00,2.175564E+01
gammam,5.710000E+01,6.849500E+00,2.143999E+01,5.950000E+01,5.676038E+00,2.344641E+01,6.240000E+01,4.779233E+00,2.506741E+01,6.560000E+01,4.085025E+00,2.630301E+01,6.930000E+01,3.533981E+00,2.719251E+01
gammamRNA,5.460000E+01,8.047530E+00,2.020304E+01,5.750000E+01,6.270752E+00,2.291863E+01,6.120000E+01,4.977941E+00,2.504759E+01,6.560000E+01,4.046852E+00,2.649608E+01,7.120000E+01,3.350204E+00,2.733003E+01
gammad,6.960000E+01,3.399952E+00,2.824188E+01,6.950000E+01,3.413077E+00,2.817556E+01,6.930000E+01,3.445158E+00,2.801456E+01,6.890000E+01,3.524804E+00,2.762422E+01,6.800000E+01,3.730405E+00,2.666749E+01
alphaass,6.920000E+01,3.564556E+00,2.707303E+01,6.420000E+01,4.218590E+00,2.644447E+01,6.010000E+01,5.074737E+00,2.527388E+01,5.670000E+01,6.230709E+00,2.350707E+01,5.380000E+01,7.789638E+00,2.118370E+01
alphadiss,5.350000E+01,7.972873E+00,2.094703E+01,5.660000E+01,6.254469E+00,2.346936E+01,6.030000E+01,5.015632E+00,2.536030E+01,6.480000E+01,4.117418E+00,2.656212E+01,7.040000E+01,3.442397E+00,2.714351E+01
phi0,6.790000E+01,3.711317E+00,2.697413E+01,6.350000E+01,4.319108E+00,2.641768E+01,5.990000E+01,5.088934E+00,2.542593E+01,5.670000E+01,6.086908E+00,2.396906E+01,5.400000E+01,7.385597E+00,2.205455E+01
f1,6.920000E+01,3.525818E+00,2.731780E+01,6.910000E+01,3.549933E+00,2.726020E+01,6.860000E+01,3.622352E+00,2.708724E+01,6.720000E+01,3.848465E+00,2.654771E+01,6.350000E+01,4.649685E+00,2.467095E+01
f2,6.850000E+01,3.646299E+00,2.696642E+01,6.850000E+01,3.646375E+00,2.696682E+01,6.850000E+01,3.646957E+00,2.696940E+01,6.850000E+01,3.650974E+00,2.698848E+01,6.800000E+01,3.678755E+00,2.711493E+01
f3,7.140000E+01,3.401152E+00,2.679735E+01,6.500000E+01,4.024073E+00,2.705400E+01,5.980000E+01,4.920540E+00,2.643844E+01,5.530000E+01,6.260074E+00,2.475928E+01,5.160000E+01,8.266137E+00,2.200475E+01
f12,6.850000E+01,3.650598E+00,2.699794E+01,6.840000E+01,3.650781E+00,2.699873E+01,6.840000E+01,3.652032E+00,2.700144E+01,6.840000E+01,3.660535E+00,2.701986E+01,6.780000E+01,3.721799E+00,2.713886E+01
f13,7.680000E+01,2.665825E+00,2.930754E+01,7.650000E+01,2.690917E+00,2.925327E+01,7.580000E+01,2.762479E+00,2.909686E+01,7.350000E+01,2.977385E+00,2.861287E+01,6.790000E+01,3.737396E+00,2.681187E+01
f23,6.840000E+01,3.656280E+00,2.700564E+01,6.840000E+01,3.655679E+00,2.700768E+01,6.840000E+01,3.651598E+00,2.702168E+01,6.850000E+01,3.623966E+00,2.711699E+01,6.960000E+01,3.445474E+00,2.774796E+01
f123,6.840000E+01,3.646729E+00,2.700335E+01,6.840000E+01,3.648619E+00,2.700448E+01,6.840000E+01,3.658823E+00,2.701098E+01,6.820000E+01,3.715260E+00,2.704209E+01,6.670000E+01,4.074902E+00,2.710349E+01
kb1,5.730000E+01,6.359919E+00,3.467474E+01,6.310000E+01,4.400699E+00,3.387321E+01,6.730000E+01,3.740117E+00,2.937901E+01,6.920000E+01,3.691577E+00,2.366500E+01,6.890000E+01,4.253812E+00,1.745734E+01
kb2,6.680000E+01,3.972684E+00,2.637729E+01,9.160000E+01,1.811913E+00,2.885594E+01,1.480000E+02,9.659533E-01,2.461260E+01,1.849000E+02,7.404035E-01,1.763600E+01,1.531000E+02,8.766192E-01,1.028952E+01
kb3,7.030000E+01,3.492057E+00,2.698804E+01,6.540000E+01,3.963094E+00,2.687680E+01,6.110000E+01,4.604727E+00,2.617382E+01,5.740000E+01,5.507346E+00,2.475798E+01,5.410000E+01,6.814704E+00,2.255349E+01
ku1,4.765000E+02,4.443406E-01,2.258389E+01,3.538000E+02,5.265812E-01,2.480380E+01,2.673000E+02,6.818233E-01,2.697187E+01,1.362000E+02,1.161436E+00,2.907493E+01,7.930000E+01,2.531350E+00,2.908892E+01
ku2,1.485000E+02,9.263178E-01,1.072021E+01,1.803000E+02,7.673636E-01,1.773985E+01,1.477000E+02,9.677869E-01,2.438237E+01,9.470000E+01,1.708190E+00,2.866370E+01,6.920000E+01,3.510054E+00,2.728859E+01
ku3,5.630000E+01,6.456748E+00,2.270026E+01,5.950000E+01,5.210778E+00,2.490286E+01,6.310000E+01,4.379824E+00,2.626377E+01,6.700000E+01,3.804366E+00,2.692053E+01,7.140000E+01,3.391030E+00,2.702335E+01
bcoop12,6.040000E+01,6.138056E+00,2.191417E+01,6.620000E+01,4.095146E+00,2.607341E+01,7.490000E+01,2.795446E+00,2.868198E+01,8.800000E+01,1.951445E+00,2.959754E+01,1.089000E+02,1.385053E+00,2.908014E+01
bcoop23,5.900000E+01,7.024541E+00,2.018490E+01,6.170000E+01,5.501783E+00,2.302263E+01,6.520000E+01,4.330104E+00,2.551009E+01,6.950000E+01,3.459959E+00,2.743881E+01,7.500000E+01,2.799643E+00,2.881261E+01
bcoop13,9.830000E+01,1.676634E+00,2.760599E+01,1.791000E+02,8.774695E-01,2.219539E+01,2.466000E+02,6.788849E-01,1.672928E+01,2.923000E+02,6.347872E-01,1.175562E+01,3.672000E+02,6.825255E-01,7.304295E+00
