,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.727000E+02,1.415325E+00,2.032975E+01,1.429000E+02,1.534652E+00,2.900961E+01,1.248000E+02,1.897168E+00,3.522761E+01,1.114000E+02,2.625726E+00,3.837054E+01,9.990000E+01,4.310882E+00,3.595091E+01
gammam,1.062000E+02,3.303509E+00,3.750078E+01,1.157000E+02,1.968560E+00,3.944748E+01,1.262000E+02,1.398366E+00,3.635314E+01,1.406000E+02,1.115541E+00,3.047744E+01,1.660000E+02,1.015087E+00,2.194065E+01
gammamRNA,1.006000E+02,4.350417E+00,3.557264E+01,1.117000E+02,2.543246E+00,3.849385E+01,1.248000E+02,1.791159E+00,3.537158E+01,1.425000E+02,1.423785E+00,2.896938E+01,1.736000E+02,1.307590E+00,1.977843E+01
gammad,1.079000E+02,2.886655E+00,3.954897E+01,1.079000E+02,2.905393E+00,3.923884E+01,1.079000E+02,2.951236E+00,3.849711E+01,1.081000E+02,3.065235E+00,3.675149E+01,1.083000E+02,3.361306E+00,3.278946E+01
alphaass,1.771000E+02,1.322736E+00,1.963641E+01,1.450000E+02,1.407154E+00,2.884065E+01,1.267000E+02,1.731803E+00,3.526966E+01,1.134000E+02,2.400805E+00,3.855089E+01,1.021000E+02,3.989761E+00,3.621422E+01
alphadiss,1.024000E+02,3.927311E+00,3.637733E+01,1.135000E+02,2.391283E+00,3.854079E+01,1.266000E+02,1.733665E+00,3.529599E+01,1.446000E+02,1.410858E+00,2.899237E+01,1.755000E+02,1.319640E+00,2.000989E+01
phi0,1.763000E+02,1.419841E+00,1.946617E+01,1.445000E+02,1.518487E+00,2.849005E+01,1.257000E+02,1.870177E+00,3.495513E+01,1.118000E+02,2.585084E+00,3.832666E+01,1.002000E+02,4.242606E+00,3.612144E+01
f1,1.079000E+02,2.951527E+00,3.844852E+01,1.078000E+02,2.985388E+00,3.826956E+01,1.075000E+02,3.080178E+00,3.777391E+01,1.066000E+02,3.357822E+00,3.636819E+01,1.043000E+02,4.290665E+00,3.213640E+01
f2,1.080000E+02,2.952115E+00,3.838154E+01,1.080000E+02,2.952215E+00,3.838302E+01,1.079000E+02,2.952878E+00,3.839111E+01,1.079000E+02,2.957435E+00,3.844813E+01,1.072000E+02,2.989660E+00,3.882524E+01
f3,1.362000E+02,3.048296E+00,1.894443E+01,1.225000E+02,2.709489E+00,2.799594E+01,1.118000E+02,2.811238E+00,3.585889E+01,1.022000E+02,3.336502E+00,4.135120E+01,9.280000E+01,4.835017E+00,4.112723E+01
f12,1.104000E+02,1.634531E+00,4.324423E+01,1.104000E+02,1.634875E+00,4.324351E+01,1.104000E+02,1.637229E+00,4.323805E+01,1.104000E+02,1.653510E+00,4.320283E+01,1.102000E+02,1.775243E+00,4.289996E+01
