,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,5.940000E+01,2.726813E+00,3.814813E+01,5.510000E+01,3.352278E+00,3.620867E+01,5.190000E+01,4.148835E+00,3.373481E+01,4.940000E+01,5.229215E+00,3.062341E+01,4.740000E+01,6.851786E+00,2.660380E+01
gammam,4.850000E+01,7.190022E+00,2.494836E+01,5.030000E+01,5.380923E+00,2.946284E+01,5.230000E+01,4.236532E+00,3.296198E+01,5.500000E+01,3.418646E+00,3.580028E+01,5.860000E+01,2.792953E+00,3.811306E+01
gammamRNA,4.730000E+01,8.432602E+00,2.286084E+01,4.890000E+01,6.215338E+00,2.762517E+01,5.070000E+01,4.880363E+00,3.122228E+01,5.300000E+01,3.944148E+00,3.412672E+01,5.590000E+01,3.234664E+00,3.651801E+01
gammad,5.690000E+01,3.011858E+00,3.771770E+01,5.690000E+01,3.019071E+00,3.759778E+01,5.690000E+01,3.036575E+00,3.731026E+01,5.690000E+01,3.079100E+00,3.662609E+01,5.710000E+01,3.182837E+00,3.502448E+01
alphaass,5.680000E+01,3.062950E+00,3.711291E+01,5.340000E+01,3.759800E+00,3.479893E+01,5.080000E+01,4.683150E+00,3.191427E+01,4.860000E+01,6.011102E+00,2.827001E+01,4.690000E+01,8.252868E+00,2.334020E+01
alphadiss,4.730000E+01,7.719915E+00,2.438561E+01,4.890000E+01,5.790607E+00,2.882850E+01,5.100000E+01,4.583259E+00,3.220774E+01,5.360000E+01,3.721246E+00,3.492216E+01,5.680000E+01,3.060262E+00,3.712221E+01
phi0,5.670000E+01,3.069699E+00,3.709693E+01,5.300000E+01,3.817557E+00,3.475115E+01,5.020000E+01,4.817023E+00,3.176977E+01,4.790000E+01,6.278936E+00,2.793607E+01,4.610000E+01,8.850562E+00,2.260949E+01
f1,5.700000E+01,3.027784E+00,3.718810E+01,5.290000E+01,3.679897E+00,3.629257E+01,4.960000E+01,4.571785E+00,3.445195E+01,4.690000E+01,5.928489E+00,3.130706E+01,4.460000E+01,8.463178E+00,2.592821E+01
f2,5.700000E+01,3.035331E+00,3.717994E+01,5.700000E+01,3.035456E+00,3.718013E+01,5.690000E+01,3.036360E+00,3.717858E+01,5.690000E+01,3.042357E+00,3.717586E+01,5.650000E+01,3.083613E+00,3.714707E+01
f3,4.792000E+02,3.504751E-01,4.832962E+01,3.164000E+02,4.134324E-01,4.846583E+01,2.309000E+02,5.314568E-01,4.866848E+01,1.182000E+02,8.876128E-01,4.893009E+01,6.080000E+01,2.382369E+00,4.121428E+01
f12,5.690000E+01,3.045008E+00,3.717388E+01,5.690000E+01,3.044260E+00,3.718028E+01,5.700000E+01,3.039191E+00,3.722467E+01,5.710000E+01,3.005125E+00,3.752964E+01,5.770000E+01,2.791606E+00,3.959440E+01
f13,5.730000E+01,2.953933E+00,3.762394E+01,5.720000E+01,2.970041E+00,3.754390E+01,5.710000E+01,3.020669E+00,3.729304E+01,5.640000E+01,3.187280E+00,3.648341E+01,5.460000E+01,3.831649E+00,3.355614E+01
f23,5.690000E+01,3.044911E+00,3.717390E+01,5.690000E+01,3.045210E+00,3.717297E+01,5.690000E+01,3.047170E+00,3.716312E+01,5.680000E+01,3.060639E+00,3.709523E+01,5.650000E+01,3.155538E+00,3.662540E+01
f123,5.700000E+01,2.994395E+00,3.739616E+01,5.700000E+01,2.998213E+00,3.737903E+01,5.700000E+01,3.016650E+00,3.729827E+01,5.680000E+01,3.107607E+00,3.690140E+01,5.580000E+01,3.610243E+00,3.479683E+01
kb1,5.770000E+01,2.938995E+00,3.758059E+01,5.460000E+01,3.423507E+00,3.568926E+01,5.210000E+01,4.067599E+00,3.319402E+01,5.000000E+01,4.996105E+00,2.990865E+01,4.820000E+01,6.536058E+00,2.539864E+01
kb2,5.260000E+01,4.770647E+00,3.137159E+01,5.520000E+01,3.531569E+00,3.560727E+01,6.160000E+01,2.275970E+00,3.807692E+01,7.010000E+01,1.761415E+00,2.992687E+01,8.400000E+01,1.608896E+00,1.525125E+01
kb3,5.520000E+01,3.862657E+00,3.831265E+01,5.780000E+01,2.770995E+00,3.533458E+01,5.920000E+01,2.418643E+00,2.877361E+01,5.990000E+01,2.366929E+00,2.137410E+01,5.990000E+01,2.619401E+00,1.404645E+01
ku1,4.830000E+01,6.554712E+00,2.536961E+01,5.000000E+01,4.996957E+00,2.992488E+01,5.220000E+01,4.070066E+00,3.320161E+01,5.470000E+01,3.431655E+00,3.566539E+01,5.760000E+01,2.953223E+00,3.752316E+01
ku2,3.172000E+02,4.746664E-01,1.098140E+01,2.084000E+02,5.407347E-01,2.559891E+01,1.002000E+02,1.068712E+00,3.944416E+01,5.960000E+01,2.562246E+00,3.899534E+01,5.290000E+01,4.489356E+00,3.194523E+01
ku3,1.595000E+02,1.172617E+00,1.533065E+01,1.239000E+02,1.171020E+00,2.494198E+01,1.016000E+02,1.211183E+00,3.245599E+01,8.520000E+01,1.341728E+00,3.831922E+01,6.770000E+01,1.895950E+00,4.066489E+01
