,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,2.451000E+02,7.044822E-01,3.893465E+01,1.827000E+02,9.052626E-01,4.373015E+01,1.496000E+02,1.222816E+00,4.640650E+01,1.264000E+02,1.782645E+00,4.671413E+01,1.071000E+02,3.012996E+00,4.299116E+01
gammam,1.187000E+02,2.674992E+00,4.092965E+01,1.395000E+02,1.581873E+00,4.436407E+01,1.643000E+02,1.098640E+00,4.412363E+01,2.014000E+02,8.265878E-01,4.176241E+01,2.804000E+02,6.546183E-01,3.727709E+01
gammamRNA,1.065000E+02,3.381734E+00,4.120954E+01,1.261000E+02,1.888473E+00,4.605769E+01,1.491000E+02,1.262020E+00,4.618158E+01,1.816000E+02,9.199735E-01,4.373513E+01,2.425000E+02,7.087569E-01,3.912087E+01
gammad,2.193000E+02,7.082368E-01,4.506563E+01,2.199000E+02,7.089990E-01,4.483443E+01,2.211000E+02,7.108225E-01,4.427994E+01,2.244000E+02,7.151159E-01,4.296876E+01,2.329000E+02,7.248191E-01,3.995111E+01
alphaass,2.605000E+02,6.800634E-01,3.815457E+01,1.920000E+02,8.638718E-01,4.254391E+01,1.573000E+02,1.153807E+00,4.483450E+01,1.334000E+02,1.667135E+00,4.492638E+01,1.133000E+02,2.826610E+00,4.122028E+01
alphadiss,1.136000E+02,2.886436E+00,4.083188E+01,1.334000E+02,1.696568E+00,4.471458E+01,1.565000E+02,1.172860E+00,4.478118E+01,1.898000E+02,8.778247E-01,4.267823E+01,2.528000E+02,6.908696E-01,3.857948E+01
phi0,2.553000E+02,6.888240E-01,3.831741E+01,1.861000E+02,8.860297E-01,4.343221E+01,1.512000E+02,1.198959E+00,4.630559E+01,1.273000E+02,1.752221E+00,4.676120E+01,1.075000E+02,2.972739E+00,4.313507E+01
f1,3.104000E+02,4.332839E-01,3.636851E+01,3.096000E+02,4.347743E-01,3.640126E+01,3.066000E+02,4.411514E-01,3.653832E+01,2.948000E+02,4.693800E-01,3.709377E+01,2.536000E+02,6.159106E-01,3.899127E+01
f2,2.418000E+02,7.242986E-01,3.844524E+01,2.418000E+02,7.243002E-01,3.844681E+01,2.418000E+02,7.243108E-01,3.845669E+01,2.412000E+02,7.243838E-01,3.852761E+01,2.381000E+02,7.248924E-01,3.900670E+01
f3,2.616000E+02,7.016935E-01,3.623959E+01,1.951000E+02,7.938554E-01,4.610304E+01,1.590000E+02,9.564442E-01,5.396049E+01,1.331000E+02,1.258831E+00,5.934170E+01,1.108000E+02,1.960774E+00,5.994773E+01
f12,2.338000E+02,7.259931E-01,3.964403E+01,2.338000E+02,7.259708E-01,3.964678E+01,2.337000E+02,7.258187E-01,3.966589E+01,2.337000E+02,7.247843E-01,3.979572E+01,2.333000E+02,7.178495E-01,4.069463E+01
f13,2.339000E+02,7.229333E-01,3.968823E+01,2.336000E+02,7.274506E-01,3.968463E+01,2.324000E+02,7.430614E-01,3.966913E+01,2.285000E+02,7.993899E-01,3.959685E+01,2.124000E+02,1.042975E+00,3.898982E+01
f23,2.337000E+02,7.256529E-01,3.968663E+01,2.337000E+02,7.256332E-01,3.968839E+01,2.338000E+02,7.254977E-01,3.970035E+01,2.337000E+02,7.245785E-01,3.978274E+01,2.337000E+02,7.183752E-01,4.035005E+01
f123,2.337000E+02,7.259982E-01,3.962303E+01,2.337000E+02,7.259352E-01,3.963487E+01,2.337000E+02,7.255574E-01,3.970448E+01,2.339000E+02,7.232558E-01,4.012820E+01,2.354000E+02,7.081684E-01,4.292832E+01
