,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.374000E+02,3.999949E-01,4.420670E+01,1.054000E+02,4.596434E-01,5.124758E+01,8.890000E+01,5.413393E-01,5.739947E+01,7.800000E+01,6.571656E-01,6.271948E+01,6.960000E+01,8.327459E-01,6.701343E+01
gammam,7.320000E+01,9.113678E-01,6.306919E+01,8.170000E+01,6.348582E-01,6.051207E+01,9.220000E+01,4.857599E-01,5.644760E+01,1.080000E+02,3.940222E-01,5.139784E+01,1.419000E+02,3.339590E-01,4.533435E+01
gammamRNA,7.170000E+01,8.939524E-01,6.496698E+01,7.990000E+01,6.570686E-01,6.158037E+01,9.020000E+01,5.158884E-01,5.692073E+01,1.057000E+02,4.233378E-01,5.136772E+01,1.371000E+02,3.598022E-01,4.489601E+01
gammad,8.420000E+01,5.343699E-01,6.213372E+01,8.430000E+01,5.364103E-01,6.198023E+01,8.430000E+01,5.413869E-01,6.160627E+01,8.450000E+01,5.536679E-01,6.071701E+01,8.500000E+01,5.848073E-01,5.863108E+01
alphaass,1.417000E+02,3.808935E-01,4.447833E+01,1.074000E+02,4.399145E-01,5.122013E+01,9.040000E+01,5.239243E-01,5.693824E+01,7.940000E+01,6.490228E-01,6.168579E+01,7.100000E+01,8.528717E-01,6.518420E+01
alphadiss,7.070000E+01,8.617693E-01,6.526739E+01,7.910000E+01,6.540035E-01,6.181470E+01,9.000000E+01,5.270381E-01,5.710196E+01,1.067000E+02,4.419782E-01,5.141309E+01,1.400000E+02,3.822883E-01,4.470742E+01
phi0,1.383000E+02,3.990957E-01,4.407295E+01,1.053000E+02,4.599838E-01,5.127881E+01,8.860000E+01,5.439897E-01,5.755758E+01,7.750000E+01,6.642261E-01,6.296207E+01,6.910000E+01,8.491191E-01,6.727305E+01
f1,1.429000E+02,5.728491E-01,3.284795E+01,1.109000E+02,5.496612E-01,4.313448E+01,9.420000E+01,5.537142E-01,5.230310E+01,8.310000E+01,5.826852E-01,6.079507E+01,7.440000E+01,6.481660E-01,6.864475E+01
f2,8.600000E+01,5.709887E-01,5.836306E+01,8.600000E+01,5.709909E-01,5.836326E+01,8.600000E+01,5.710211E-01,5.836996E+01,8.600000E+01,5.712008E-01,5.840996E+01,8.560000E+01,5.724602E-01,5.869507E+01
f3,8.490000E+01,5.765683E-01,5.925358E+01,8.480000E+01,5.826590E-01,5.922970E+01,8.440000E+01,6.040581E-01,5.914165E+01,8.300000E+01,6.839380E-01,5.879593E+01,7.700000E+01,1.061211E+00,5.673991E+01
f12,8.330000E+01,8.804442E-01,5.037752E+01,8.330000E+01,8.802004E-01,5.038144E+01,8.330000E+01,8.785751E-01,5.041215E+01,8.340000E+01,8.676812E-01,5.061682E+01,8.390000E+01,8.006581E-01,5.199866E+01
f13,8.540000E+01,4.989781E-01,5.902872E+01,8.540000E+01,5.005711E-01,5.903637E+01,8.540000E+01,5.058507E-01,5.905575E+01,8.530000E+01,5.239397E-01,5.912198E+01,8.470000E+01,5.948781E-01,5.929263E+01
f23,8.490000E+01,5.750506E-01,5.925969E+01,8.490000E+01,5.750794E-01,5.925977E+01,8.490000E+01,5.752819E-01,5.925721E+01,8.490000E+01,5.766812E-01,5.926262E+01,8.480000E+01,5.864276E-01,5.927836E+01
f123,8.490000E+01,5.751138E-01,5.925436E+01,8.490000E+01,5.749924E-01,5.926821E+01,8.490000E+01,5.743165E-01,5.934756E+01,8.520000E+01,5.706210E-01,5.980304E+01,8.650000E+01,5.546593E-01,6.254237E+01
