,log10_var,log10_left_bound,log10_right_bound
beta,1.1740598077250255,1.1461627976961926,1.3190206630813792
gammam,-0.205581669125859,-0.3120097110243859,-0.17667174690503512
gammamRNA,0.3944516808262163,0.25191122938527166,0.42756760453103254
gammad,-1.6940041172291953,-3.3010299956639813,-1.0
alphaass,-0.5565805382171827,-0.6157832895793685,-0.317424838201987
alphadiss,1.6010817277840232,1.3629398024202015,1.6584592350428817
phi0,-0.17476867680009986,-0.2068528211532231,-0.03251153234383777
f1,0.3199384399803086,-3.0,0.6447940931872411
f2,1.039017321997412,-3.0,2.0
f3,1.708675792726537,1.6580943144843574,1.9499286518748737
f12,-1.5744657795017365,-3.0,2.0
f13,-1.9321854888381598,-3.0,0.4371098691824893
f23,-0.8853890157678268,-3.0,2.0
f123,-0.6064247967304125,-3.0,1.6512888699686852
kb1,-2.9010103605988227,-3.0,-2.427182210501866
kb2,-1.4358075393738021,-3.0,0.5740056599278653
kb3,-0.35723879673467956,-0.4114360479735192,-0.14085164156567576
ku1,-1.3872161432802645,-1.9664883828356394,-1.0915931805006374
ku2,2.0993352776859577,0.12572952387816755,3.0
ku3,1.3318320444362486,1.1138313149662986,1.3872204335858263
bcoop12,1.1414497734004674,-1.3010299956639813,1.3010299956639813
bcoop23,1.153814864344529,-1.3010299956639813,1.3010299956639813
bcoop13,0.2848817146554529,-0.14566853482579972,1.185919448205984
bcoop123,-0.785421046429501,-1.3010299956639813,1.3010299956639813
ucoop12,0.5286596452349899,-1.3010299956639813,1.3010299956639813
ucoop23,0.8314858392486574,-1.3010299956639813,1.3010299956639813
ucoop13,-0.6126101736612706,-1.3010299956639813,-0.2724905341913528
ucoop123,-1.2768728412043084,-1.3010299956639813,1.3010299956639813
