,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,fm,fd,Km,Kd,kbm,kbd,DNAtot,taum,taumRNA
28,7.43E+00,1.54E-01,1.81E-01,8.71E-04,6.18E-02,7.86E+00,1.36E-02,9.89E+01,9.32E+01,8.20E-05,8.15E-03,3.86E-02,3.76E+00,1.00E+00,0.00E+00,0.00E+00
29,5.02E-01,2.41E-01,4.80E-01,1.08E-02,4.28E-02,3.34E+01,3.82E+00,2.84E+00,5.30E+01,2.77E-04,8.72E-03,1.69E-02,1.07E-02,1.00E+00,0.00E+00,0.00E+00
30,1.21E+00,2.50E-01,1.45E+00,2.34E-02,3.37E-01,6.66E+00,2.34E+00,2.76E-01,5.63E+01,6.30E-04,1.70E-03,1.29E-03,1.46E-02,1.00E+00,0.00E+00,0.00E+00
31,5.22E-02,3.66E-01,1.09E+00,7.49E-04,6.45E-02,2.82E-02,7.83E+00,1.06E+01,2.47E+01,1.14E-04,4.65E-03,7.39E-03,2.38E-02,1.00E+00,0.00E+00,0.00E+00
32,7.93E+00,1.17E-01,1.95E+00,5.68E-04,9.64E-02,5.64E-01,5.48E-02,1.00E+01,4.28E+01,1.19E-04,5.32E-03,3.33E-02,1.46E-03,1.00E+00,0.00E+00,0.00E+00
33,1.60E+00,7.83E-02,1.57E+00,7.77E-03,2.37E-02,7.56E-01,3.76E-01,2.46E-03,9.01E+01,9.49E-05,2.31E-03,3.01E-02,1.42E+00,1.00E+00,0.00E+00,0.00E+00
34,6.08E-01,7.47E-02,2.33E-01,6.25E-04,5.25E-01,7.39E+01,1.55E-01,4.71E-01,7.66E+01,3.93E-03,9.23E-03,3.43E-01,6.31E-03,1.00E+00,0.00E+00,0.00E+00
35,3.77E+00,5.30E-01,1.45E+00,5.31E-03,4.21E-01,1.75E+02,4.14E+00,4.55E-03,4.66E+01,5.55E-03,6.88E-03,3.71E-03,3.42E+00,1.00E+00,0.00E+00,0.00E+00
36,6.39E-01,2.13E-01,3.66E-02,7.00E-03,1.63E-02,3.39E+02,1.25E+00,7.47E+00,4.22E+01,4.64E-06,7.40E-03,2.11E-03,3.61E-02,1.00E+00,0.00E+00,0.00E+00
37,1.10E+01,2.73E-01,4.94E-02,2.81E-03,1.40E-02,1.66E+01,1.74E-02,1.39E+01,6.54E+01,1.04E-05,1.13E-02,1.05E-03,2.43E-03,1.00E+00,0.00E+00,0.00E+00
38,1.81E+01,1.51E-01,3.98E-01,2.16E-03,3.68E-02,1.65E+00,2.98E-02,1.69E-03,3.13E+01,2.48E-03,3.90E-03,9.31E-02,1.85E-02,1.00E+00,0.00E+00,0.00E+00
39,7.27E-02,3.95E-02,2.58E-02,1.78E-03,2.22E-02,9.33E+02,5.29E+00,4.38E-02,1.86E+01,9.15E-06,4.08E-03,1.07E-03,4.04E-03,1.00E+00,0.00E+00,0.00E+00
40,1.31E-02,3.57E-02,1.92E-02,8.20E-03,5.88E-01,7.42E+01,1.55E+00,1.38E-01,4.11E+01,5.61E-05,1.29E-03,2.79E-02,3.61E-02,1.00E+00,0.00E+00,0.00E+00
41,5.10E-01,5.20E-02,6.20E-03,1.36E-03,2.17E-01,6.20E+01,1.04E-02,9.68E-02,3.78E+01,2.04E-04,4.16E-03,4.69E-02,8.20E-01,1.00E+00,0.00E+00,0.00E+00
42,2.33E+01,1.31E-01,2.25E+00,6.21E-04,1.24E-01,3.39E-01,2.13E-02,9.84E-01,3.31E+01,1.95E-05,6.39E-03,1.47E-03,1.83E-03,1.00E+00,0.00E+00,0.00E+00
43,4.48E-02,4.77E-02,1.89E-02,6.30E-03,2.13E-01,1.80E+01,5.16E-01,5.92E-03,3.85E+01,1.11E-03,1.21E-03,3.32E-03,6.99E-01,1.00E+00,0.00E+00,0.00E+00
44,6.25E-01,3.90E-01,3.08E-02,1.55E-03,9.94E-02,1.80E-01,2.77E-02,1.16E+00,3.15E+01,3.55E-03,6.52E-03,1.04E+00,1.45E-03,1.00E+00,0.00E+00,0.00E+00
45,1.49E+00,6.42E-01,2.61E-03,3.06E-03,3.38E-02,7.26E+00,1.12E-02,4.81E-02,4.21E+01,4.69E-05,8.92E-03,3.73E-02,4.91E-03,1.00E+00,0.00E+00,0.00E+00
46,4.14E+01,8.46E-01,2.58E+00,5.51E-04,1.91E-02,2.56E-01,2.62E-01,1.42E-03,2.36E+01,2.04E-04,5.45E-03,6.66E-02,4.50E-03,1.00E+00,0.00E+00,0.00E+00
47,4.71E-01,4.49E-01,6.90E-02,1.71E-02,4.25E-02,8.31E-01,2.55E-01,4.53E-01,5.40E+01,8.23E-05,4.49E-03,1.25E-03,1.64E-03,1.00E+00,0.00E+00,0.00E+00
48,1.43E-01,2.32E-01,3.19E+00,1.30E-03,4.47E-01,1.20E+01,9.27E+00,1.05E+00,9.08E+01,2.82E-03,8.20E-03,2.30E+00,7.51E-03,1.00E+00,0.00E+00,0.00E+00
49,5.76E-01,3.08E-03,5.72E+00,1.13E-03,1.41E-02,5.39E+00,7.83E-01,3.29E+00,5.79E+01,2.31E-05,2.58E-03,1.17E-03,7.51E-01,1.00E+00,0.00E+00,0.00E+00
50,1.10E+01,1.41E-01,3.58E-01,5.28E-04,2.19E-02,9.36E+02,1.68E+00,1.37E-01,4.15E+01,7.59E-04,3.92E-03,5.43E-02,1.14E-02,1.00E+00,0.00E+00,0.00E+00
51,3.28E+01,3.02E-01,6.80E+00,5.89E-02,5.25E-01,1.02E+02,1.12E+00,1.09E+00,4.74E+01,7.71E-04,3.63E-03,3.59E-01,1.09E+00,1.00E+00,0.00E+00,0.00E+00
52,1.42E-02,1.62E-01,1.08E-03,7.54E-02,3.63E-02,7.13E+01,4.31E-01,2.62E-01,5.62E+01,1.14E-05,6.10E-03,1.26E-03,8.59E-02,1.00E+00,0.00E+00,0.00E+00
53,7.59E-01,6.24E-03,5.08E-01,2.07E-03,1.05E-02,1.44E+02,2.23E-01,6.90E-03,7.81E+01,8.50E-05,6.54E-03,1.24E-03,1.70E-03,1.00E+00,0.00E+00,0.00E+00
54,4.63E-01,1.05E-01,3.72E-02,4.41E-03,1.47E-02,1.96E+01,1.25E-01,1.97E-03,7.57E+01,2.60E-04,8.46E-03,1.15E-01,7.41E-03,1.00E+00,0.00E+00,0.00E+00
55,3.33E-01,9.70E-02,2.80E-02,1.24E-03,8.64E-01,8.04E+00,2.90E-02,1.09E-03,4.04E+01,1.92E-03,3.01E-03,3.32E-01,1.12E+00,1.00E+00,0.00E+00,0.00E+00
56,1.02E+02,3.15E-02,2.14E-01,3.36E-03,2.67E-02,2.83E+02,1.66E-02,4.98E-02,1.50E+01,1.37E-05,3.31E-03,1.31E-02,1.62E-01,1.00E+00,0.00E+00,0.00E+00
57,9.32E-02,2.73E-02,2.39E-02,1.39E-03,1.98E-01,5.86E+00,4.07E-02,4.54E+00,4.08E+01,3.27E-05,5.34E-03,6.80E-03,8.79E-01,1.00E+00,0.00E+00,0.00E+00
58,3.12E+00,5.44E-01,6.41E-01,1.83E-03,3.40E-01,7.88E-01,1.21E-01,1.53E+00,5.44E+01,7.94E-03,4.51E-03,1.11E-01,2.05E-01,1.00E+00,0.00E+00,0.00E+00
59,5.12E-01,9.74E-01,2.39E-03,7.32E-03,8.08E-01,7.91E+01,2.42E-02,1.06E-02,6.28E+01,1.84E-03,6.23E-03,2.34E-02,9.62E-03,1.00E+00,0.00E+00,0.00E+00
