,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA3_min,DNA3_max,DNA12_min,DNA12_max,DNA23_min,DNA23_max,DNA13_min,DNA13_max,DNA123_min,DNA123_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
13,12.32,0.1616,3.129,0.07163,0.06455,125.3,0.8087,0.002049,3.243,72.56,8.756,0.04299,0.4762,0.00624,0.001021,0.01508,0.05777,0.03333,51.72,2.824,2.145,1.042,5.516,0.8287,0.5231,0.1319,2.627,0.2673,1,0,0,297.2,0.1766,0.9612,0.02209,0.04436,4.62E-05,0.004612,0.003254,0.3198,1.81E-05,0.003499,4.12E-07,0.01012,0.002445,0.4873,9.87E-06,0.1611,0.2493,6.095,19.98,335.6,0.2057,57.98,TRUE,1
14,0.6565,0.9855,0.4984,0.00462,0.2444,10.58,2.636,0.008406,0.06061,66.59,0.8857,0.08643,9.856,0.00234,0.001074,0.0022,0.3664,0.03506,7.542,17.91,1.304,0.9662,13.98,2.073,0.3181,0.1223,6.658,0.6686,1,0,0,118.6,0.07586,0.884,0.01673,0.6067,1.21E-05,0.005476,0.0008475,0.3868,4.99E-05,0.004319,9.71E-08,9.76E-08,0.006759,0.5729,4.61E-06,0.312,2.758,131.3,1.908,69.38,0.08574,111.1,FALSE,1
15,2.282,0.4306,0.5772,0.00224,0.02235,0.7326,0.2191,53.36,0.06885,0.004763,6.514,0.2104,4.652,0.1156,0.03411,0.002358,0.002102,1.114,8.084,0.1028,1.251,0.5071,6.132,0.175,0.3051,0.06419,2.92,0.05644,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
16,80.92,0.7459,0.4732,0.008431,0.01684,3.998,0.03973,0.003913,11.43,64.85,0.0399,0.03899,23.25,0.02689,0.001099,0.002167,0.03984,0.03589,7.43,1.947,2.772,0.4114,3.185,1.052,0.6762,0.05207,1.517,0.3394,1,0,0,115.9,0.0591,0.8551,0.01357,0.4467,1.06E-05,0.006036,0.0008763,0.4313,0.002185,0.002251,4.78E-08,0.03367,0.01493,0.6012,4.37E-05,0.3833,0.03845,2.269,4.336,202,0.08636,171.3,TRUE,1
17,0.4255,0.941,0.2997,0.02887,0.03815,5.244,2.834,0.02072,92.24,85.24,0.0707,0.8117,0.09917,0.1353,0.001212,0.05005,12.21,0.03956,171.6,597,3.831,0.4394,0.1072,0.1627,0.9345,0.05562,0.05107,0.05247,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
18,7.97,0.6758,0.3576,0.001912,0.04331,107.8,1.379,0.005201,36.39,67.41,6.18,0.002685,3.856,0.005792,0.00108,0.008934,0.3308,0.03528,30.63,16.17,19.97,0.88,0.979,0.3249,4.87,0.1114,0.4662,0.1048,1,0,0,59.7,0.01655,0.6596,0.007775,0.667,2.70E-05,0.004948,0.001835,0.368,0.0001469,0.00456,2.64E-07,0.02964,0.0199,0.6445,3.56E-05,0.5419,1.956,76.96,23.62,755.6,0.2243,229.4,FALSE,1
19,119.3,0.3611,9.316,0.002116,0.06513,174.8,0.6211,1.833,0.395,66.04,1.998,0.7607,2.736,0.2094,0.001166,0.1338,0.1382,0.03807,458.6,6.753,4.528,1.016,13.48,0.1939,1.104,0.1286,6.421,0.06254,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
20,8.03,0.6664,4.804,0.002725,0.3064,177.5,5.761,0.3504,0.001344,41.49,0.03283,0.2566,0.002659,0.04232,0.001799,0.001172,0.2771,0.05875,4.018,13.55,0.5887,2.894,0.1901,0.7584,0.1436,0.3664,0.0905,0.2446,1,0,0,104.3,0.259,0.919,0.04287,0.04924,7.21E-05,0.003586,0.004678,0.2654,7.89E-05,0.003417,3.47E-06,0.005223,0.00941,0.4609,0.0001321,0.0267,1.137,13.78,14.12,148.3,0.3444,37.96,TRUE,1
21,70.08,0.5272,6.338,0.001575,0.01172,0.9322,0.277,0.001816,0.02398,39.15,0.06633,0.00212,1.967,0.001447,0.00193,0.01658,0.2196,0.06301,56.86,10.74,1.708,0.8655,0.5244,1.244,0.4165,0.1096,0.2497,0.4013,1,0,0,130.2,0.3217,0.9129,0.04579,0.2809,0.0001562,0.00289,0.01096,0.2024,7.89E-05,0.00273,4.49E-06,0.002909,0.01063,0.3705,7.54E-05,0.06346,0.05279,0.3663,7.201,44.65,0.6649,24.86,FALSE,1
22,6.345,0.5906,0.8756,0.008614,0.01691,887.1,5.234,0.02686,0.009419,99.61,42.06,0.002199,34.91,0.05356,0.004247,0.1827,3.953,0.1387,626.6,193.2,0.7719,9.437,2.113,0.4001,0.1883,1.195,1.006,0.1291,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
