,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f12,kb1,ku1,kb2,ku2,bcoop,ucoop,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA12_min,DNA12_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1909,70.2,0.06302,9.202,0.05686,0.4449,118.8,0.02081,53.04,0.002362,0.03374,6.709,1.41,0.10800000000000001,0.0181,12.65,0.07893,1,0,0,142.3,0.08409,0.159,0.013580000000000002,0.03456,0.01624,0.04952,0.7825,0.8731,0.001962,0.004483,2.3680000000000003,4.2989999999999995,0.02101,0.06914,False,0.0
1910,5.518,0.9493,1.475,0.0030269999999999997,0.02792,5.035,0.519,74.31,0.001377,0.06659,17.95,10.78,0.02598,0.01008,3.176,0.1974,1,0,0,65.6,0.013090000000000001,0.3608,0.001428,0.2729,0.005547,0.7258,0.07766,0.9085,0.0987,6.6979999999999995,0.6147,31.46,0.0041659999999999996,5.435,False,0.0
1911,2.226,0.05708,1.56,0.002176,0.01365,1.7369999999999999,0.193,99.1,0.006682,0.06486,0.5567,3.745,0.0164,0.01383,2.952,0.09772,1,0,0,150.4,0.1232,0.1868,0.01626,0.026000000000000002,0.131,0.2017,0.604,0.7155,0.223,0.344,9.244,12.41,0.6718,1.206,False,1.0
1912,35.3,0.672,3.611,0.0192,0.031219999999999998,688.2,0.5591,0.114,56.5,0.001072,0.1826,0.02253,4.916,1.41,15.08,0.6988,1,0,0,69.8,0.141,0.698,0.0018219999999999998,0.1866,0.02737,0.5895,0.040369999999999996,0.7217,0.08442000000000001,1.6740000000000002,4.582,77.63,0.0009747,0.2731,False,0.0
1913,1.148,0.6164,0.4843,0.0005081,0.0492,252.9,1.9040000000000001,0.01335,51.83,0.0020039999999999997,0.01008,0.07381,19.76,40.05,7.785,0.3905,1,0,0,314.3,0.1438,0.9765,0.0043619999999999996,0.4029,0.004917,0.009108,0.001766,0.6527,3.9610000000000003,76.65,7.507999999999999,134.6,0.01102,3.525,False,1.0
1914,35.21,0.7338,3.676,0.0107,0.03263,150.3,1.018,0.6303,26.52,0.030639999999999997,0.013880000000000002,0.1131,2.006,8.013,0.1481,0.06411,1,0,0,,,,,,,,,,,,,,,,False,1.0
1915,1.909,0.5497,1.008,0.000997,0.821,19.86,0.2837,1.63,63.11,0.01047,0.003971,0.012969999999999999,0.08735,0.5661,17.84,0.2222,1,0,0,258.8,0.3346,0.7545,0.006299,0.1093,0.01884,0.2708,0.1544,0.5662,0.3632,2.0780000000000003,1.301,6.893,0.07035,1.962,False,1.0
1916,14.49,0.153,1.6369999999999998,0.009124,0.027719999999999998,25.32,0.1762,75.41,1.5390000000000001,0.0022530000000000002,2.471,17.78,0.007320999999999999,0.03092,4.088,0.05831,1,0,0,92.8,0.061579999999999996,0.4347,0.004686999999999999,0.1418,0.01097,0.3043,0.4014,0.8815,0.09613,1.168,11.6,81.74,0.14800000000000002,7.311,False,1.0
1917,3.072,0.2346,0.4016,0.005488,0.02203,5.711,0.06379,82.08,0.2712,0.01042,3.1,7.829,0.08879,0.01599,0.05069,5.641,1,0,0,163.5,0.1209,0.7251,0.003317,0.1501,0.2579,0.8079999999999999,2.5e-05,0.005458,0.14300000000000002,1.963,1.9709999999999999,23.14,0.016130000000000002,2.061,False,1.0
1918,1.443,0.5284,1.168,0.0015660000000000001,0.012490000000000001,1.081,0.5304,0.1121,29.0,0.016980000000000002,0.1418,0.016280000000000003,4.239,0.6920000000000001,3.365,0.08997999999999999,1,0,0,106.2,0.1132,0.2298,0.024669999999999997,0.08696,0.030389999999999997,0.1324,0.6252,0.7856,0.4183,1.215,1.168,3.2460000000000004,0.02037,0.1128,False,0.0
