,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA
14,1.46E+00,1.67E-01,2.97E-02,1.39E-03,2.29E-02,1.40E+02,5.43E-01,3.43E-01,8.57E-01,1.73E-01,6.47E-03,7.19E-01,9.07E-03,1.43E+01,1.26E-01,2.65E-01,8.67E-02,4.12E+00,9.09E+02,4.24E+00,1.48E+00,1.27E+00,3.31E+00,4.06E-01,3.61E-01,1.61E-01,1.58E+00,1.31E-01,1.00E+00,0.00E+00,0.00E+00
15,1.49E-01,7.46E-03,2.18E+00,1.13E-03,3.63E-01,2.09E+02,2.66E+00,2.53E-02,1.23E+01,9.82E-02,5.47E-01,1.22E-03,4.60E+01,3.60E+01,1.60E-03,2.14E-01,3.35E-01,5.21E-02,7.33E+02,1.64E+01,4.28E+00,1.84E+00,2.94E+00,2.15E+00,1.04E+00,2.33E-01,1.40E+00,6.93E-01,1.00E+00,0.00E+00,0.00E+00
16,3.30E+01,2.08E-02,3.16E-01,1.15E-03,7.41E-02,4.42E+02,2.55E-02,2.50E-01,4.46E-03,6.48E-02,8.13E+01,7.78E-03,1.36E+01,1.83E+01,2.10E+00,3.39E-02,1.20E-01,6.86E+01,1.16E+02,5.86E+00,1.89E+00,6.60E+00,1.15E-01,5.27E+00,4.61E-01,8.35E-01,5.48E-02,1.70E+00,1.00E+00,0.00E+00,0.00E+00
17,2.43E-01,4.42E-02,1.54E-02,1.22E-03,1.32E-01,2.46E+02,4.34E-02,9.47E-01,9.19E+00,2.10E+00,4.92E-01,3.89E-03,9.69E-03,8.52E+01,2.48E-02,1.28E-01,3.33E-01,8.10E-01,4.38E+02,1.63E+01,6.28E+00,6.13E+00,9.38E+00,8.36E+00,1.53E+00,7.76E-01,4.47E+00,2.70E+00,1.00E+00,0.00E+00,0.00E+00
18,2.44E-02,5.92E-03,2.75E-02,2.33E-03,1.02E-02,1.89E+01,1.61E-01,1.17E-03,6.34E-02,1.44E+01,1.88E+00,4.68E-03,1.85E+00,7.40E+01,6.59E-01,6.85E-02,1.22E+00,2.15E+01,2.35E+02,5.95E+01,2.19E+00,9.10E+00,8.95E+00,3.83E+00,5.35E-01,1.15E+00,4.26E+00,1.23E+00,1.00E+00,0.00E+00,0.00E+00
19,2.50E-02,6.53E-01,4.37E-01,7.88E-04,2.78E-01,5.02E-02,2.31E+00,2.45E-03,6.93E+00,2.44E+00,7.78E-02,1.76E-02,3.88E+00,6.94E+01,3.38E+00,5.35E-03,2.98E-02,1.11E+02,1.83E+01,1.46E+00,4.18E+00,1.78E+01,1.22E+01,5.86E+00,1.02E+00,2.25E+00,5.81E+00,1.89E+00,1.00E+00,0.00E+00,0.00E+00
20,1.03E-01,4.02E-02,4.43E-03,1.19E-02,5.57E-02,6.61E+01,3.76E-02,6.38E+00,4.04E+00,1.05E+00,3.75E-02,9.54E-02,2.24E-03,6.24E+01,3.69E-02,2.14E-03,1.31E-03,1.21E+00,7.35E+00,6.39E-02,4.16E-01,2.02E+00,9.04E-01,1.67E+01,1.02E-01,2.56E-01,4.30E-01,5.39E+00,1.00E+00,0.00E+00,0.00E+00
21,3.99E-01,2.41E-02,1.49E-01,1.61E-02,1.03E-02,1.25E+02,5.21E-01,2.65E-01,3.63E+01,4.95E-01,1.07E-01,1.15E+01,2.77E-01,6.70E+01,2.99E+00,2.86E-01,7.50E-02,9.75E+01,9.80E+02,3.66E+00,4.70E+00,1.32E+00,2.83E-01,1.80E+00,1.15E+00,1.66E-01,1.35E-01,5.79E-01,1.00E+00,0.00E+00,0.00E+00
22,6.03E-02,1.56E-02,1.83E-02,2.22E-03,1.53E-02,2.70E-01,2.51E-02,2.03E-03,4.56E+00,9.02E+00,3.93E-01,2.31E-03,9.55E+00,5.97E+01,2.64E-03,5.41E-03,4.59E+00,8.63E-02,1.85E+01,2.25E+02,4.39E-01,7.31E-01,3.91E-01,3.20E+00,1.07E-01,9.25E-02,1.86E-01,1.03E+00,1.00E+00,0.00E+00,0.00E+00
23,4.40E-01,1.69E-01,1.27E+00,4.70E-03,2.65E-01,1.47E+00,2.84E+00,4.73E-02,5.82E-01,3.96E-02,3.48E+00,1.06E-02,1.19E-03,1.85E+01,5.23E-03,1.52E-01,8.17E+00,1.71E-01,5.20E+02,3.99E+02,1.15E+00,6.27E-01,1.56E-01,2.66E-01,2.80E-01,7.93E-02,7.43E-02,8.58E-02,1.00E+00,0.00E+00,0.00E+00
