,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA
61,9.20E-01,1.26E-03,9.96E-02,1.01E-03,2.13E-02,8.06E+02,4.52E-02,1.74E-02,2.14E-03,4.01E-01,6.10E-01,3.63E-03,1.81E-03,2.10E+01,5.45E-02,2.59E-02,1.88E-01,1.78E+00,8.88E+01,9.17E+00,2.46E+00,6.16E-01,1.31E-01,8.29E+00,6.00E-01,7.79E-02,6.22E-02,2.68E+00,1.00E+00,0.00E+00,0.00E+00
62,5.07E-02,2.86E-01,2.48E-02,4.95E-02,3.98E-02,2.50E+01,2.09E+00,1.15E+01,4.68E-03,3.23E+00,7.86E-02,4.32E-02,4.69E-03,6.66E+01,1.67E-02,3.40E-03,1.93E-03,5.44E-01,1.17E+01,9.42E-02,2.22E-01,6.08E-01,1.19E+00,2.56E-01,5.42E-02,7.70E-02,5.68E-01,8.25E-02,1.00E+00,0.00E+00,0.00E+00
63,1.98E+01,1.76E-01,3.15E-02,9.85E-03,3.01E-02,2.70E+02,2.15E-02,6.57E+00,3.86E-03,1.91E-03,5.19E-01,1.13E-01,4.53E+00,3.73E+01,2.08E-02,4.22E-03,2.02E-03,6.78E-01,1.45E+01,9.86E-02,3.73E+00,4.89E+00,2.66E-01,1.89E-01,9.10E-01,6.19E-01,1.27E-01,6.10E-02,1.00E+00,0.00E+00,0.00E+00
64,2.43E+00,4.64E-01,3.08E+00,5.05E-04,9.47E-02,4.64E-01,3.89E+00,2.67E-01,2.33E+01,3.37E-01,1.43E+01,4.59E-01,2.26E+01,9.94E+00,1.37E-03,5.85E-03,5.48E-02,4.49E-02,2.01E+01,2.68E+00,2.07E+00,4.61E-01,5.91E+00,1.62E+01,5.05E-01,5.84E-02,2.81E+00,5.22E+00,1.00E+00,0.00E+00,0.00E+00
65,4.86E-01,3.32E-01,3.52E-03,5.25E-02,1.73E-01,5.83E+02,1.25E-01,3.27E-02,3.13E+00,1.68E-03,1.46E-02,1.13E+00,2.91E-03,3.65E+01,2.39E+00,1.91E-02,1.81E-03,7.81E+01,6.53E+01,8.83E-02,1.18E+00,7.43E+00,1.08E-01,4.01E-01,2.88E-01,9.41E-01,5.14E-02,1.29E-01,1.00E+00,0.00E+00,0.00E+00
66,2.45E-01,1.88E-01,2.60E-01,3.66E-03,1.88E-01,3.80E-03,7.43E-02,5.86E-01,6.42E-02,3.26E-01,3.16E+01,3.46E-01,3.09E-03,8.49E+01,6.70E-02,9.76E-03,3.82E-01,2.19E+00,3.35E+01,1.87E+01,1.10E+01,3.36E+00,2.76E+00,6.21E-01,2.68E+00,4.26E-01,1.32E+00,2.01E-01,1.00E+00,0.00E+00,0.00E+00
67,1.52E-01,6.51E-03,3.90E-02,2.74E-03,2.10E-02,7.62E+00,7.20E-02,1.90E-02,8.32E-02,1.64E-02,8.57E-01,4.06E-02,3.06E-03,2.67E+01,2.19E-03,1.60E-03,2.80E-02,7.15E-02,5.49E+00,1.37E+00,1.88E+00,3.43E+00,1.58E+01,3.89E-01,4.58E-01,4.35E-01,7.54E+00,1.26E-01,1.00E+00,0.00E+00,0.00E+00
68,1.25E+01,5.10E-03,4.83E+00,5.01E-04,9.00E-02,6.48E+01,2.40E-02,1.49E-03,1.88E+00,2.03E-03,9.01E-03,1.21E+01,2.28E-01,7.29E+01,1.63E+01,1.55E-02,1.33E-03,5.32E+02,5.33E+01,6.48E-02,1.04E+01,1.51E+00,2.04E+00,2.66E-01,2.53E+00,1.91E-01,9.70E-01,8.59E-02,1.00E+00,0.00E+00,0.00E+00
69,6.77E-02,1.20E-01,8.65E-03,4.51E-03,3.11E-01,1.64E+01,1.76E-01,4.27E+00,8.90E-01,4.18E-02,1.32E-01,2.88E-02,8.56E-03,2.21E+01,2.77E-01,1.67E-01,1.33E-01,9.03E+00,5.74E+02,6.50E+00,5.76E+00,9.77E-01,2.52E+00,5.47E-01,1.40E+00,1.24E-01,1.20E+00,1.77E-01,1.00E+00,0.00E+00,0.00E+00
70,3.27E+01,9.22E-01,1.91E+00,1.27E-02,1.36E-01,8.90E+01,6.20E+00,3.35E-02,4.54E-01,2.42E-01,6.63E-03,1.79E-03,5.10E-03,6.80E+00,1.95E+01,1.94E-01,1.37E-01,6.38E+02,6.63E+02,6.67E+00,1.70E+01,8.10E+00,6.88E+00,1.37E+01,4.15E+00,1.03E+00,3.28E+00,4.43E+00,1.00E+00,0.00E+00,0.00E+00
71,1.84E+00,1.58E-03,3.82E+00,2.10E-03,5.25E-01,2.03E+02,7.53E-02,9.34E-02,6.35E-03,5.12E-02,9.96E+01,1.75E+00,4.11E+01,1.00E+02,1.71E-03,1.73E-03,3.29E-01,5.60E-02,5.94E+00,1.61E+01,2.34E+00,2.32E+00,7.96E+00,1.80E+00,5.71E-01,2.94E-01,3.79E+00,5.82E-01,1.00E+00,0.00E+00,0.00E+00
72,1.21E+00,1.58E-02,2.17E-02,5.25E-03,1.38E-02,3.26E+01,2.06E-02,2.65E-02,6.69E+01,6.83E-02,3.36E-01,1.51E-03,6.87E-01,2.55E+01,6.75E-03,1.55E-03,2.64E+00,2.20E-01,5.31E+00,1.29E+02,3.21E-01,1.30E+00,8.97E+00,7.97E+00,7.83E-02,1.65E-01,4.27E+00,2.57E+00,1.00E+00,0.00E+00,0.00E+00
73,2.14E+00,6.15E-01,3.11E+00,3.63E-02,1.91E-02,4.28E-02,2.97E+00,1.02E-01,3.70E+01,4.61E+00,6.55E-02,6.28E-01,5.65E+01,4.42E+01,9.50E+00,6.78E-03,9.25E-01,3.10E+02,2.32E+01,4.52E+01,1.86E+00,1.15E+00,1.37E+00,4.84E+00,4.52E-01,1.45E-01,6.54E-01,1.56E+00,1.00E+00,0.00E+00,0.00E+00
74,2.72E-02,6.08E-02,2.82E-03,5.69E-02,1.51E-02,6.32E+02,1.95E+00,3.44E-02,1.14E-01,7.73E-02,5.12E+00,2.76E+00,4.90E+01,2.27E+01,2.02E+01,2.13E-01,2.11E+00,6.60E+02,7.31E+02,1.03E+02,1.69E+01,5.88E-01,1.67E-01,1.46E+01,4.13E+00,7.44E-02,7.97E-02,4.71E+00,1.00E+00,0.00E+00,0.00E+00
75,3.21E-01,3.01E-02,1.19E+00,1.39E-03,2.19E-01,7.58E+02,4.23E+00,1.13E+00,2.43E+01,1.94E-02,2.19E+01,1.19E-03,3.61E+01,4.68E+01,2.37E-02,2.53E-02,2.46E-01,7.73E-01,8.66E+01,1.20E+01,2.87E-01,6.52E-01,1.32E+00,2.19E+00,7.01E-02,8.26E-02,6.27E-01,7.07E-01,1.00E+00,0.00E+00,0.00E+00
76,1.13E+00,1.17E-01,2.28E-01,7.84E-03,4.85E-02,2.99E-02,2.99E-02,2.63E+00,3.88E+01,7.26E-01,1.34E+00,3.47E-03,1.32E-02,9.00E+01,3.40E-03,1.68E-02,3.64E-01,1.11E-01,5.77E+01,1.78E+01,6.78E-01,3.00E+00,3.79E-01,5.04E-01,1.65E-01,3.80E-01,1.80E-01,1.62E-01,1.00E+00,0.00E+00,0.00E+00
77,2.72E+00,4.26E-02,2.55E-01,9.23E-04,2.88E-02,5.39E+02,7.37E-01,2.95E-01,7.06E-03,1.31E-01,3.66E-01,5.00E-01,5.46E-02,2.13E+01,5.22E-02,6.54E-03,2.11E-01,1.71E+00,2.24E+01,1.03E+01,3.10E+00,5.17E-01,8.28E-01,7.53E-01,7.56E-01,6.55E-02,3.94E-01,2.43E-01,1.00E+00,0.00E+00,0.00E+00
78,2.80E+01,5.37E-01,1.54E-02,9.35E-03,4.79E-01,1.43E+02,2.49E-02,3.23E-02,1.05E+00,1.93E-02,1.71E+01,4.98E-02,2.45E+00,6.30E+00,6.05E-01,1.62E-02,1.58E+00,1.98E+01,5.56E+01,7.74E+01,2.11E-01,1.14E+01,4.29E-01,3.01E+00,5.14E-02,1.44E+00,2.04E-01,9.71E-01,1.00E+00,0.00E+00,0.00E+00
79,4.47E+00,6.67E-01,7.22E-02,5.53E-03,9.75E-02,4.81E+01,1.05E-01,3.20E+00,3.69E+00,7.58E-01,5.47E-02,1.29E-03,1.06E-03,6.61E+01,7.97E-01,5.83E-02,1.91E+01,2.60E+01,2.00E+02,9.34E+02,7.54E-01,9.04E-01,1.27E+00,2.90E-01,1.84E-01,1.14E-01,6.05E-01,9.36E-02,1.00E+00,0.00E+00,0.00E+00
80,5.36E+00,6.18E-02,1.30E+00,1.18E-02,3.19E-02,1.17E+01,2.10E-01,7.48E+00,1.04E-02,6.29E-02,1.92E-03,8.64E-02,1.17E+00,6.07E+01,2.26E-01,2.51E-03,4.15E-03,7.39E+00,8.62E+00,2.03E-01,1.52E+00,5.91E+00,6.84E+00,1.99E+00,3.72E-01,7.48E-01,3.26E+00,6.43E-01,1.00E+00,0.00E+00,0.00E+00
81,3.07E-01,4.43E-01,1.34E-03,1.03E-03,1.48E-02,1.01E+00,1.76E-02,6.17E-01,4.07E-02,1.71E-01,3.53E-02,6.28E-03,2.11E-02,2.66E+01,3.52E-01,1.51E-02,1.41E-02,1.15E+01,5.16E+01,6.90E-01,1.43E+00,1.04E+01,7.88E+00,1.22E+01,3.48E-01,1.32E+00,3.75E+00,3.93E+00,1.00E+00,0.00E+00,0.00E+00
82,1.06E+02,2.96E-02,8.83E-01,2.44E-03,2.55E-02,7.75E+00,1.57E-02,6.30E-03,6.06E-01,2.20E-01,4.00E-03,1.80E-02,1.78E-02,9.36E+00,5.89E-03,9.45E-02,3.66E-03,1.92E-01,3.24E+02,1.79E-01,1.00E+01,1.15E+01,4.24E-01,2.61E+00,2.45E+00,1.46E+00,2.02E-01,8.41E-01,1.00E+00,0.00E+00,0.00E+00
83,1.71E+00,2.41E-01,1.37E-03,4.96E-02,5.25E-02,1.87E+02,1.64E-02,4.14E-03,1.31E+01,2.28E-03,3.06E-01,5.50E-02,1.96E+00,2.31E+01,4.62E-03,3.27E-02,4.26E-02,1.51E-01,1.12E+02,2.08E+00,2.61E+00,1.87E+01,3.36E-01,3.53E-01,6.36E-01,2.36E+00,1.60E-01,1.14E-01,1.00E+00,0.00E+00,0.00E+00
84,2.37E+00,5.54E-01,1.67E-02,2.52E-02,9.17E-02,8.81E+01,1.51E-01,1.11E-03,4.45E-02,3.42E-03,6.15E+01,1.91E-02,2.71E+00,2.49E+01,1.57E-02,9.16E-02,8.50E-01,5.11E-01,3.14E+02,4.15E+01,8.05E-01,5.30E+00,2.23E-01,3.02E-01,1.96E-01,6.71E-01,1.06E-01,9.74E-02,1.00E+00,0.00E+00,0.00E+00
85,1.40E-02,7.35E-03,2.36E-01,3.75E-03,2.54E-02,1.45E+02,8.17E+00,1.86E-01,3.97E+01,3.29E-03,7.07E+00,2.48E-03,1.52E-03,4.40E+01,1.55E+01,2.04E-01,3.57E+00,5.05E+02,6.98E+02,1.75E+02,1.49E+01,4.11E+00,2.86E-01,7.37E+00,3.63E+00,5.20E-01,1.36E-01,2.38E+00,1.00E+00,0.00E+00,0.00E+00
86,4.72E+00,2.50E-01,4.85E-01,2.73E-02,3.28E-02,4.95E+01,1.08E+00,8.90E-02,2.35E-03,2.64E-02,1.61E-01,1.99E-03,3.11E+00,2.97E+01,3.95E-01,6.35E-03,5.00E-02,1.29E+01,2.18E+01,2.44E+00,2.69E-01,4.33E-01,1.46E-01,1.46E+01,6.57E-02,5.48E-02,6.97E-02,4.70E+00,1.00E+00,0.00E+00,0.00E+00
87,1.60E-02,1.88E-01,1.43E-02,6.86E-04,1.53E-02,1.18E+02,6.07E+00,8.48E-02,5.09E+01,6.50E+00,2.77E-03,2.23E-03,7.70E+01,7.05E+01,1.32E+00,1.08E-02,2.85E-01,4.31E+01,3.72E+01,1.39E+01,1.04E+01,6.08E+00,1.91E-01,1.22E+01,2.53E+00,7.70E-01,9.07E-02,3.93E+00,1.00E+00,0.00E+00,0.00E+00
88,4.42E-01,2.59E-02,3.68E+00,1.23E-03,1.33E-02,7.76E-02,5.46E-01,2.12E+00,9.24E+01,1.57E-03,5.91E+01,4.52E+00,6.01E-02,5.26E+01,8.48E+00,2.18E-03,1.43E+00,2.77E+02,7.46E+00,7.00E+01,8.88E-01,1.07E+01,1.36E+01,7.66E-01,2.17E-01,1.35E+00,6.50E+00,2.47E-01,1.00E+00,0.00E+00,0.00E+00
89,1.05E+00,3.28E-02,3.44E+00,3.59E-03,4.23E-01,7.47E+00,4.48E-01,3.95E+00,3.34E-03,8.87E-03,2.63E+01,2.42E-03,1.73E-02,6.18E+01,1.00E-02,2.73E-01,3.55E-01,3.26E-01,9.37E+02,1.73E+01,9.28E+00,4.57E-01,2.68E+00,3.57E+00,2.26E+00,5.78E-02,1.28E+00,1.15E+00,1.00E+00,0.00E+00,0.00E+00
90,5.48E-01,9.62E-01,1.52E-01,8.86E-04,6.71E-02,2.20E-03,2.05E-02,2.65E-03,2.13E-02,4.09E-01,7.41E-01,2.04E+01,3.55E-03,9.36E+01,1.34E-02,5.84E-03,4.78E+00,4.38E-01,2.00E+01,2.34E+02,3.47E-01,5.69E-01,3.52E-01,6.37E-01,8.47E-02,7.20E-02,1.68E-01,2.05E-01,1.00E+00,0.00E+00,0.00E+00
91,6.46E+00,3.15E-02,5.21E-02,1.92E-03,9.27E-02,7.20E+01,1.58E-02,4.81E-03,5.13E-02,1.08E-01,2.27E+01,1.85E+00,1.58E-02,1.36E+01,7.98E-01,4.44E-02,1.15E+00,2.61E+01,1.52E+02,5.62E+01,6.18E+00,5.21E+00,2.97E+00,1.66E+01,1.51E+00,6.59E-01,1.42E+00,5.35E+00,1.00E+00,0.00E+00,0.00E+00
92,9.84E-01,9.51E-01,4.04E-02,6.93E-04,1.20E-02,1.16E-02,1.25E-02,4.69E+00,4.60E+00,6.83E+00,3.76E-02,1.24E+01,2.67E+01,8.98E+01,2.45E-03,2.55E-02,1.57E-02,8.00E-02,8.75E+01,7.67E-01,4.40E+00,1.09E+01,4.42E-01,7.01E-01,1.07E+00,1.38E+00,2.10E-01,2.26E-01,1.00E+00,0.00E+00,0.00E+00
93,2.22E+00,5.62E-01,7.81E-01,5.01E-04,7.08E-02,1.40E+01,5.73E+00,1.41E-01,4.00E-03,1.03E+00,1.23E+00,1.04E-02,8.53E-02,1.40E+01,1.88E+00,1.70E-03,3.90E-01,6.14E+01,5.84E+00,1.91E+01,3.57E-01,3.06E+00,1.33E+00,2.83E+00,8.70E-02,3.87E-01,6.31E-01,9.11E-01,1.00E+00,0.00E+00,0.00E+00
94,4.33E+00,9.38E-01,1.37E-02,1.22E-03,6.89E-02,2.17E+02,7.93E-02,1.44E-01,1.72E-02,5.43E+00,1.04E+01,2.64E-03,3.12E-03,6.21E+01,5.71E-02,3.98E-03,2.76E-03,1.86E+00,1.36E+01,1.35E-01,6.34E+00,4.40E+00,1.27E+01,3.27E-01,1.55E+00,5.57E-01,6.03E+00,1.06E-01,1.00E+00,0.00E+00,0.00E+00
95,8.68E+00,6.89E-01,4.48E+00,1.13E-02,5.57E-01,2.04E+00,4.59E-01,1.30E-03,6.31E-03,8.05E+00,3.12E+00,8.85E+00,1.31E-03,6.08E+01,1.39E-03,2.25E-03,4.78E-02,4.53E-02,7.70E+00,2.34E+00,7.41E-01,8.13E+00,3.65E+00,5.05E+00,1.81E-01,1.03E+00,1.74E+00,1.63E+00,1.00E+00,0.00E+00,0.00E+00
96,2.88E+00,2.89E-02,1.06E+00,2.14E-03,6.38E-02,9.57E-02,1.45E-02,4.78E-01,1.12E+01,2.69E+00,5.11E-01,4.97E-01,3.85E+01,9.52E+01,1.86E+01,1.19E-03,7.51E-03,6.06E+02,4.08E+00,3.67E-01,6.40E+00,7.14E-01,1.03E+00,1.31E+01,1.56E+00,9.04E-02,4.90E-01,4.22E+00,1.00E+00,0.00E+00,0.00E+00
97,1.15E+00,7.37E-01,1.08E-01,6.59E-04,2.22E-02,1.45E-03,1.01E-02,8.38E-01,8.44E-03,3.39E-01,1.61E-01,2.86E+00,1.29E-03,6.63E+01,2.06E-03,1.11E-03,5.41E-01,6.73E-02,3.80E+00,2.64E+01,2.84E+00,6.26E-01,1.90E+00,1.89E-01,6.92E-01,7.92E-02,9.06E-01,6.09E-02,1.00E+00,0.00E+00,0.00E+00
98,8.13E-01,7.18E-01,1.63E-01,2.73E-02,2.36E-02,1.43E-03,2.82E-01,7.94E-01,1.53E-01,1.66E-03,8.42E+00,8.92E-03,3.95E-01,4.21E+01,2.43E-02,7.37E-02,1.26E-03,7.93E-01,2.53E+02,6.18E-02,5.64E+00,5.98E-01,8.77E+00,1.79E-01,1.38E+00,7.56E-02,4.17E+00,5.78E-02,1.00E+00,0.00E+00,0.00E+00
99,2.67E+01,8.32E-01,9.00E+00,3.73E-03,4.23E-02,6.04E-03,7.51E-02,3.01E-03,1.01E-03,1.72E-03,3.09E+00,8.32E+00,7.69E+01,6.97E+01,4.35E-03,1.65E-02,1.11E-02,1.42E-01,5.67E+01,5.40E-01,7.02E+00,2.92E+00,1.28E-01,1.80E-01,1.71E+00,3.70E-01,6.11E-02,5.81E-02,1.00E+00,0.00E+00,0.00E+00
100,1.17E+00,7.00E-01,3.57E+00,1.30E-02,2.63E-01,7.66E+00,6.49E+00,2.39E-01,4.96E-02,1.94E-01,1.95E-01,1.47E+01,7.01E-01,5.88E+01,4.98E-02,8.17E-03,1.11E-03,1.63E+00,2.80E+01,5.41E-02,1.56E+01,2.31E+00,7.02E+00,2.06E-01,3.80E+00,2.93E-01,3.34E+00,6.66E-02,1.00E+00,0.00E+00,0.00E+00
101,1.93E-01,1.96E-02,1.39E-01,9.99E-04,1.10E-02,5.07E+00,2.53E-01,8.78E-02,2.18E-03,1.01E-01,6.91E-01,2.50E-02,5.26E-01,3.81E+01,1.51E+01,2.40E-03,7.31E-03,4.93E+02,8.22E+00,3.57E-01,7.23E-01,2.13E+00,1.61E-01,2.94E-01,1.76E-01,2.70E-01,7.67E-02,9.47E-02,1.00E+00,0.00E+00,0.00E+00
102,2.35E+01,6.63E-01,3.23E+00,1.60E-02,3.50E-02,1.85E+00,1.40E+00,1.44E+00,1.30E+00,2.80E-02,8.27E-03,2.65E-01,1.49E-01,1.54E+01,2.27E-01,1.00E-03,1.63E-01,7.42E+00,3.44E+00,7.99E+00,4.63E-01,1.03E+00,3.86E-01,6.34E+00,1.13E-01,1.30E-01,1.84E-01,2.05E+00,1.00E+00,0.00E+00,0.00E+00
103,1.59E+01,4.22E-01,1.39E-01,7.46E-02,1.01E-01,4.17E+02,2.11E-01,7.21E-01,9.78E-01,1.60E+00,2.50E+01,4.77E-03,5.31E+01,3.75E+01,1.96E-01,7.66E-02,6.05E-02,6.40E+00,2.63E+02,2.96E+00,3.20E+00,3.93E+00,1.06E+00,4.08E+00,7.80E-01,4.98E-01,5.03E-01,1.32E+00,1.00E+00,0.00E+00,0.00E+00
104,9.77E-01,7.80E-01,4.42E-03,1.36E-02,2.71E-01,1.20E+02,1.02E-01,6.75E-03,1.91E+01,2.26E-02,1.76E-01,3.34E-01,3.79E+00,2.14E+01,2.47E+00,1.07E-01,6.41E-02,8.08E+01,3.67E+02,3.13E+00,4.99E-01,5.23E-01,1.25E-01,4.20E+00,1.22E-01,6.61E-02,5.96E-02,1.36E+00,1.00E+00,0.00E+00,0.00E+00
105,1.76E-02,1.64E-02,3.79E-03,3.90E-03,4.45E-02,1.41E+02,7.71E-02,1.91E+01,6.52E-01,3.11E-01,8.13E+01,1.06E+01,2.08E-01,8.51E+01,6.59E-03,3.39E-02,7.09E+00,2.15E-01,1.16E+02,3.46E+02,6.98E+00,8.92E-01,6.67E-01,1.58E-01,1.70E+00,1.13E-01,3.18E-01,5.09E-02,1.00E+00,0.00E+00,0.00E+00
106,5.82E-01,7.35E-01,7.16E+00,8.09E-04,4.33E-01,4.00E-02,1.35E+00,7.90E-01,1.87E-03,8.08E-03,2.18E-01,1.59E-03,2.18E-03,6.87E+01,1.02E-02,1.04E-03,1.19E-03,3.33E-01,3.57E+00,5.82E-02,1.16E+01,5.84E-01,3.83E+00,3.15E+00,2.83E+00,7.40E-02,1.82E+00,1.02E+00,1.00E+00,0.00E+00,0.00E+00
107,2.49E-01,3.96E-02,1.39E-02,1.54E-02,6.09E-02,2.42E+00,2.32E-02,1.58E-01,1.16E-02,1.74E-02,3.38E-02,1.20E-02,4.62E+00,6.65E+01,6.05E-03,9.60E-02,4.51E-01,1.98E-01,3.29E+02,2.21E+01,1.86E+00,5.17E-01,2.13E-01,3.92E+00,4.54E-01,6.55E-02,1.01E-01,1.27E+00,1.00E+00,0.00E+00,0.00E+00
108,1.39E+01,9.41E-01,3.84E+00,3.13E-02,6.14E-02,1.05E+02,7.50E+00,1.43E-02,6.78E-02,2.46E+01,7.95E+01,8.82E-03,1.29E-03,4.25E+01,1.99E+01,3.15E-03,1.52E+00,6.49E+02,1.08E+01,7.42E+01,2.52E-01,2.26E+00,2.48E+00,5.48E-01,6.15E-02,2.86E-01,1.18E+00,1.77E-01,1.00E+00,0.00E+00,0.00E+00
109,3.74E-01,4.20E-02,5.11E-01,6.38E-04,9.51E-02,1.17E-01,6.73E-02,1.12E-02,4.06E-03,4.82E-01,1.86E-01,4.86E-03,1.87E-02,4.57E+01,2.11E-03,1.42E-02,3.74E-02,6.89E-02,4.86E+01,1.83E+00,9.73E+00,1.53E+01,4.74E+00,5.64E+00,2.37E+00,1.94E+00,2.26E+00,1.82E+00,1.00E+00,0.00E+00,0.00E+00
110,9.35E+00,3.02E-02,1.04E+00,2.94E-03,3.02E-01,2.01E+00,1.43E-02,7.21E-03,3.05E+01,5.63E-03,2.20E+00,2.11E-01,1.34E+00,4.86E+01,2.58E+01,1.09E-01,2.05E-03,8.42E+02,3.72E+02,1.00E-01,1.53E+01,2.85E+00,2.18E-01,3.93E-01,3.73E+00,3.61E-01,1.04E-01,1.27E-01,1.00E+00,0.00E+00,0.00E+00
111,1.82E-02,2.05E-02,1.34E-03,7.79E-04,8.64E-01,1.91E+02,4.51E-02,1.05E+00,7.05E+01,6.94E-02,1.03E-01,1.72E+00,4.49E+01,1.54E+01,3.46E-02,2.80E-01,1.66E-02,1.13E+00,9.61E+02,8.13E-01,7.03E-01,1.95E+00,2.26E-01,8.87E+00,1.72E-01,2.46E-01,1.08E-01,2.86E+00,1.00E+00,0.00E+00,0.00E+00
112,3.94E-01,5.75E-01,2.91E-02,2.79E-03,2.96E-01,2.04E+01,3.47E-01,3.44E-01,1.20E-02,1.17E+00,1.86E+01,1.45E-02,8.12E+01,2.98E+01,5.94E+00,2.52E-03,5.82E-02,1.94E+02,8.65E+00,2.84E+00,5.66E+00,7.68E+00,7.43E+00,6.02E-01,1.38E+00,9.73E-01,3.54E+00,1.94E-01,1.00E+00,0.00E+00,0.00E+00
113,1.21E+00,6.77E-01,1.79E-01,2.19E-03,2.12E-01,3.52E+01,1.99E+00,2.10E-01,6.93E+00,4.15E-03,2.25E-01,3.04E-03,1.21E-02,1.90E+01,1.63E+01,1.70E-03,2.51E-02,5.33E+02,5.83E+00,1.23E+00,1.72E+01,1.30E+01,1.19E+01,3.03E+00,4.20E+00,1.64E+00,5.69E+00,9.76E-01,1.00E+00,0.00E+00,0.00E+00
114,1.02E-02,7.52E-02,1.00E-01,1.09E-03,1.11E-01,1.99E+00,1.68E+00,2.74E-02,4.38E+00,5.40E-01,2.22E-01,5.86E-01,2.82E+01,6.17E+01,4.62E-01,4.42E-02,1.65E-01,1.51E+01,1.52E+02,8.08E+00,2.94E-01,3.56E+00,5.31E+00,4.48E-01,7.18E-02,4.51E-01,2.53E+00,1.44E-01,1.00E+00,0.00E+00,0.00E+00
115,5.69E-02,1.63E-01,1.28E-02,5.77E-04,1.62E-02,5.12E+00,2.83E-01,1.83E-02,9.52E-02,8.82E-03,5.22E+00,1.65E-02,1.41E+00,6.86E+01,5.55E-03,1.08E-02,5.18E-02,1.81E-01,3.71E+01,2.53E+00,6.74E+00,4.30E+00,8.04E-01,2.49E+00,1.64E+00,5.44E-01,3.83E-01,8.02E-01,1.00E+00,0.00E+00,0.00E+00
116,1.36E+01,4.90E-02,2.07E-01,6.48E-04,1.42E-02,5.31E+01,2.75E-02,1.26E-02,7.56E+00,3.85E+00,6.25E-03,4.31E-01,1.78E+00,4.74E+01,4.73E-02,3.32E-02,1.50E-03,1.55E+00,1.14E+02,7.35E-02,9.57E-01,4.51E+00,4.72E-01,3.18E-01,2.33E-01,5.70E-01,2.25E-01,1.03E-01,1.00E+00,0.00E+00,0.00E+00
117,8.77E+01,4.04E-01,8.58E-02,6.65E-03,7.64E-02,3.14E+02,1.43E-02,2.52E-02,2.41E+01,3.31E-03,1.12E+00,5.97E-03,2.86E-03,5.23E+01,2.37E+01,5.41E-03,2.36E-01,7.75E+02,1.85E+01,1.16E+01,1.22E+01,2.69E+00,9.88E+00,5.48E-01,2.97E+00,3.41E-01,4.70E+00,1.77E-01,1.00E+00,0.00E+00,0.00E+00
118,5.92E-02,2.82E-01,1.83E-01,1.77E-03,2.72E-02,1.71E+01,9.97E+00,1.58E+00,5.99E+01,1.07E-01,1.51E-03,1.13E+01,6.05E-03,6.35E+01,3.02E-03,3.61E-03,2.50E+00,9.85E-02,1.24E+01,1.22E+02,2.82E+00,1.69E+00,1.92E+01,1.86E+00,6.87E-01,2.14E-01,9.15E+00,6.00E-01,1.00E+00,0.00E+00,0.00E+00
119,8.75E-01,3.20E-03,6.43E-01,1.31E-03,1.31E-01,4.45E+01,1.37E-01,6.74E-03,3.93E-01,6.02E-02,1.15E-01,6.65E-02,2.42E-01,1.85E+01,1.95E-01,8.60E-03,2.35E-02,6.36E+00,2.95E+01,1.15E+00,1.75E+01,3.28E+00,3.55E-01,1.22E+01,4.26E+00,4.15E-01,1.69E-01,3.95E+00,1.00E+00,0.00E+00,0.00E+00
120,1.14E+01,5.49E-02,9.70E-02,9.16E-03,3.56E-02,7.36E+02,7.13E-02,1.50E+00,5.58E+01,2.88E-02,5.43E-02,1.12E-02,2.11E+01,2.97E+01,5.04E-02,1.12E-02,2.01E-03,1.64E+00,3.85E+01,9.81E-02,1.46E+00,6.32E-01,1.61E+01,2.06E-01,3.57E-01,8.00E-02,7.69E+00,6.64E-02,1.00E+00,0.00E+00,0.00E+00
121,1.10E-02,4.76E-02,1.04E-03,8.29E-04,2.79E-01,1.27E+02,9.85E-02,4.98E+00,2.79E-03,6.21E-02,2.18E+01,1.74E-03,6.79E-01,3.01E+01,3.17E-01,2.45E-02,2.31E-01,1.04E+01,8.40E+01,1.13E+01,4.26E+00,1.77E+00,4.35E-01,1.15E+01,1.04E+00,2.24E-01,2.07E-01,3.71E+00,1.00E+00,0.00E+00,0.00E+00
122,4.72E-01,8.67E-01,1.98E-01,7.42E-02,1.39E-01,2.24E+00,1.23E+00,1.65E-02,1.25E+01,2.83E-02,4.04E+00,4.48E-02,3.07E+00,7.07E+01,6.68E-03,1.25E-01,5.92E-01,2.18E-01,4.29E+02,2.89E+01,5.74E+00,6.46E+00,4.32E-01,2.99E+00,1.40E+00,8.17E-01,2.06E-01,9.64E-01,1.00E+00,0.00E+00,0.00E+00
123,1.55E+01,3.62E-02,2.10E+00,2.69E-02,7.35E-02,3.52E+02,1.92E-01,8.37E-02,4.96E+01,1.42E+01,4.35E-01,1.38E-01,1.43E-03,7.89E+01,1.59E-03,2.07E-03,1.11E-03,5.20E-02,7.10E+00,5.44E-02,3.78E+00,2.59E+00,1.71E+01,3.06E-01,9.21E-01,3.27E-01,8.16E+00,9.87E-02,1.00E+00,0.00E+00,0.00E+00
