,f13,f123,cmin,cmax,N
1,0.001,0.001,0.3134425965501892,5.108333333333335,25.0
2,0.0012589254117941675,0.001,0.3134425965501892,5.108333333333335,25.0
3,0.001584893192461114,0.001,0.3134425965501892,5.108333333333335,25.0
4,0.001995262314968879,0.001,0.3134425965501892,5.108333333333335,25.0
5,0.0025118864315095794,0.001,0.3134425965501892,5.108333333333335,25.0
6,0.0031622776601683794,0.001,0.3134425965501892,5.108333333333335,25.0
7,0.003981071705534973,0.001,0.3134425965501892,5.108333333333335,25.0
8,0.005011872336272725,0.001,0.3134425965501892,5.108333333333335,25.0
9,0.00630957344480193,0.001,0.3134425965501892,5.108333333333335,25.0
10,0.007943282347242814,0.001,0.3134425965501892,5.108333333333335,25.0
11,0.01,0.001,0.3134425965501892,5.108333333333335,25.0
12,0.012589254117941675,0.001,0.3134425965501892,5.108333333333335,25.0
13,0.01584893192461114,0.001,0.3134425965501892,5.108333333333335,25.0
14,0.0199526231496888,0.001,0.3134425965501892,5.108333333333335,25.0
15,0.025118864315095808,0.001,0.3134425965501892,5.108333333333335,25.0
16,0.03162277660168379,0.001,0.3134425965501892,5.108333333333335,25.0
17,0.039810717055349734,0.001,0.3134425965501892,5.108333333333335,25.0
18,0.05011872336272725,0.001,0.3134425965501892,5.108333333333335,25.0
19,0.06309573444801933,0.001,0.3134425965501892,5.108333333333335,25.0
20,0.07943282347242818,0.001,0.3134425965501892,5.108333333333335,25.0
21,0.1,0.001,0.3134425965501892,5.108333333333335,25.0
22,0.12589254117941676,0.001,0.3134425965501892,5.108333333333335,25.0
23,0.15848931924611143,0.001,0.3134425965501892,5.108333333333335,25.0
24,0.19952623149688808,0.001,0.3134425965501892,5.108333333333335,25.0
25,0.25118864315095824,0.001,0.3134425965501892,5.108333333333335,25.0
26,0.31622776601683794,0.001,0.3134425965501892,5.108333333333335,25.0
27,0.3981071705534973,0.001,0.3134425965501892,5.108333333333335,25.0
28,0.5011872336272725,0.001,0.3134425965501892,5.108333333333335,25.0
29,0.6309573444801936,0.001,0.27903132787004165,5.108333333333335,26.0
30,0.7943282347242822,0.001,0.27903132787004165,5.108333333333335,26.0
31,1.0,0.001,0.27903132787004165,5.108333333333335,26.0
32,1.2589254117941675,0.001,0.24839789738167165,5.108333333333335,27.0
33,1.584893192461114,0.001,0.2211275554419927,5.108333333333335,28.0
34,1.9952623149688808,0.001,0.19685108566204598,5.108333333333335,29.0
35,2.5118864315095824,0.001,0.1388745493996076,5.108333333333335,32.0
36,3.1622776601683795,0.001,0.027261638572745536,5.108333333333335,46.0
37,3.981071705534973,0.001,5.1083333333333306e-05,2.014831928696068,92.0
38,5.011872336272725,0.001,,,0.0
39,6.309573444801936,0.001,,,0.0
40,7.943282347242821,0.001,,,0.0
41,10.0,0.001,,,0.0
42,12.589254117941687,0.001,,,0.0
43,15.848931924611142,0.001,,,0.0
44,19.952623149688787,0.001,,,0.0
45,25.11886431509582,0.001,,,0.0
