,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,2.416000E+02,2.255622E-04,2.532528E+00,1.745000E+02,2.726143E-04,2.567503E+00,1.381000E+02,3.376686E-04,2.550571E+00,1.141000E+02,4.293704E-04,2.498469E+00,9.740000E+01,5.622032E-04,2.430726E+00
gammam,9.890000E+01,5.818876E-04,2.405688E+00,1.139000E+02,4.240890E-04,2.507853E+00,1.361000E+02,3.214523E-04,2.605140E+00,1.704000E+02,2.523381E-04,2.673043E+00,2.346000E+02,2.045221E-04,2.689082E+00
gammamRNA,9.950000E+01,5.694348E-04,2.410220E+00,1.143000E+02,4.226566E-04,2.509846E+00,1.363000E+02,3.261699E-04,2.607366E+00,1.705000E+02,2.605678E-04,2.677206E+00,2.347000E+02,2.148403E-04,2.697059E+00
gammad,1.101000E+02,4.526671E-04,2.488386E+00,1.101000E+02,4.527313E-04,2.487977E+00,1.101000E+02,4.528868E-04,2.486926E+00,1.101000E+02,4.532558E-04,2.484573E+00,1.101000E+02,4.541600E-04,2.478886E+00
alphaass,2.443000E+02,2.108552E-04,2.549837E+00,1.752000E+02,2.598996E-04,2.582903E+00,1.382000E+02,3.288628E-04,2.560198E+00,1.140000E+02,4.280496E-04,2.499784E+00,9.710000E+01,5.751541E-04,2.422870E+00
alphadiss,8.840000E+01,7.339237E-04,2.366528E+00,9.210000E+01,6.602894E-04,2.390928E+00,9.600000E+01,5.963107E-04,2.415724E+00,1.004000E+02,5.403898E-04,2.439937E+00,1.054000E+02,4.912715E-04,2.464414E+00
phi0,2.500000E+02,2.224604E-04,2.526327E+00,1.767000E+02,2.699229E-04,2.566958E+00,1.386000E+02,3.361237E-04,2.551154E+00,1.140000E+02,4.303919E-04,2.497514E+00,9.680000E+01,5.684443E-04,2.427775E+00
f1,1.102000E+02,4.524433E-04,2.485437E+00,1.099000E+02,4.565202E-04,2.480995E+00,1.090000E+02,4.790479E-04,2.457420E+00,1.040000E+02,6.124296E-04,2.322620E+00,8.290000E+01,1.678416E-03,1.618717E+00
f2,1.110000E+02,4.503494E-04,2.503504E+00,1.109000E+02,4.506812E-04,2.501074E+00,1.104000E+02,4.522878E-04,2.490986E+00,1.079000E+02,4.600307E-04,2.442265E+00,9.900000E+01,4.985180E-04,2.249897E+00
f3,1.108000E+02,4.394360E-04,2.502569E+00,1.106000E+02,4.432068E-04,2.497378E+00,1.097000E+02,4.608685E-04,2.474967E+00,1.056000E+02,5.474249E-04,2.371345E+00,9.070000E+01,1.054697E-03,1.925079E+00
f12,1.147000E+02,4.081711E-04,2.575205E+00,1.147000E+02,4.081987E-04,2.574824E+00,1.147000E+02,4.083997E-04,2.574867E+00,1.145000E+02,4.097921E-04,2.571924E+00,1.134000E+02,4.195221E-04,2.550787E+00
f13,1.187000E+02,1.269945E-04,2.712484E+00,1.182000E+02,1.394497E-04,2.700553E+00,1.165000E+02,1.896514E-04,2.656609E+00,1.102000E+02,4.496274E-04,2.486974E+00,8.860000E+01,2.383879E-03,1.738602E+00
f23,2.661000E+02,5.382306E-04,9.645129E-01,2.021000E+02,4.810865E-04,1.271586E+00,1.651000E+02,4.464433E-04,1.616851E+00,1.380000E+02,4.328710E-04,1.992710E+00,1.160000E+02,4.437585E-04,2.373289E+00
f123,1.101000E+02,4.536850E-04,2.484450E+00,1.100000E+02,4.556790E-04,2.482694E+00,1.098000E+02,4.612447E-04,2.478199E+00,1.093000E+02,4.770917E-04,2.466031E+00,1.080000E+02,5.257410E-04,2.431323E+00
kb1,1.094000E+02,4.031889E-04,2.007521E+00,1.097000E+02,3.570125E-04,1.327985E+00,1.122000E+02,3.352105E-04,7.953949E-01,1.195000E+02,3.260098E-04,4.161745E-01,1.404000E+02,3.330030E-04,1.819749E-01
kb2,2.430000E+02,2.946856E-04,3.063320E+00,1.850000E+02,3.107897E-04,3.053289E+00,1.518000E+02,3.368951E-04,2.942745E+00,1.285000E+02,3.790163E-04,2.752071E+00,1.106000E+02,4.499855E-04,2.494421E+00
