,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,2.194000E+02,2.192826E-02,1.223054E-01,1.836000E+02,2.068573E-02,1.974055E-01,1.545000E+02,2.351786E-02,2.573156E-01,1.330000E+02,3.095831E-02,2.843183E-01,1.174000E+02,4.794195E-02,2.643321E-01
gammam,1.558000E+02,4.588193E-02,1.711509E-01,1.583000E+02,3.396298E-02,1.959914E-01,1.635000E+02,2.751639E-02,2.063931E-01,1.716000E+02,2.361720E-02,2.057417E-01,1.826000E+02,2.124593E-02,1.950788E-01
gammamRNA,1.162000E+02,5.472013E-02,2.614292E-01,1.274000E+02,3.579303E-02,2.888326E-01,1.429000E+02,2.664332E-02,2.793352E-01,1.639000E+02,2.208818E-02,2.404387E-01,1.912000E+02,2.056041E-02,1.810660E-01
gammad,2.132000E+02,2.995944E-02,1.726065E-01,2.120000E+02,2.948349E-02,1.736179E-01,2.094000E+02,2.843115E-02,1.758120E-01,2.040000E+02,2.633977E-02,1.799361E-01,1.947000E+02,2.291697E-02,1.855027E-01
alphaass,2.446000E+02,2.222749E-02,9.397138E-02,2.197000E+02,1.975412E-02,1.409191E-01,1.949000E+02,2.009064E-02,1.790965E-01,1.746000E+02,2.245109E-02,2.009669E-01,1.598000E+02,2.746984E-02,2.029506E-01
alphadiss,2.109000E+02,3.681213E-02,1.292757E-01,1.998000E+02,2.828845E-02,1.542420E-01,1.820000E+02,1.541161E-02,2.257412E-01,1.952000E+02,6.605328E-03,4.036359E-01,2.909000E+02,2.892806E-03,5.665184E-01
phi0,2.193000E+02,2.190658E-02,1.226972E-01,1.835000E+02,2.068838E-02,1.975906E-01,1.545000E+02,2.351823E-02,2.573185E-01,1.331000E+02,3.093162E-02,2.843031E-01,1.175000E+02,4.781043E-02,2.645790E-01
f1,1.921000E+02,2.510588E-02,1.378782E-01,1.855000E+02,1.904086E-02,2.173504E-01,1.767000E+02,1.642369E-02,3.088584E-01,1.672000E+02,1.511880E-02,4.076201E-01,1.578000E+02,1.442705E-02,5.104359E-01
f2,1.883000E+02,2.054744E-02,1.880578E-01,1.882000E+02,2.059567E-02,1.875184E-01,1.880000E+02,2.078572E-02,1.854320E-01,1.875000E+02,2.155324E-02,1.775731E-01,1.854000E+02,2.497163E-02,1.508379E-01
f3,1.882000E+02,2.058401E-02,1.876441E-01,1.882000E+02,2.058406E-02,1.876441E-01,1.882000E+02,2.058433E-02,1.876425E-01,1.882000E+02,2.058604E-02,1.876365E-01,1.881000E+02,2.059760E-02,1.875967E-01
