,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,3.334000E+02,6.201822E-03,5.390398E-01,2.441000E+02,8.999754E-03,6.882897E-01,1.982000E+02,1.304750E-02,7.879787E-01,1.683000E+02,1.994031E-02,8.257259E-01,1.464000E+02,3.579867E-02,7.526536E-01
gammam,1.400000E+02,2.185278E-02,9.906913E-01,1.418000E+02,9.657915E-03,1.278198E+00,1.489000E+02,5.083737E-03,1.401334E+00,1.663000E+02,2.921411E-03,1.414161E+00,2.112000E+02,1.816527E-03,1.373196E+00
gammamRNA,1.451000E+02,3.735484E-02,7.393140E-01,1.651000E+02,2.086713E-02,8.087509E-01,1.928000E+02,1.363788E-02,7.750710E-01,2.355000E+02,9.371986E-03,6.852930E-01,3.178000E+02,6.417325E-03,5.504678E-01
gammad,1.413000E+02,4.622211E-02,7.445557E-01,1.412000E+02,4.623813E-02,7.420938E-01,1.411000E+02,4.628255E-02,7.361524E-01,1.409000E+02,4.642323E-02,7.218427E-01,1.404000E+02,4.694616E-02,6.876238E-01
alphaass,3.066000E+02,2.848552E-03,8.104553E-01,2.293000E+02,4.633832E-03,9.846417E-01,1.899000E+02,7.925676E-03,1.060248E+00,1.648000E+02,1.435311E-02,1.018383E+00,1.469000E+02,2.985889E-02,8.340694E-01
alphadiss,1.470000E+02,2.961467E-02,8.366057E-01,1.647000E+02,1.395333E-02,1.025049E+00,1.895000E+02,7.470040E-03,1.068728E+00,2.291000E+02,4.192386E-03,9.902324E-01,3.083000E+02,2.465609E-03,8.090807E-01
phi0,3.322000E+02,6.222690E-03,5.405998E-01,2.440000E+02,9.009276E-03,6.886522E-01,1.983000E+02,1.303312E-02,7.877735E-01,1.685000E+02,1.985885E-02,8.257709E-01,1.467000E+02,3.541618E-02,7.549863E-01
f1,1.404000E+02,4.643229E-02,6.900342E-01,1.404000E+02,4.643709E-02,6.899936E-01,1.404000E+02,4.646971E-02,6.897179E-01,1.404000E+02,4.669330E-02,6.878494E-01,1.404000E+02,4.827474E-02,6.749102E-01
f2,1.405000E+02,4.469110E-02,7.096198E-01,1.405000E+02,4.506704E-02,7.055265E-01,1.404000E+02,4.629041E-02,6.925648E-01,1.401000E+02,5.035732E-02,6.529644E-01,1.395000E+02,6.505312E-02,5.429337E-01
f3,2.187000E+02,3.066985E-02,2.708691E-01,1.929000E+02,2.575634E-02,4.331783E-01,1.730000E+02,2.612610E-02,5.818354E-01,1.563000E+02,3.076536E-02,6.888225E-01,1.416000E+02,4.472475E-02,6.936693E-01
f12,1.404000E+02,4.697640E-02,6.855055E-01,1.404000E+02,4.698108E-02,6.854627E-01,1.404000E+02,4.701302E-02,6.851686E-01,1.404000E+02,4.723157E-02,6.831385E-01,1.404000E+02,4.876805E-02,6.692468E-01
f13,1.404000E+02,4.698903E-02,6.853905E-01,1.404000E+02,4.698832E-02,6.854032E-01,1.404000E+02,4.698353E-02,6.854869E-01,1.403000E+02,4.695077E-02,6.860422E-01,1.405000E+02,4.673007E-02,6.898133E-01
f23,1.404000E+02,4.391427E-02,7.156956E-01,1.404000E+02,4.461379E-02,7.085493E-01,1.403000E+02,4.628012E-02,6.921305E-01,1.403000E+02,5.052442E-02,6.537827E-01,1.402000E+02,6.350945E-02,5.601164E-01
f123,1.403000E+02,4.698937E-02,6.853785E-01,1.404000E+02,4.698919E-02,6.853857E-01,1.403000E+02,4.698818E-02,6.854273E-01,1.404000E+02,4.698082E-02,6.856931E-01,1.405000E+02,4.693172E-02,6.875237E-01
kb1,1.403000E+02,4.461648E-02,7.126226E-01,1.404000E+02,4.582205E-02,6.984783E-01,1.404000E+02,4.818323E-02,6.725748E-01,1.403000E+02,5.322979E-02,6.239340E-01,1.400000E+02,6.648368E-02,5.266112E-01
kb2,1.417000E+02,5.322437E-02,7.100363E-01,1.380000E+02,4.006704E-02,6.081679E-01,1.352000E+02,3.478964E-02,4.639261E-01,1.334000E+02,3.280836E-02,3.212221E-01,1.329000E+02,3.417848E-02,1.934151E-01
kb3,2.077000E+02,3.856724E-02,5.967526E-01,1.825000E+02,3.179877E-02,8.577553E-01,1.653000E+02,3.060586E-02,9.628432E-01,1.528000E+02,3.237947E-02,9.353469E-01,1.433000E+02,3.996308E-02,7.803377E-01
ku1,1.402000E+02,4.810588E-02,6.739266E-01,1.404000E+02,4.414823E-02,7.176014E-01,1.404000E+02,4.333357E-02,7.282527E-01,1.404000E+02,4.321076E-02,7.299647E-01,1.404000E+02,4.319231E-02,7.302233E-01
ku2,1.537000E+02,2.419384E-02,8.786715E-01,1.489000E+02,2.947457E-02,8.259787E-01,1.442000E+02,3.721297E-02,7.578033E-01,1.395000E+02,4.987910E-02,6.664651E-01,1.346000E+02,7.560562E-02,5.339560E-01
ku3,1.432000E+02,3.964695E-02,7.853233E-01,1.522000E+02,3.202471E-02,9.463413E-01,1.643000E+02,3.026526E-02,9.792574E-01,1.811000E+02,3.136559E-02,8.793812E-01,2.057000E+02,3.766588E-02,6.194915E-01
bcoop12,1.405000E+02,4.829619E-02,6.748066E-01,1.405000E+02,4.766890E-02,6.798869E-01,1.402000E+02,4.673352E-02,6.874263E-01,1.400000E+02,4.623911E-02,6.907391E-01,1.396000E+02,4.677304E-02,6.841825E-01
bcoop23,1.400000E+02,4.983551E-02,6.757283E-01,1.448000E+02,2.890733E-02,7.153351E-01,1.499000E+02,1.989812E-02,6.650383E-01,1.554000E+02,1.489749E-02,5.804144E-01,1.614000E+02,1.175678E-02,4.862283E-01
bcoop13,1.403000E+02,4.762546E-02,6.782407E-01,1.399000E+02,4.977847E-02,6.555830E-01,1.389000E+02,5.388343E-02,6.163941E-01,1.371000E+02,6.048910E-02,5.585684E-01,1.342000E+02,7.161006E-02,4.712471E-01
