,log10_var,log10_left_bound,log10_right_bound
beta,-0.23202827861838118,-1.520023302203037,-0.019866466783806415
gammam,-1.140621495574399,-1.2604642507424555,0.0
gammamRNA,-0.45062884766682276,-0.7444040390489663,0.838504210318342
gammad,-2.9333014495770047,-3.3010299956639813,-1.4417895890634955
alphaass,-0.7875460389597242,-2.0,-0.4952926260645141
alphadiss,0.5926208213219823,0.2944052258020912,3.0
phi0,-0.2028017301610411,-1.4910278337370133,0.008628261468829402
f1,-1.6563944918958282,-3.0,1.260865566579652
f2,1.455606112581867,0.8856018149761788,1.715043824554571
f3,1.668665415454492,-3.0,2.0
f12,-1.9219058495935892,-3.0,0.36459590060892333
f13,1.4998244958395797,-3.0,2.0
f23,1.6833172619218826,-3.0,2.0
f123,-2.2937090427412365,-3.0,-1.4509009200937868
kb1,-2.791558643561433,-3.0,-1.3550269017905734
kb2,0.909823369650912,-0.20126901371668118,1.0333199410576444
kb3,-1.6587633767613077,-1.8971472297197471,2.0
ku1,-1.0212262156698777,-2.0,-0.7973884282741912
ku2,1.2593549273080344,1.1352193392562635,2.3710559795937236
ku3,1.7393349601960792,-0.776682410482728,1.9806341279710482
bcoop12,0.4999618655961902,0.13765295600674166,1.3010299956639813
bcoop23,0.5703093854358797,0.33273700306968645,1.3010299956639813
bcoop13,0.24477176149529495,-0.03600863580121422,1.3010299956639813
bcoop123,1.2683439139510646,0.9898277967955273,1.3010299956639813
ucoop12,-0.874518734299406,-1.3010299956639813,-0.6493154477992896
ucoop23,-1.1323557660969015,-1.3010299956639813,-0.8994731443658794
ucoop13,-1.193480865919295,-1.3010299956639813,-0.9742367472254524
ucoop123,-1.157952711490362,-1.3010299956639813,-0.9322257832945533
