,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,2.046000E+02,1.517998E-01,1.607718E+00,1.805000E+02,1.339905E-01,2.443919E+00,1.612000E+02,1.409425E-01,3.185103E+00,1.456000E+02,1.672591E-01,3.863043E+00,1.315000E+02,2.340985E-01,4.429740E+00
gammam,1.338000E+02,2.509014E-01,4.374437E+00,1.435000E+02,1.839603E-01,4.008613E+00,1.535000E+02,1.531814E-01,3.541882E+00,1.649000E+02,1.377713E-01,3.031720E+00,1.784000E+02,1.328308E-01,2.483065E+00
gammamRNA,1.472000E+02,2.356294E-01,3.854411E+00,1.566000E+02,1.602197E-01,3.454342E+00,1.671000E+02,1.320866E-01,2.903050E+00,1.808000E+02,1.250666E-01,2.254213E+00,1.980000E+02,1.462454E-01,1.455291E+00
gammad,1.627000E+02,1.369724E-01,3.166847E+00,1.627000E+02,1.370979E-01,3.164373E+00,1.627000E+02,1.374019E-01,3.158389E+00,1.628000E+02,1.381393E-01,3.144026E+00,1.629000E+02,1.399385E-01,3.109588E+00
alphaass,2.131000E+02,1.700475E-01,1.301564E+00,1.938000E+02,1.390914E-01,1.976922E+00,1.769000E+02,1.335715E-01,2.573992E+00,1.628000E+02,1.396138E-01,3.121573E+00,1.508000E+02,1.559861E-01,3.632441E+00
alphadiss,1.269000E+02,2.859327E-01,4.505051E+00,1.351000E+02,2.140030E-01,4.296711E+00,1.427000E+02,1.776385E-01,3.985722E+00,1.508000E+02,1.560481E-01,3.633724E+00,1.595000E+02,1.427998E-01,3.258100E+00
phi0,2.077000E+02,1.572163E-01,1.501250E+00,1.829000E+02,1.343800E-01,2.357804E+00,1.630000E+02,1.394112E-01,3.111409E+00,1.470000E+02,1.635669E-01,3.800236E+00,1.328000E+02,2.245504E-01,4.388075E+00
f1,1.630000E+02,1.372623E-01,3.130514E+00,1.630000E+02,1.377970E-01,3.127408E+00,1.628000E+02,1.406880E-01,3.110675E+00,1.622000E+02,1.560204E-01,3.025591E+00,1.580000E+02,2.343297E-01,2.664416E+00
f2,2.139000E+02,2.668253E-02,5.088100E+00,1.957000E+02,4.227106E-02,4.369303E+00,1.797000E+02,7.186665E-02,3.727320E+00,1.641000E+02,1.323284E-01,3.160376E+00,1.478000E+02,2.780909E-01,2.597633E+00
f3,1.629000E+02,1.390852E-01,3.119923E+00,1.630000E+02,1.391092E-01,3.119791E+00,1.629000E+02,1.392740E-01,3.118845E+00,1.627000E+02,1.404007E-01,3.112353E+00,1.614000E+02,1.483285E-01,3.068546E+00
f12,1.632000E+02,1.352682E-01,3.134338E+00,1.631000E+02,1.368370E-01,3.128052E+00,1.627000E+02,1.416295E-01,3.109127E+00,1.617000E+02,1.570832E-01,3.051292E+00,1.578000E+02,2.168162E-01,2.859972E+00
f13,1.629000E+02,1.395271E-01,3.117376E+00,1.629000E+02,1.395461E-01,3.117291E+00,1.629000E+02,1.396751E-01,3.116792E+00,1.629000E+02,1.405568E-01,3.113293E+00,1.624000E+02,1.467426E-01,3.089319E+00
f23,1.719000E+02,2.095862E-01,2.029034E+00,1.631000E+02,1.404111E-01,3.095000E+00,1.542000E+02,1.097131E-01,4.214064E+00,1.462000E+02,9.491806E-02,5.395474E+00,1.392000E+02,9.018981E-02,6.640844E+00
