,log10_var,log10_left_bound,log10_right_bound
beta,-1.2078885909128316,-1.2976199614734876,-0.960716347313266
gammam,-0.6167233495923496,-0.863429721607204,-0.5251784773872352
gammamRNA,-1.3422750457948918,-1.5009245043028026,-1.2553546827673467
gammad,-1.8425432318657744,-3.3010299956639813,-1.0
alphaass,-1.3863695650747594,-1.5637471126703368,-0.9070972740235242
alphadiss,2.6663307443019684,2.1876807351397414,2.8409857453314062
phi0,-0.2609817541165191,-0.34589475440379847,-0.01962196524265411
f1,0.4619484952037618,-3.0,2.0
f2,1.710625015060797,1.5864190820464985,2.0
f3,-2.6895191085373247,-3.0,1.1985685117245781
f12,1.2949069106051925,-3.0,2.0
f13,-1.630042392653947,-3.0,2.0
f23,-0.45296410025998973,-3.0,0.2033954343798903
f123,-1.2773660774661877,-3.0,2.0
kb1,-2.2198988085320885,-3.0,0.57001475921813
kb2,1.5032457714651126,1.3493262382607387,1.840883411172419
kb3,-0.9558523791212772,-1.7902798259252872,-0.3871971850911096
ku1,-0.8362424760180441,-2.0,3.0
ku2,0.5299434016586693,0.19887658933224184,0.679497609761367
ku3,-1.3734543409728708,-2.0,-1.0531329781086467
bcoop12,-0.2737619531973625,-1.3010299956639813,1.3010299956639813
bcoop23,1.0461047872460387,0.3630518914382399,1.3010299956639813
bcoop13,-0.9734667354767033,-1.3010299956639813,1.3010299956639813
bcoop123,-0.5867002359187482,-1.3010299956639813,1.3010299956639813
ucoop12,-0.4643261965742499,-1.3010299956639813,1.3010299956639813
ucoop23,-1.1463626180414057,-1.3010299956639813,-0.806978095437729
ucoop13,-1.0884162990189241,-1.3010299956639813,1.3010299956639813
ucoop123,0.927319024959656,-1.3010299956639813,1.3010299956639813
