,log10_var,log10_left_bound,log10_right_bound
beta,-1.5462231403095579,-2.0,-1.2806905924806626
gammam,-1.182038195468006,-1.419935540982935,-0.4201776397952678
gammamRNA,-1.4464810598510305,-1.674047310849415,-0.6867340119676051
gammad,-3.0748426728241016,-3.3010299956639813,-1.0
alphaass,-0.18956584407732724,-1.713583658926296,0.0
alphadiss,1.4734869700645683,0.9710934138561451,2.9970185292384075
phi0,-0.1578902365593899,-0.9170409398522976,0.10896727889765695
f1,-2.348431261134208,-3.0,1.5116507861030917
f2,-2.54821356447571,-3.0,0.814088845981431
f3,1.4655315569735499,-3.0,1.9874733958665676
f12,-2.1418238620176555,-3.0,0.9604992846303344
f13,1.0358298252528282,-3.0,1.273106079194515
f23,1.6086329894900369,1.343096518415904,2.0
f123,-2.5630426693305504,-3.0,-0.847445571974826
kb1,-2.8227521637443767,-3.0,-2.4224260564023146
kb2,0.10890312766731332,-0.25238541939558734,2.0
kb3,-0.6665527255032496,-1.7011084507195824,-0.3618782441713354
ku1,-1.7384992268017199,-2.0,-1.2063435519167611
ku2,-0.135548252841817,-2.0,0.2288367491974176
ku3,0.10414555055400815,-0.19585957677107504,1.1420152604628744
bcoop12,-0.3630108981877709,-0.6817908258457017,1.265279117085135
bcoop23,0.5970366649776535,0.30417091069896374,1.3010299956639813
bcoop13,0.46982201597816303,-0.21845835573431105,0.8691914749678336
bcoop123,0.7061201097027036,0.3885826906896147,1.3010299956639813
ucoop12,-0.9233595563296582,-1.3010299956639813,-0.6496553731741908
ucoop23,0.07151380509508916,-0.6656923378907396,0.36448445987908296
ucoop13,-1.1713401034646802,-1.3010299956639813,-0.6353379921301461
ucoop123,-0.09767069414168125,-1.3010299956639813,0.17824487162076388
