,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,5.116000E+02,3.612971E-02,8.112374E-01,4.215000E+02,3.824479E-02,1.202731E+00,3.645000E+02,4.409693E-02,1.522900E+00,3.244000E+02,5.546904E-02,1.787187E+00,2.913000E+02,8.486034E-02,1.883248E+00
gammam,2.756000E+02,5.673543E-02,2.336762E+00,2.870000E+02,3.465642E-02,2.413233E+00,3.110000E+02,2.508106E-02,2.413335E+00,3.535000E+02,1.943552E-02,2.399440E+00,4.306000E+02,1.582867E-02,2.332941E+00
gammamRNA,2.913000E+02,8.422494E-02,1.883530E+00,3.238000E+02,5.539280E-02,1.784797E+00,3.633000E+02,4.412534E-02,1.523658E+00,4.195000E+02,3.828898E-02,1.208152E+00,5.083000E+02,3.610211E-02,8.223406E-01
gammad,2.407500E+02,3.209281E-01,9.458397E-01,2.478000E+02,2.084722E-01,1.291953E+00,2.554000E+02,1.322815E-01,1.613924E+00,2.587000E+02,8.680921E-02,1.729025E+00,2.587000E+02,6.496133E-02,1.487439E+00
alphaass,4.722000E+02,1.956766E-02,1.695102E+00,3.835000E+02,2.300882E-02,2.000566E+00,3.325000E+02,2.879606E-02,2.175444E+00,3.013000E+02,3.884052E-02,2.279896E+00,2.820000E+02,6.287248E-02,2.247209E+00
alphadiss,2.813000E+02,6.084920E-02,2.263291E+00,2.993000E+02,3.732765E-02,2.292356E+00,3.294000E+02,2.730324E-02,2.195583E+00,3.792000E+02,2.144492E-02,2.035128E+00,4.663000E+02,1.788580E-02,1.752511E+00
phi0,5.161000E+02,3.615552E-02,7.939350E-01,4.237000E+02,3.812209E-02,1.192086E+00,3.656000E+02,4.390905E-02,1.515811E+00,3.249000E+02,5.519188E-02,1.783391E+00,2.918000E+02,8.430147E-02,1.884592E+00
f1,2.469000E+02,2.422914E-01,1.200802E+00,2.453000E+02,2.583314E-01,1.130917E+00,2.457000E+02,2.520096E-01,1.164521E+00,2.429000E+02,2.853960E-01,1.040517E+00,2.401500E+02,3.248390E-01,9.316865E-01
f2,2.480000E+02,2.344423E-01,1.223921E+00,2.480000E+02,2.344681E-01,1.223813E+00,2.488000E+02,2.276426E-01,1.260152E+00,2.487000E+02,2.286037E-01,1.256081E+00,2.468000E+02,2.443110E-01,1.183897E+00
f3,2.433000E+02,2.757111E-01,1.084731E+00,2.414500E+02,3.050110E-01,9.836523E-01,2.432000E+02,2.766750E-01,1.081599E+00,2.410500E+02,3.111311E-01,9.666801E-01,2.400500E+02,3.314279E-01,9.141478E-01
f12,3.853000E+02,8.051132E-02,5.527335E-01,3.531000E+02,6.928486E-02,9.165923E-01,3.255000E+02,6.937514E-02,1.268893E+00,3.028000E+02,7.826635E-02,1.577346E+00,2.794000E+02,1.104744E-01,1.690587E+00
f13,2.431000E+02,2.783788E-01,1.076391E+00,2.406500E+02,3.191685E-01,9.457653E-01,2.400000E+02,3.326566E-01,9.121502E-01,2.392500E+02,3.513440E-01,8.691758E-01,2.383000E+02,3.772277E-01,8.134747E-01
f23,2.414500E+02,3.045156E-01,9.850418E-01,2.415000E+02,3.045436E-01,9.849640E-01,2.433000E+02,2.757264E-01,1.084681E+00,2.414000E+02,3.060305E-01,9.808394E-01,2.409000E+02,3.151074E-01,9.563494E-01
f123,2.556000E+02,1.476555E-01,1.643639E+00,2.553000E+02,1.506747E-01,1.624850E+00,2.544000E+02,1.569251E-01,1.586880E+00,2.526000E+02,1.708267E-01,1.506928E+00,2.486000E+02,2.075001E-01,1.328442E+00
kb1,2.335000E+02,3.783490E-01,1.549450E+00,2.350000E+02,2.798995E-01,1.542086E+00,2.394000E+02,2.475935E-01,1.407212E+00,2.428000E+02,2.503100E-01,1.236633E+00,2.433000E+02,2.748899E-01,1.088448E+00
kb2,3.993000E+02,6.928495E-02,6.985711E-01,3.599000E+02,6.210361E-02,1.146701E+00,3.294000E+02,6.445930E-02,1.515700E+00,3.056000E+02,7.492017E-02,1.786155E+00,2.813000E+02,1.088347E-01,1.799514E+00
kb3,2.547000E+02,1.716008E-01,1.218888E+00,2.643000E+02,1.161656E-01,1.125633E+00,2.686000E+02,9.494534E-02,8.800956E-01,2.716000E+02,8.667275E-02,6.170223E-01,2.744000E+02,8.869086E-02,3.818639E-01
ku1,2.416500E+02,2.991387E-01,1.003023E+00,2.425000E+02,2.483428E-01,1.252513E+00,2.380000E+02,2.469171E-01,1.434570E+00,2.314000E+02,2.827716E-01,1.587470E+00,2.263000E+02,3.898312E-01,1.620883E+00
ku2,2.807000E+02,1.077383E-01,1.822106E+00,3.042000E+02,7.401667E-02,1.823917E+00,3.272000E+02,6.348607E-02,1.564812E+00,3.567000E+02,6.077571E-02,1.201948E+00,3.953000E+02,6.659337E-02,7.545085E-01
ku3,4.584000E+02,2.238284E-02,1.324006E+00,4.030000E+02,2.662971E-02,1.559835E+00,3.589000E+02,3.326195E-02,1.781931E+00,3.240000E+02,4.459138E-02,1.976834E+00,2.941000E+02,7.136241E-02,2.039808E+00
bcoop12,3.896000E+02,7.066958E-02,7.221563E-01,3.541000E+02,6.382928E-02,1.152353E+00,3.261000E+02,6.626734E-02,1.513095E+00,3.035000E+02,7.712500E-02,1.776389E+00,2.795000E+02,1.128566E-01,1.773668E+00
bcoop23,2.398500E+02,3.348869E-01,9.222817E-01,2.435500E+02,2.723330E-01,1.059073E+00,2.476000E+02,2.262781E-01,1.192852E+00,2.502000E+02,2.028426E-01,1.248270E+00,2.525000E+02,1.839068E-01,1.290788E+00
bcoop13,2.558000E+02,1.658954E-01,1.229925E+00,2.653000E+02,1.127486E-01,1.128382E+00,2.699000E+02,9.220853E-02,8.799405E-01,2.730000E+02,8.413197E-02,6.169749E-01,2.757000E+02,8.596292E-02,3.835361E-01
bcoop123,2.572000E+02,1.545124E-01,1.343526E+00,2.664000E+02,1.130086E-01,1.248609E+00,2.733000E+02,9.802167E-02,1.003738E+00,2.808000E+02,9.355567E-02,7.305854E-01,2.898000E+02,9.917077E-02,4.687444E-01
ucoop12,2.806000E+02,1.084299E-01,1.810725E+00,3.033000E+02,7.521384E-02,1.803643E+00,3.253000E+02,6.487509E-02,1.541529E+00,3.532000E+02,6.250156E-02,1.179091E+00,3.886000E+02,6.907875E-02,7.407610E-01
ucoop23,4.071000E+02,4.042511E-02,8.867349E-01,3.548000E+02,4.447249E-02,1.346141E+00,3.206000E+02,5.177261E-02,1.659861E+00,2.963000E+02,6.344616E-02,1.856835E+00,2.770000E+02,9.011490E-02,1.877024E+00
ucoop13,3.418000E+02,3.740642E-02,1.873072E+00,3.249000E+02,4.388908E-02,1.968750E+00,3.097000E+02,5.352537E-02,2.039210E+00,2.946000E+02,7.038242E-02,2.042355E+00,2.747000E+02,1.118136E-01,1.824586E+00
ucoop123,2.846000E+02,7.574147E-02,1.904040E+00,2.793000E+02,8.495284E-02,1.892767E+00,2.735000E+02,9.891842E-02,1.841101E+00,2.661000E+02,1.233127E-01,1.713803E+00,2.546000E+02,1.781402E-01,1.427765E+00
