,log10_var,log10_left_bound,log10_right_bound
beta,1.6541765418779606,1.0368205440802192,1.6840596851398901
gammam,-0.50265561898242,-0.5270437477032948,0.0
gammamRNA,0.07481644064517472,0.04178618591168163,0.6928101463079681
gammad,-2.3641143147187273,-3.3010299956639813,-1.0
alphaass,-0.8579235389267151,-2.0,-0.7942495262719981
alphadiss,2.854002233126989,2.788259043985426,3.0
phi0,-0.4310945850171213,-1.0470125311334466,-0.4003484122921441
f1,-1.2640021159082062,-3.0,-0.5531891551196026
f2,1.9303886182443217,1.2226082208987012,1.969545020481891
f3,-0.07396640332115532,-3.0,2.0
f12,-0.8591778198906894,-3.0,-0.6162593918335704
f13,0.4640422054388108,-3.0,2.0
f23,0.2891428359323331,-3.0,2.0
f123,0.7770641547424295,-3.0,2.0
kb1,-1.822463500070138,-1.882260275457201,-0.4301013071734958
kb2,1.1631613749770184,0.2809289351625526,1.1991192846459744
kb3,-0.9419537696047182,-3.0,-0.47365448791959214
ku1,-1.6560009309428387,-2.0,-1.615079047760724
ku2,1.9787737843301225,1.9438040928662836,2.8603792283263836
ku3,1.2605483726369795,0.7924813699244444,3.0
bcoop12,-0.09388054245443841,-0.14575024552203597,1.3010299956639813
bcoop23,-0.6270879970298934,-1.3010299956639813,0.39345883113424734
bcoop13,-0.8440569820281633,-1.3010299956639813,0.919774302363229
bcoop123,0.7194970166105817,-1.3010299956639813,1.3010299956639813
ucoop12,-1.0630341028921297,-1.3010299956639813,-1.0122436632747132
ucoop23,0.11427729656158624,-0.9057390917806685,1.3010299956639813
ucoop13,0.06483221973857385,-1.3010299956639813,1.3010299956639813
ucoop123,1.2317243833285165,-1.3010299956639813,1.3010299956639813
