,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,2.801000E+02,1.769137E-01,9.887473E-01,2.247000E+02,1.998916E-01,1.360975E+00,1.915000E+02,2.535774E-01,1.578873E+00,1.690000E+02,3.409537E-01,1.642819E+00,1.525000E+02,4.852165E-01,1.544834E+00
gammam,1.707000E+02,4.994556E-01,1.907491E+00,1.768000E+02,3.493946E-01,1.946648E+00,1.903000E+02,2.675390E-01,1.762131E+00,2.158000E+02,2.118189E-01,1.465192E+00,2.669000E+02,1.758558E-01,1.056342E+00
gammamRNA,2.281000E+02,2.737758E-01,1.148919E+00,2.392000E+02,1.834885E-01,1.271278E+00,2.580000E+02,1.328840E-01,1.246625E+00,2.900000E+02,1.049352E-01,1.087752E+00,3.531000E+02,9.579932E-02,8.033206E-01
gammad,2.378000E+02,1.880006E-01,1.275305E+00,2.378000E+02,1.887846E-01,1.270464E+00,2.381000E+02,1.907001E-01,1.258807E+00,2.385000E+02,1.954497E-01,1.230875E+00,2.397000E+02,2.076739E-01,1.164764E+00
alphaass,3.437500E+02,1.848580E-01,6.775080E-01,3.014000E+02,1.707908E-01,8.885155E-01,2.706000E+02,1.730006E-01,1.062037E+00,2.473000E+02,1.826955E-01,1.206369E+00,2.290000E+02,1.977216E-01,1.323508E+00
alphadiss,1.586000E+02,4.979298E-01,1.471711E+00,1.736000E+02,3.542876E-01,1.552812E+00,1.950000E+02,2.599672E-01,1.514283E+00,2.276000E+02,1.993613E-01,1.332580E+00,2.844000E+02,1.708069E-01,9.821155E-01
phi0,2.799000E+02,1.769174E-01,9.901803E-01,2.247000E+02,1.999090E-01,1.361106E+00,1.916000E+02,2.534225E-01,1.578551E+00,1.691000E+02,3.404111E-01,1.642885E+00,1.526000E+02,4.837875E-01,1.546187E+00
f1,2.394000E+02,1.808923E-01,1.293485E+00,2.393000E+02,1.812593E-01,1.292316E+00,2.390000E+02,1.827885E-01,1.287456E+00,2.379000E+02,1.892655E-01,1.267060E+00,2.339000E+02,2.187972E-01,1.177578E+00
f2,2.380000E+02,1.894522E-01,1.265801E+00,2.380000E+02,1.894498E-01,1.265858E+00,2.379000E+02,1.894330E-01,1.266242E+00,2.378000E+02,1.893197E-01,1.268857E+00,2.366000E+02,1.885970E-01,1.286164E+00
f3,2.532000E+02,2.113657E-01,1.018330E+00,2.296000E+02,1.833252E-01,1.403723E+00,2.093000E+02,1.823370E-01,1.743749E+00,1.916000E+02,1.977547E-01,2.016178E+00,1.764000E+02,2.273454E-01,2.199635E+00
f12,2.380000E+02,1.894193E-01,1.266580E+00,2.380000E+02,1.895405E-01,1.266160E+00,2.379000E+02,1.902003E-01,1.263875E+00,2.376000E+02,1.938321E-01,1.251391E+00,2.360000E+02,2.150443E-01,1.180760E+00
f13,2.380000E+02,1.894120E-01,1.266606E+00,2.379000E+02,1.894701E-01,1.266395E+00,2.379000E+02,1.898636E-01,1.264966E+00,2.377000E+02,1.925511E-01,1.255259E+00,2.363000E+02,2.116712E-01,1.188391E+00
f23,2.378000E+02,2.017948E-01,1.198355E+00,2.378000E+02,2.016782E-01,1.198956E+00,2.378000E+02,2.008870E-01,1.203056E+00,2.379000E+02,1.956775E-01,1.230923E+00,2.381000E+02,1.671210E-01,1.418551E+00
f123,2.382000E+02,1.840015E-01,1.283927E+00,2.381000E+02,1.855099E-01,1.279071E+00,2.379000E+02,1.896122E-01,1.265968E+00,2.375000E+02,2.011930E-01,1.229252E+00,2.362000E+02,2.376236E-01,1.122736E+00
kb1,2.906000E+02,3.257758E-01,4.354031E+00,2.713000E+02,2.076065E-01,4.037315E+00,2.590000E+02,1.707473E-01,3.162525E+00,2.490000E+02,1.633620E-01,2.198951E+00,2.389000E+02,1.854098E-01,1.329764E+00
kb2,2.229000E+02,3.230913E-01,1.568108E+00,2.342000E+02,2.124078E-01,1.380380E+00,2.431000E+02,1.657352E-01,1.078878E+00,2.506000E+02,1.461927E-01,7.768744E-01,2.572000E+02,1.444870E-01,5.144364E-01
kb3,2.502000E+02,2.137480E-01,1.083517E+00,2.289000E+02,1.797137E-01,1.385612E+00,2.119000E+02,1.769647E-01,1.549487E+00,1.991000E+02,1.951693E-01,1.549825E+00,1.902000E+02,2.457322E-01,1.349408E+00
ku1,2.888000E+02,1.032791E-01,5.327264E-01,2.681000E+02,1.127887E-01,7.860479E-01,2.525000E+02,1.388635E-01,1.029479E+00,2.391000E+02,1.841700E-01,1.250414E+00,2.250000E+02,2.760195E-01,1.378027E+00
ku2,4.204500E+02,6.192310E-02,3.675222E-01,3.649000E+02,5.740749E-02,6.077577E-01,3.168000E+02,6.982887E-02,8.828508E-01,2.747000E+02,1.065261E-01,1.143281E+00,2.338000E+02,2.049255E-01,1.266372E+00
ku3,2.108000E+02,1.974586E-01,1.492617E+00,2.160000E+02,1.600373E-01,1.675537E+00,2.227000E+02,1.535992E-01,1.651656E+00,2.312000E+02,1.664513E-01,1.466316E+00,2.419000E+02,2.097996E-01,1.137853E+00
bcoop12,2.278000E+02,2.952027E-01,1.398392E+00,2.371000E+02,1.957251E-01,1.286491E+00,2.444000E+02,1.511271E-01,1.063073E+00,2.505000E+02,1.296211E-01,8.202686E-01,2.560000E+02,1.217086E-01,5.950830E-01
bcoop23,2.151000E+02,3.159994E-01,1.200565E+00,2.337000E+02,2.064894E-01,1.265581E+00,2.521000E+02,1.459582E-01,1.239785E+00,2.702000E+02,1.096272E-01,1.157592E+00,2.886000E+02,8.658337E-02,1.043636E+00
bcoop13,2.456000E+02,1.556776E-01,1.217310E+00,2.598000E+02,1.137757E-01,1.041471E+00,2.727000E+02,9.358196E-02,8.240464E-01,2.853000E+02,8.632017E-02,6.035509E-01,2.975000E+02,9.154364E-02,4.009491E-01
bcoop123,2.081000E+02,4.158739E-01,1.068033E+00,2.142000E+02,3.441276E-01,1.132868E+00,2.205000E+02,2.895902E-01,1.189660E+00,2.267000E+02,2.464947E-01,1.228660E+00,2.329000E+02,2.121679E-01,1.254355E+00
ucoop12,2.738000E+02,1.014066E-01,1.342986E+00,2.596000E+02,1.273274E-01,1.333846E+00,2.451000E+02,1.647474E-01,1.297367E+00,2.305000E+02,2.217641E-01,1.222226E+00,2.160000E+02,3.157114E-01,1.092501E+00
ucoop23,3.718000E+02,5.111525E-02,9.734357E-01,3.258000E+02,6.844610E-02,1.125786E+00,2.855000E+02,9.952312E-02,1.242760E+00,2.503000E+02,1.560267E-01,1.282516E+00,2.202000E+02,2.644693E-01,1.193932E+00
ucoop13,4.147000E+02,3.289299E-02,1.089386E+00,3.618000E+02,4.408836E-02,1.240725E+00,3.162000E+02,6.526289E-02,1.345905E+00,2.739000E+02,1.077853E-01,1.368507E+00,2.341000E+02,2.033831E-01,1.244411E+00
ucoop123,2.569000E+02,1.391038E-01,1.339733E+00,2.440000E+02,1.707936E-01,1.295291E+00,2.317000E+02,2.129419E-01,1.228626E+00,2.203000E+02,2.711696E-01,1.137136E+00,2.096000E+02,3.545736E-01,1.017063E+00
