,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.267000E+02,1.907355E-01,8.178392E+01,1.018000E+02,2.195499E-01,1.078767E+02,8.650000E+01,2.814455E-01,1.299630E+02,7.650000E+01,3.942639E-01,1.514109E+02,7.030000E+01,6.361939E-01,1.734905E+02
gammam,8.670000E+01,8.340087E-01,1.240790E+02,8.930000E+01,4.431685E-01,1.160012E+02,9.630000E+01,2.918534E-01,1.074671E+02,1.083000E+02,2.156694E-01,9.795443E+01,1.295000E+02,1.767448E-01,8.471392E+01
gammamRNA,7.280000E+01,6.755423E-01,1.744037E+02,7.820000E+01,4.014314E-01,1.511318E+02,8.760000E+01,2.825330E-01,1.292072E+02,1.024000E+02,2.194182E-01,1.072749E+02,1.268000E+02,1.902293E-01,8.187151E+01
gammad,1.141000E+02,1.931150E-01,9.811875E+01,1.141000E+02,1.941246E-01,9.744496E+01,1.141000E+02,1.966049E-01,9.582551E+01,1.141000E+02,2.028288E-01,9.201406E+01,1.141000E+02,2.193734E-01,8.327161E+01
alphaass,1.304000E+02,1.834897E-01,8.248014E+01,1.069000E+02,2.139186E-01,9.950379E+01,9.320000E+01,2.763933E-01,1.111542E+02,8.480000E+01,3.957684E-01,1.209587E+02,8.090000E+01,6.818585E-01,1.300563E+02
alphadiss,8.130000E+01,6.891202E-01,1.298571E+02,8.510000E+01,3.986014E-01,1.208323E+02,9.320000E+01,2.779598E-01,1.111435E+02,1.067000E+02,2.148786E-01,9.970530E+01,1.296000E+02,1.837035E-01,8.318298E+01
phi0,1.311000E+02,1.900362E-01,7.770968E+01,1.063000E+02,2.103284E-01,1.026426E+02,9.070000E+01,2.576532E-01,1.230855E+02,8.010000E+01,3.386594E-01,1.424790E+02,7.300000E+01,4.854710E-01,1.620752E+02
f1,1.159000E+02,1.567808E-01,9.652311E+01,1.155000E+02,1.642644E-01,9.609793E+01,1.144000E+02,1.896623E-01,9.470360E+01,1.110000E+02,2.860323E-01,9.006354E+01,1.000000E+02,7.828046E-01,7.369398E+01
f2,1.141000E+02,1.991999E-01,9.419395E+01,1.140000E+02,1.991973E-01,9.419442E+01,1.140000E+02,1.991698E-01,9.422322E+01,1.140000E+02,1.989505E-01,9.439477E+01,1.135000E+02,1.974814E-01,9.557385E+01
f3,1.317000E+02,3.967681E-01,3.639066E+01,1.244000E+02,2.528507E-01,6.523493E+01,1.169000E+02,2.099363E-01,8.626419E+01,1.105000E+02,1.879868E-01,1.046401E+02,1.051000E+02,1.748343E-01,1.217636E+02
f12,1.141000E+02,1.989202E-01,9.417364E+01,1.141000E+02,1.989282E-01,9.417470E+01,1.140000E+02,1.989904E-01,9.417907E+01,1.141000E+02,1.993605E-01,9.422397E+01,1.141000E+02,2.018323E-01,9.451773E+01
f13,1.130000E+02,2.172910E-01,8.510574E+01,1.130000E+02,2.171776E-01,8.515512E+01,1.130000E+02,2.165285E-01,8.544671E+01,1.132000E+02,2.125769E-01,8.727757E+01,1.147000E+02,1.904345E-01,9.950655E+01
f23,1.141000E+02,1.991813E-01,9.420969E+01,1.140000E+02,1.991239E-01,9.424334E+01,1.141000E+02,1.987049E-01,9.448589E+01,1.144000E+02,1.959303E-01,9.614744E+01,1.159000E+02,1.785419E-01,1.085045E+02
f123,1.136000E+02,1.949577E-01,9.368276E+01,1.137000E+02,1.950102E-01,9.369172E+01,1.136000E+02,1.953214E-01,9.372609E+01,1.139000E+02,1.969781E-01,9.392610E+01,1.147000E+02,2.050585E-01,9.501762E+01
kb1,1.136000E+02,2.297300E-01,1.563559E+02,1.134000E+02,2.087158E-01,1.269994E+02,1.140000E+02,1.992618E-01,9.656740E+01,1.151000E+02,2.119482E-01,6.448244E+01,1.130000E+02,3.418906E-01,2.759965E+01
kb2,1.138000E+02,2.058993E-01,9.180618E+01,1.117000E+02,2.613790E-01,7.518621E+01,1.082000E+02,3.667023E-01,5.472737E+01,1.032000E+02,5.745730E-01,3.479819E+01,9.700000E+01,1.074282E+00,1.886278E+01
kb3,1.252000E+02,2.357047E-01,6.977998E+01,1.091000E+02,1.913209E-01,1.044552E+02,9.810000E+01,1.857211E-01,1.274138E+02,9.030000E+01,1.950128E-01,1.444366E+02,8.510000E+01,2.218056E-01,1.574621E+02
ku1,1.056000E+02,2.182528E-01,1.014465E+02,9.390000E+01,2.635373E-01,1.129197E+02,8.450000E+01,3.344583E-01,1.241606E+02,7.730000E+01,4.532826E-01,1.354230E+02,7.230000E+01,6.931794E-01,1.467818E+02
ku2,7.430000E+01,1.188347E+00,1.833025E+01,9.740000E+01,6.167672E-01,4.845777E+01,1.117000E+02,2.520419E-01,8.136678E+01,1.153000E+02,1.705644E-01,1.044309E+02,1.159000E+02,1.563383E-01,1.115047E+02
ku3,8.590000E+01,2.404968E-01,1.564998E+02,9.080000E+01,2.057330E-01,1.437563E+02,9.820000E+01,1.905650E-01,1.272269E+02,1.088000E+02,1.918497E-01,1.051276E+02,1.242000E+02,2.295801E-01,7.231684E+01
bcoop12,1.146000E+02,1.992539E-01,9.422741E+01,1.160000E+02,1.972156E-01,9.426634E+01,1.183000E+02,1.875060E-01,9.417841E+01,1.202000E+02,1.704763E-01,9.316386E+01,1.207000E+02,1.558036E-01,8.930797E+01
bcoop23,1.158000E+02,1.600052E-01,1.096804E+02,1.156000E+02,1.652859E-01,1.072337E+02,1.149000E+02,1.793916E-01,1.013549E+02,1.134000E+02,2.150081E-01,8.917844E+01,1.102000E+02,2.968019E-01,6.951235E+01
bcoop13,1.149000E+02,2.118568E-01,9.776547E+01,1.145000E+02,2.056749E-01,9.622863E+01,1.136000E+02,1.950628E-01,9.266065E+01,1.113000E+02,1.821566E-01,8.564446E+01,1.058000E+02,1.842135E-01,7.468858E+01
bcoop123,1.137000E+02,1.982864E-01,9.417224E+01,1.139000E+02,1.983600E-01,9.419268E+01,1.142000E+02,2.000050E-01,9.419860E+01,1.149000E+02,2.071164E-01,9.409637E+01,1.163000E+02,2.259927E-01,9.367836E+01
ucoop12,1.145000E+02,2.044281E-01,9.425516E+01,1.140000E+02,1.985298E-01,9.418777E+01,1.138000E+02,1.976706E-01,9.412466E+01,1.136000E+02,1.980373E-01,9.409113E+01,1.136000E+02,1.983831E-01,9.407212E+01
ucoop23,1.150000E+02,1.759080E-01,1.012213E+02,1.156000E+02,1.637400E-01,1.071399E+02,1.158000E+02,1.594401E-01,1.096476E+02,1.159000E+02,1.578463E-01,1.106191E+02,1.160000E+02,1.572469E-01,1.109837E+02
ucoop13,1.199000E+02,3.588511E-01,1.267755E+02,1.181000E+02,2.405557E-01,1.139072E+02,1.153000E+02,2.014387E-01,1.000542E+02,1.136000E+02,2.016143E-01,9.238317E+01,1.129000E+02,2.115398E-01,8.892423E+01
ucoop123,1.138000E+02,1.958595E-01,9.418125E+01,1.136000E+02,1.971311E-01,9.413432E+01,1.136000E+02,1.979564E-01,9.409307E+01,1.136000E+02,1.982384E-01,9.407057E+01,1.135000E+02,1.983378E-01,9.405973E+01
