,log10_var,log10_left_bound,log10_right_bound
beta,-0.05443294655761147,-0.4838256751493887,0.18309832097851833
gammam,-0.25034096790510024,-0.45173201029486343,0.0
gammamRNA,0.15956719323362029,-0.0780174492263297,0.5896324185711037
gammad,-2.9427143555817854,-3.3010299956639813,-1.0
alphaass,-0.5973947580800852,-1.460325717464408,-0.16335012916252328
alphadiss,0.9663764230889229,0.5364274162892447,1.8282832906469377
phi0,0.0008677215312269133,-0.4329141477851133,0.23894220976011427
f1,1.8310374856400253,1.448894872029828,2.0
f2,0.7471786713601645,-3.0,1.221880502915102
f3,-0.715118285344547,-3.0,2.0
f12,-2.1597684050418913,-3.0,-0.3926792876656972
f13,-1.8016178699917058,-3.0,2.0
f23,0.9012403020733092,-3.0,2.0
f123,-1.0663102910421054,-3.0,2.0
kb1,-0.35271485497463334,-0.8878594106584721,0.04706286452300944
kb2,-1.968995718636463,-2.802659336770261,-1.5775225081068904
kb3,-2.6029294500405915,-3.0,-0.2430290972365773
ku1,-0.30697693207630594,-0.5086847585281524,0.32922859098915525
ku2,-1.4615519482897827,-2.0,-1.1522060612501592
ku3,0.17143390094300825,-2.0,3.0
bcoop12,1.2823955047425255,0.5936502297318065,1.3010299956639813
bcoop23,0.7249309141923979,-1.3010299956639813,1.3010299956639813
bcoop13,-0.9542859410591323,-1.3010299956639813,1.3010299956639813
bcoop123,-1.164816930150956,-1.3010299956639813,1.3010299956639813
ucoop12,-1.2105603154328208,-1.3010299956639813,-0.9505714746356908
ucoop23,1.2711443179490785,-1.3010299956639813,1.3010299956639813
ucoop13,-1.2556287726681394,-1.3010299956639813,1.3010299956639813
ucoop123,-0.28709787495277733,-1.3010299956639813,1.3010299956639813
