,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,5.430000E+01,1.323583E+00,4.119671E+00,5.330000E+01,1.170688E+00,5.274816E+00,5.230000E+01,1.110737E+00,6.369713E+00,5.110000E+01,1.104960E+00,7.420037E+00,5.020000E+01,1.142814E+00,8.411300E+00
gammam,5.380000E+01,1.958531E+00,5.990461E+00,5.400000E+01,1.532405E+00,5.973637E+00,5.410000E+01,1.341157E+00,5.468293E+00,5.420000E+01,1.286932E+00,4.678244E+00,5.420000E+01,1.379452E+00,3.667688E+00
gammamRNA,4.670000E+01,2.054961E+00,1.053311E+01,4.840000E+01,1.422973E+00,1.014984E+01,5.010000E+01,1.173851E+00,8.711885E+00,5.190000E+01,1.105753E+00,6.860563E+00,5.370000E+01,1.218058E+00,4.814927E+00
gammad,5.470000E+01,1.087072E+00,5.094807E+00,5.470000E+01,1.098302E+00,5.039264E+00,5.460000E+01,1.123196E+00,4.920608E+00,5.450000E+01,1.180978E+00,4.667121E+00,5.420000E+01,1.332501E+00,4.116898E+00
alphaass,5.430000E+01,1.323544E+00,4.101684E+00,5.350000E+01,1.223897E+00,5.407038E+00,5.260000E+01,1.282675E+00,6.469075E+00,5.180000E+01,1.494540E+00,7.186198E+00,5.110000E+01,1.992505E+00,7.252651E+00
alphadiss,5.190000E+01,2.029359E+00,6.941369E+00,5.240000E+01,1.526619E+00,6.953679E+00,5.300000E+01,1.307279E+00,6.337520E+00,5.360000E+01,1.236912E+00,5.384208E+00,5.420000E+01,1.309636E+00,4.197218E+00
phi0,5.340000E+01,1.189032E+00,5.075776E+00,5.150000E+01,1.101877E+00,7.100049E+00,4.960000E+01,1.182927E+00,8.927111E+00,4.780000E+01,1.446303E+00,1.031946E+01,4.590000E+01,2.111461E+00,1.060449E+01
f1,5.420000E+01,1.309471E+00,4.188684E+00,5.420000E+01,1.327530E+00,4.161846E+00,5.420000E+01,1.364405E+00,4.107442E+00,5.420000E+01,1.443081E+00,3.993296E+00,5.410000E+01,1.630579E+00,3.731579E+00
f2,5.400000E+01,8.176253E-01,7.088560E+00,5.310000E+01,6.001611E-01,1.132179E+01,5.200000E+01,5.449626E-01,1.591817E+01,5.090000E+01,5.936081E-01,2.055623E+01,4.980000E+01,8.573333E-01,2.393168E+01
f3,5.420000E+01,1.311127E+00,4.186160E+00,5.420000E+01,1.311067E+00,4.186362E+00,5.420000E+01,1.310658E+00,4.187736E+00,5.420000E+01,1.307868E+00,4.197138E+00,5.420000E+01,1.289364E+00,4.260734E+00
f12,5.420000E+01,1.310918E+00,4.186827E+00,5.420000E+01,1.309372E+00,4.191848E+00,5.420000E+01,1.300485E+00,4.220883E+00,5.440000E+01,1.251573E+00,4.388562E+00,5.550000E+01,1.030915E+00,5.361495E+00
f13,5.410000E+01,1.335696E+00,4.108195E+00,5.420000E+01,1.335399E+00,4.109137E+00,5.410000E+01,1.333350E+00,4.115516E+00,5.420000E+01,1.319630E+00,4.158838E+00,5.450000E+01,1.234406E+00,4.450755E+00
f23,5.420000E+01,1.315353E+00,4.174650E+00,5.420000E+01,1.314883E+00,4.175946E+00,5.420000E+01,1.311657E+00,4.184727E+00,5.420000E+01,1.290153E+00,4.244258E+00,5.450000E+01,1.161066E+00,4.641689E+00
f123,5.420000E+01,1.311100E+00,4.186253E+00,5.420000E+01,1.311092E+00,4.186275E+00,5.420000E+01,1.311040E+00,4.186412E+00,5.420000E+01,1.310652E+00,4.187455E+00,5.420000E+01,1.308096E+00,4.194352E+00
kb1,6.480000E+01,1.348163E+00,2.532985E+01,6.240000E+01,9.386420E-01,2.051241E+01,6.020000E+01,8.156471E-01,1.524088E+01,5.810000E+01,8.253543E-01,1.046744E+01,5.590000E+01,9.954677E-01,6.432204E+00
kb2,5.410000E+01,9.898974E-01,5.784016E+00,5.360000E+01,7.586863E-01,8.659583E+00,5.280000E+01,7.073783E-01,1.143554E+01,5.210000E+01,7.809252E-01,1.383116E+01,5.110000E+01,1.112734E+00,1.490470E+01
kb3,5.420000E+01,1.314847E+00,4.177844E+00,5.420000E+01,1.343831E+00,4.113925E+00,5.410000E+01,1.394426E+00,4.006997E+00,5.410000E+01,1.486658E+00,3.825422E+00,5.400000E+01,1.673215E+00,3.500560E+00
ku1,5.440000E+01,1.339661E+00,3.974397E+00,5.330000E+01,1.247761E+00,5.184096E+00,5.200000E+01,1.297680E+00,6.277769E+00,5.070000E+01,1.495850E+00,7.143532E+00,4.940000E+01,1.978758E+00,7.446116E+00
ku2,5.110000E+01,1.123921E+00,1.489006E+01,5.200000E+01,7.877091E-01,1.390968E+01,5.270000E+01,7.083717E-01,1.160857E+01,5.360000E+01,7.486400E-01,8.918689E+00,5.410000E+01,9.467763E-01,6.122102E+00
ku3,5.360000E+01,1.653275E+00,3.727060E+00,5.400000E+01,1.497513E+00,3.819254E+00,5.420000E+01,1.326776E+00,4.151587E+00,5.420000E+01,1.284590E+00,4.246692E+00,5.420000E+01,1.275382E+00,4.268223E+00
bcoop12,5.420000E+01,1.305986E+00,4.207678E+00,5.410000E+01,1.326645E+00,4.122658E+00,5.370000E+01,1.363927E+00,3.979078E+00,5.330000E+01,1.434052E+00,3.738503E+00,5.250000E+01,1.580331E+00,3.330937E+00
bcoop23,5.430000E+01,1.269586E+00,4.291670E+00,5.420000E+01,1.270749E+00,4.288634E+00,5.420000E+01,1.273940E+00,4.280362E+00,5.420000E+01,1.282699E+00,4.257801E+00,5.430000E+01,1.307138E+00,4.196093E+00
bcoop13,5.430000E+01,1.325013E+00,4.142383E+00,5.420000E+01,1.324691E+00,4.143438E+00,5.420000E+01,1.323798E+00,4.146227E+00,5.430000E+01,1.321368E+00,4.153795E+00,5.420000E+01,1.314834E+00,4.174402E+00
bcoop123,5.430000E+01,1.311182E+00,4.185983E+00,5.420000E+01,1.311785E+00,4.184128E+00,5.420000E+01,1.313409E+00,4.179109E+00,5.410000E+01,1.317799E+00,4.165641E+00,5.400000E+01,1.329437E+00,4.130580E+00
ucoop12,5.350000E+01,1.404424E+00,3.656006E+00,5.400000E+01,1.333633E+00,4.033880E+00,5.420000E+01,1.311920E+00,4.180286E+00,5.430000E+01,1.304453E+00,4.235460E+00,5.430000E+01,1.301774E+00,4.256013E+00
ucoop23,5.420000E+01,1.330490E+00,4.138756E+00,5.420000E+01,1.291257E+00,4.235993E+00,5.420000E+01,1.277237E+00,4.271806E+00,5.420000E+01,1.272117E+00,4.285049E+00,5.430000E+01,1.270252E+00,4.289894E+00
ucoop13,5.610000E+01,9.366727E-01,5.762360E+00,5.480000E+01,1.139222E+00,4.773366E+00,5.440000E+01,1.252168E+00,4.369656E+00,5.420000E+01,1.302232E+00,4.212810E+00,5.420000E+01,1.322134E+00,4.153676E+00
ucoop123,5.420000E+01,1.311509E+00,4.183888E+00,5.420000E+01,1.311237E+00,4.185463E+00,5.420000E+01,1.311130E+00,4.186061E+00,5.420000E+01,1.311097E+00,4.186264E+00,5.420000E+01,1.311088E+00,4.186326E+00
