,log10_var,log10_left_bound,log10_right_bound
beta,-1.1654521423190514,-1.8337424189776232,-1.0355400632926512
gammam,-1.241693818274693,-1.3344169958266134,-0.5674928778833558
gammamRNA,0.3972445810103864,0.26785733622581115,1.0
gammad,-2.0326860817129164,-3.3010299956639813,-1.4396983707293276
alphaass,-0.45705015118582115,-1.8101448428216929,-0.2606614143481636
alphadiss,0.22530928172586284,0.033176599904302655,1.5828483929127213
phi0,-0.04421607108308855,-0.7126969061621109,0.0822319687746292
f1,-2.164943898279884,-3.0,1.597334525459269
f2,1.8136476953468967,1.7055286553146911,2.0
f3,0.9822712330395684,-3.0,1.4076500536050611
f12,-2.7510463845042925,-3.0,1.1694948214587222
f13,0.7759015788916743,-3.0,1.7370101048400084
f23,-1.297397158659573,-3.0,0.6378916034052742
f123,-0.8265223565470055,-3.0,-0.6857482938674182
kb1,-1.5525318690502443,-2.4826432266331926,-1.3200908190244958
kb2,-0.9222688203476079,-1.1129980497297614,-0.38861230725678503
kb3,-2.4813544756696886,-3.0,-2.2931725982734026
ku1,-1.9515581964495956,-2.0,-1.0473185648713979
ku2,-1.3272558016934008,-1.5769069690337403,-1.0610281498314045
ku3,-1.9935339577507682,-2.0,-1.2864417469364506
bcoop12,-0.6645420993106158,-1.0474293494606872,0.16852263625478958
bcoop23,1.0350292822023681,-0.009809730749573302,1.3010299956639813
bcoop13,-0.0436394463266779,-0.4021922201611433,0.9254680226079964
bcoop123,0.6857417386022636,0.33262410614478655,1.3010299956639813
ucoop12,-1.0700194094844853,-1.3010299956639813,-0.657864337105162
ucoop23,-0.9621752494116581,-1.3010299956639813,-0.4626787793070736
ucoop13,-0.44273347113009587,-1.3010299956639813,0.08516367213764234
ucoop123,-1.1187865837449809,-1.3010299956639813,-0.6414399538225097
