,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,7.033E-02,3.421E+01,7.032E+02,9.238E-02,1.548E+01,1.338E+03,1.224E-01,7.719E+00,2.258E+03,1.664E-01,3.953E+00,3.595E+03,2.412E-01,1.969E+00,5.524E+03
gammam,2.445E-01,2.080E+00,2.009E+03,1.677E-01,4.205E+00,1.721E+03,1.227E-01,8.248E+00,1.388E+03,9.192E-02,1.655E+01,1.021E+03,6.945E-02,3.635E+01,6.412E+02
gammamRNA,2.420E-01,1.958E+00,5.541E+03,1.667E-01,3.937E+00,3.605E+03,1.226E-01,7.697E+00,2.263E+03,9.245E-02,1.545E+01,1.340E+03,7.035E-02,3.417E+01,7.038E+02
gammad,6.438E-02,3.797E+01,1.102E+03,6.436E-02,3.899E+01,9.770E+02,6.432E-02,4.093E+01,8.089E+02,6.425E-02,4.490E+01,6.072E+02,6.413E-02,5.447E+01,3.906E+02
alphaass,6.930E-02,3.659E+01,6.382E+02,9.187E-02,1.657E+01,1.020E+03,1.228E-01,8.227E+00,1.389E+03,1.682E-01,4.178E+00,1.724E+03,2.462E-01,2.056E+00,2.013E+03
alphadiss,2.465E-01,2.052E+00,2.014E+03,1.685E-01,4.162E+00,1.726E+03,1.231E-01,8.181E+00,1.392E+03,9.216E-02,1.644E+01,1.025E+03,6.957E-02,3.615E+01,6.435E+02
phi0,7.086E-02,3.337E+01,7.180E+02,9.290E-02,1.525E+01,1.354E+03,1.229E-01,7.651E+00,2.272E+03,1.667E-01,3.938E+00,3.604E+03,2.411E-01,1.972E+00,5.520E+03
f1,6.421E-02,4.720E+01,5.335E+02,6.421E-02,4.720E+01,5.335E+02,6.421E-02,4.720E+01,5.335E+02,6.422E-02,4.720E+01,5.335E+02,6.426E-02,4.719E+01,5.335E+02
f2,6.151E-02,4.751E+01,5.332E+02,6.259E-02,4.738E+01,5.333E+02,6.667E-02,4.693E+01,5.337E+02,8.513E-02,4.532E+01,5.351E+02,2.533E-01,3.952E+01,5.400E+02
f12,6.408E-02,6.129E+01,4.232E+02,6.435E-02,3.776E+01,6.470E+02,6.467E-02,2.546E+01,9.005E+02,6.504E-02,1.790E+01,1.198E+03,6.547E-02,1.289E+01,1.550E+03
kb1,6.446E-02,3.427E+01,5.838E+02,6.579E-02,1.137E+01,7.176E+02,6.809E-02,4.185E+00,7.958E+02,7.238E-02,1.606E+00,8.437E+02,8.188E-02,6.151E-01,8.737E+02
kb2,5.594E-01,8.404E+01,5.112E+02,4.661E-01,5.505E+01,5.295E+02,2.894E-01,4.868E+01,5.328E+02,1.351E-01,4.742E+01,5.334E+02,5.382E-02,4.718E+01,5.335E+02
ku1,8.211E-02,6.059E-01,8.741E+02,7.248E-02,1.580E+00,8.443E+02,6.814E-02,4.111E+00,7.969E+02,6.582E-02,1.114E+01,7.196E+02,6.448E-02,3.342E+01,5.875E+02
ku2,2.378E-02,4.714E+01,5.335E+02,7.253E-02,4.722E+01,5.335E+02,1.965E-01,4.775E+01,5.332E+02,4.009E-01,5.128E+01,5.315E+02,5.445E-01,7.215E+01,5.193E+02
bcoop,6.445E-02,3.479E+01,5.815E+02,6.577E-02,1.152E+01,7.164E+02,6.805E-02,4.234E+00,7.950E+02,7.231E-02,1.624E+00,8.433E+02,8.171E-02,6.222E-01,8.735E+02
ucoop,7.009E-02,2.464E+00,8.249E+02,6.762E-02,4.904E+00,7.856E+02,6.601E-02,9.998E+00,7.297E+02,6.493E-02,2.130E+01,6.486E+02,6.418E-02,4.996E+01,5.240E+02
