,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.994E+00,7.930E+01,6.083E+02,2.254E+00,4.837E+01,8.702E+02,2.586E+00,3.178E+01,1.145E+03,3.044E+00,2.138E+01,1.445E+03,3.776E+00,1.410E+01,1.776E+03
gammam,2.958E+00,3.028E+01,8.059E+02,2.569E+00,4.133E+01,7.427E+02,2.263E+00,5.685E+01,6.697E+02,2.013E+00,8.012E+01,5.833E+02,1.803E+00,1.199E+02,4.745E+02
gammamRNA,3.730E+00,1.440E+01,1.760E+03,3.011E+00,2.190E+01,1.426E+03,2.558E+00,3.275E+01,1.124E+03,2.228E+00,5.033E+01,8.468E+02,1.970E+00,8.413E+01,5.813E+02
gammad,2.096E+00,3.355E+01,2.861E+03,2.072E+00,3.733E+01,2.174E+03,2.042E+00,4.331E+01,1.591E+03,2.006E+00,5.379E+01,1.098E+03,1.962E+00,7.617E+01,6.756E+02
alphaass,1.878E+00,1.018E+02,5.193E+02,2.186E+00,6.254E+01,6.464E+02,2.585E+00,4.073E+01,7.458E+02,3.140E+00,2.686E+01,8.279E+02,4.037E+00,1.719E+01,8.969E+02
alphadiss,4.038E+00,1.718E+01,8.970E+02,3.137E+00,2.690E+01,8.276E+02,2.581E+00,4.088E+01,7.450E+02,2.181E+00,6.294E+01,6.448E+02,1.872E+00,1.029E+02,5.164E+02
phi0,1.988E+00,8.034E+01,6.023E+02,2.247E+00,4.885E+01,8.644E+02,2.578E+00,3.205E+01,1.139E+03,3.033E+00,2.154E+01,1.439E+03,3.757E+00,1.422E+01,1.770E+03
f1,1.931E+00,8.979E+01,5.539E+02,2.009E+00,8.813E+01,5.553E+02,2.183E+00,8.476E+01,5.579E+02,2.620E+00,7.790E+01,5.631E+02,4.056E+00,6.365E+01,5.733E+02
f2,1.948E+00,8.941E+01,5.542E+02,1.955E+00,8.926E+01,5.544E+02,1.984E+00,8.864E+01,5.549E+02,2.107E+00,8.617E+01,5.568E+02,2.750E+00,7.619E+01,5.644E+02
f12,1.973E+00,6.955E+01,6.723E+02,2.063E+00,3.918E+01,1.009E+03,2.189E+00,2.406E+01,1.378E+03,2.380E+00,1.522E+01,1.795E+03,2.721E+00,9.484E+00,2.274E+03
kb1,4.243E+00,1.062E+02,5.030E+02,2.085E+00,9.014E+01,5.518E+02,1.020E+00,8.552E+01,5.678E+02,5.043E-01,8.402E+01,5.732E+02,2.530E-01,8.352E+01,5.751E+02
kb2,1.959E+00,7.905E+01,5.897E+02,2.046E+00,4.304E+01,7.582E+02,2.168E+00,2.567E+01,8.880E+02,2.355E+00,1.582E+01,9.934E+02,2.693E+00,9.635E+00,1.081E+03
ku1,6.389E-01,8.436E+01,5.720E+02,1.073E+00,8.571E+01,5.671E+02,1.813E+00,8.878E+01,5.565E+02,3.064E+00,9.615E+01,5.325E+02,5.118E+00,1.165E+02,4.759E+02
ku2,2.663E+00,9.953E+00,1.076E+03,2.343E+00,1.622E+01,9.884E+02,2.162E+00,2.621E+01,8.831E+02,2.043E+00,4.380E+01,7.535E+02,1.958E+00,8.026E+01,5.853E+02
bcoop,2.000E+00,5.784E+01,6.778E+02,2.093E+00,3.519E+01,8.105E+02,2.222E+00,2.247E+01,9.186E+02,2.417E+00,1.458E+01,1.009E+03,2.765E+00,9.262E+00,1.086E+03
ucoop,2.723E+00,9.667E+00,1.080E+03,2.370E+00,1.590E+01,9.923E+02,2.177E+00,2.577E+01,8.870E+02,2.050E+00,4.308E+01,7.579E+02,1.961E+00,7.863E+01,5.912E+02
