,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,5.898E-02,3.434E+01,6.313E+02,7.551E-02,1.587E+01,1.147E+03,9.880E-02,8.009E+00,1.858E+03,1.344E-01,4.099E+00,2.845E+03,1.991E-01,1.994E+00,4.214E+03
gammam,2.027E-01,2.163E+00,1.606E+03,1.352E-01,4.503E+00,1.400E+03,9.828E-02,8.867E+00,1.157E+03,7.433E-02,1.761E+01,8.818E+02,5.747E-02,3.786E+01,5.812E+02
gammamRNA,1.995E-01,1.987E+00,4.221E+03,1.345E-01,4.094E+00,2.847E+03,9.877E-02,8.015E+00,1.857E+03,7.543E-02,1.591E+01,1.145E+03,5.888E-02,3.454E+01,6.283E+02
gammad,5.736E-02,3.179E+01,1.038E+03,5.732E-02,3.350E+01,8.537E+02,5.726E-02,3.631E+01,6.675E+02,5.718E-02,4.131E+01,4.876E+02,5.706E-02,5.193E+01,3.179E+02
alphaass,4.677E-02,9.618E+01,2.916E+02,4.883E-02,7.395E+01,3.616E+02,5.099E-02,6.000E+01,4.242E+02,5.326E-02,5.001E+01,4.833E+02,5.566E-02,4.237E+01,5.406E+02
alphadiss,2.032E-01,2.155E+00,1.607E+03,1.353E-01,4.495E+00,1.401E+03,9.828E-02,8.866E+00,1.157E+03,7.428E-02,1.764E+01,8.812E+02,5.740E-02,3.802E+01,5.797E+02
phi0,5.934E-02,3.359E+01,6.426E+02,7.598E-02,1.560E+01,1.162E+03,9.946E-02,7.886E+00,1.877E+03,1.354E-01,4.038E+00,2.871E+03,2.011E-01,1.961E+00,4.248E+03
f1,5.519E-02,3.860E+01,5.756E+02,5.828E-02,3.835E+01,5.758E+02,6.806E-02,3.765E+01,5.764E+02,1.086E-01,3.576E+01,5.779E+02,4.071E-01,3.044E+01,5.821E+02
f2,5.159E-02,3.892E+01,5.753E+02,5.160E-02,3.892E+01,5.753E+02,5.172E-02,3.891E+01,5.753E+02,5.252E-02,3.884E+01,5.754E+02,5.854E-02,3.833E+01,5.758E+02
f12,5.755E-02,2.592E+01,7.922E+02,5.877E-02,1.024E+01,1.595E+03,6.071E-02,4.463E+00,2.834E+03,6.394E-02,2.004E+00,4.742E+03,6.994E-02,8.958E-01,7.651E+03
kb1,1.166E+00,2.884E+01,5.771E+02,4.342E-01,3.427E+01,5.764E+02,2.084E-01,3.670E+01,5.760E+02,1.124E-01,3.783E+01,5.758E+02,6.451E-02,3.836E+01,5.757E+02
kb2,5.685E-02,4.378E+01,5.543E+02,6.032E-02,1.731E+01,6.872E+02,6.604E-02,7.458E+00,7.721E+02,7.638E-02,3.258E+00,8.293E+02,9.906E-02,1.343E+00,8.686E+02
ku1,1.749E-02,3.877E+01,5.757E+02,3.696E-02,3.862E+01,5.757E+02,8.228E-02,3.817E+01,5.758E+02,2.040E-01,3.675E+01,5.760E+02,6.717E-01,3.218E+01,5.767E+02
ku2,6.484E-02,8.587E+00,7.600E+02,6.157E-02,1.378E+01,7.133E+02,5.912E-02,2.251E+01,6.541E+02,5.724E-02,3.812E+01,5.770E+02,5.579E-02,6.971E+01,4.706E+02
bcoop,5.732E-02,3.433E+01,5.936E+02,5.866E-02,1.162E+01,7.324E+02,6.096E-02,4.332E+00,8.152E+02,6.522E-02,1.665E+00,8.670E+02,7.462E-02,6.269E-01,9.000E+02
ucoop,7.452E-02,6.314E-01,8.998E+02,6.516E-02,1.681E+00,8.666E+02,6.093E-02,4.383E+00,8.144E+02,5.864E-02,1.179E+01,7.309E+02,5.730E-02,3.503E+01,5.904E+02
