,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,3.275E-01,5.427E+01,3.366E+02,4.406E-01,3.484E+01,5.119E+02,6.069E-01,2.352E+01,7.204E+02,8.707E-01,1.577E+01,9.771E+02,1.361E+00,9.876E+00,1.297E+03
gammam,1.367E+00,9.860E+00,1.266E+03,8.794E-01,1.564E+01,9.695E+02,6.154E-01,2.318E+01,7.254E+02,4.483E-01,3.404E+01,5.233E+02,3.343E-01,5.220E+01,3.513E+02
gammamRNA,1.320E+00,1.019E+01,1.276E+03,8.584E-01,1.601E+01,9.667E+02,6.041E-01,2.365E+01,7.172E+02,4.417E-01,3.472E+01,5.135E+02,3.304E-01,5.343E+01,3.417E+02
gammad,4.731E-01,3.133E+01,5.900E+02,4.731E-01,3.134E+01,5.890E+02,4.730E-01,3.138E+01,5.866E+02,4.729E-01,3.146E+01,5.808E+02,4.726E-01,3.165E+01,5.672E+02
alphaass,5.711E-01,2.527E+01,6.761E+02,7.095E-01,1.974E+01,8.214E+02,9.003E-01,1.525E+01,9.858E+02,1.183E+00,1.145E+01,1.172E+03,1.668E+00,8.046E+00,1.383E+03
alphadiss,1.351E+00,9.982E+00,1.258E+03,8.677E-01,1.586E+01,9.603E+02,6.061E-01,2.359E+01,7.153E+02,4.405E-01,3.482E+01,5.126E+02,3.278E-01,5.399E+01,3.401E+02
phi0,3.263E-01,5.462E+01,3.345E+02,4.397E-01,3.493E+01,5.106E+02,6.068E-01,2.353E+01,7.202E+02,8.724E-01,1.573E+01,9.786E+02,1.369E+00,9.817E+00,1.301E+03
f1,4.722E-01,3.185E+01,5.552E+02,4.722E-01,3.185E+01,5.552E+02,4.723E-01,3.182E+01,5.553E+02,4.728E-01,3.163E+01,5.557E+02,4.759E-01,3.035E+01,5.588E+02
f2,3.660E-01,1.948E+02,3.304E+02,3.661E-01,1.939E+02,3.313E+02,3.669E-01,1.892E+02,3.365E+02,3.715E-01,1.668E+02,3.617E+02,4.016E-01,9.226E+01,4.539E+02
f12,4.720E-01,4.404E+01,2.759E+02,4.722E-01,3.328E+01,5.010E+02,4.725E-01,2.694E+01,8.339E+02,4.728E-01,2.251E+01,1.325E+03,4.732E-01,1.914E+01,2.045E+03
kb1,4.723E-01,3.038E+01,5.675E+02,4.739E-01,1.543E+01,6.955E+02,4.778E-01,8.385E+00,7.464E+02,4.880E-01,4.529E+00,7.669E+02,5.187E-01,2.318E+00,7.753E+02
kb2,4.022E-01,1.328E+02,4.693E+02,4.195E-01,7.816E+01,5.175E+02,4.484E-01,4.466E+01,5.451E+02,5.013E-01,2.286E+01,5.623E+02,6.198E-01,9.424E+00,5.735E+02
ku1,5.189E-01,2.313E+00,7.753E+02,4.881E-01,4.523E+00,7.670E+02,4.778E-01,8.381E+00,7.464E+02,4.739E-01,1.543E+01,6.955E+02,4.723E-01,3.041E+01,5.673E+02
ku2,6.250E-01,9.161E+00,5.737E+02,5.030E-01,2.247E+01,5.626E+02,4.490E-01,4.418E+01,5.455E+02,4.198E-01,7.758E+01,5.180E+02,4.023E-01,1.321E+02,4.700E+02
bcoop,4.720E-01,4.187E+01,4.764E+02,4.726E-01,2.528E+01,6.121E+02,4.738E-01,1.673E+01,6.875E+02,4.759E-01,1.141E+01,7.305E+02,4.796E-01,7.841E+00,7.553E+02
ucoop,4.735E-01,1.829E+01,6.740E+02,4.729E-01,2.298E+01,6.326E+02,4.724E-01,2.945E+01,5.756E+02,4.720E-01,3.920E+01,4.962E+02,4.718E-01,5.694E+01,3.817E+02
