,log10_var,log10_left_bound,log10_right_bound
beta,1.813580988568192,1.772614786542557,2.000331169608418
gammam,-1.8632794328435933,-2.187422407071787,-1.714071509510415
gammamRNA,0.7979596437371962,0.6162213404724279,0.8389990911030782
gammad,-2.595166283380062,-3.3010299956639813,-2.5484328961716614
alphaass,-0.6861327796308465,-0.9812396748309493,-0.03484268021562892
alphadiss,-0.2479515521805615,-0.9064006436998607,0.04702842277333715
phi0,-1.5670307091255944,-1.6042390075601136,-1.3840294964633206
f1,0.05307844348341968,-3.0,2.0
f2,-2.2549252084179425,-3.0,-0.838001872411577
f12,1.649334858712142,1.6084715640554923,1.8767192862659874
kb1,-2.6345120151091,-2.6773426383385024,-2.4036915924815956
kb2,0.07918124604762482,-2.1249592357423257,2.0
ku1,0.30319605742048883,0.07377613763836982,0.34796721662346897
ku2,-0.7235381958267559,-2.0,1.476403804637294
bcoop,0.13353890837021754,0.09151052250984061,0.366125023417022
ucoop,0.37657695705651195,0.14394005540972482,0.41629954855917667
