,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,5.206E-01,3.183E+01,3.337E+02,6.120E-01,1.858E+01,5.404E+02,7.300E-01,1.174E+01,7.980E+02,8.935E-01,7.600E+00,1.125E+03,1.158E+00,4.801E+00,1.542E+03
gammam,7.071E-01,1.278E+01,7.100E+02,6.352E-01,1.677E+01,5.857E+02,5.738E-01,2.242E+01,4.688E+02,5.206E-01,3.109E+01,3.586E+02,4.738E-01,4.660E+01,2.517E+02
gammamRNA,1.159E+00,4.798E+00,1.543E+03,8.939E-01,7.594E+00,1.126E+03,7.303E-01,1.173E+01,7.987E+02,6.124E-01,1.855E+01,5.411E+02,5.209E-01,3.175E+01,3.344E+02
gammad,6.195E-01,1.770E+01,5.977E+02,6.177E-01,1.849E+01,4.989E+02,6.150E-01,1.986E+01,3.926E+02,6.108E-01,2.240E+01,2.857E+02,6.047E-01,2.800E+01,1.832E+02
alphaass,6.077E-01,1.894E+01,5.345E+02,6.985E-01,1.316E+01,6.959E+02,8.141E-01,9.317E+00,8.699E+02,9.715E-01,6.590E+00,1.054E+03,1.219E+00,4.516E+00,1.246E+03
alphadiss,1.136E+00,5.039E+00,1.193E+03,8.781E-01,7.984E+00,9.517E+02,7.163E-01,1.239E+01,7.251E+02,5.992E-01,1.972E+01,5.183E+02,5.081E-01,3.411E+01,3.314E+02
phi0,5.167E-01,3.278E+01,3.247E+02,6.063E-01,1.909E+01,5.277E+02,7.213E-01,1.208E+01,7.796E+02,8.794E-01,7.844E+00,1.099E+03,1.130E+00,4.996E+00,1.505E+03
f1,6.187E-01,1.800E+01,5.556E+02,6.187E-01,1.800E+01,5.556E+02,6.189E-01,1.800E+01,5.556E+02,6.197E-01,1.799E+01,5.556E+02,6.258E-01,1.790E+01,5.556E+02
f2,6.197E-01,1.799E+01,5.556E+02,6.315E-01,1.781E+01,5.557E+02,6.612E-01,1.740E+01,5.561E+02,7.420E-01,1.641E+01,5.569E+02,1.019E+00,1.395E+01,5.589E+02
f12,6.037E-01,2.809E+01,3.733E+02,6.270E-01,1.504E+01,6.496E+02,6.610E-01,8.797E+00,1.018E+03,7.151E-01,5.284E+00,1.517E+03,8.170E-01,3.107E+00,2.189E+03
kb1,5.850E-01,5.210E+01,4.219E+02,6.052E-01,2.504E+01,5.196E+02,6.358E-01,1.308E+01,5.859E+02,6.860E-01,7.028E+00,6.338E+02,7.836E-01,3.710E+00,6.693E+02
kb2,,,,4.211E+00,1.742E+01,5.546E+02,1.080E+00,1.795E+01,5.555E+02,2.929E-01,1.802E+01,5.556E+02,8.133E-02,1.803E+01,5.556E+02
ku1,7.848E-01,3.691E+00,6.696E+02,6.862E-01,7.010E+00,6.340E+02,6.358E-01,1.308E+01,5.859E+02,6.052E-01,2.509E+01,5.193E+02,5.849E-01,5.238E+01,4.211E+02
ku2,3.455E-01,1.802E+01,5.556E+02,6.597E-01,1.799E+01,5.555E+02,1.270E+00,1.793E+01,5.554E+02,2.479E+00,1.776E+01,5.551E+02,4.992E+00,1.723E+01,5.544E+02
bcoop,5.852E-01,5.180E+01,4.227E+02,6.053E-01,2.499E+01,5.198E+02,6.358E-01,1.308E+01,5.859E+02,6.857E-01,7.045E+00,6.337E+02,7.824E-01,3.729E+00,6.691E+02
ucoop,7.838E-01,3.706E+00,6.694E+02,6.863E-01,7.002E+00,6.341E+02,6.362E-01,1.300E+01,5.865E+02,6.056E-01,2.480E+01,5.207E+02,5.854E-01,5.132E+01,4.241E+02
