,log10_var,log10_left_bound,log10_right_bound
beta,0.5453071164658241,0.42102454241964127,0.710078751479494
gammam,-1.2676062401770316,-1.433401736722589,-1.1339133945333602
gammamRNA,-0.9956786262173575,-1.1561809237272955,-0.8670509022619419
gammad,-1.7931741239681502,-3.3010299956639813,-1.0
alphaass,-1.3635121036466347,-1.6370029966109712,-1.0306234064672806
alphadiss,2.741939077729199,2.413908378464396,3.0
phi0,-0.07520400420208784,-0.20678185547733574,0.08859660581307398
f1,-2.050609993355087,-3.0,-0.6938138725339984
f2,-2.596879478824182,-3.0,2.0
f12,0.850033257689769,0.7184403240773256,1.0791281946343854
kb1,0.18184358794477254,-2.3319371372967517,2.0
kb2,-1.4202164033831899,-1.663972075517424,-1.1763923824388804
ku1,-0.05948351506743278,-2.0,2.4532368327565037
ku2,1.4955443375464486,1.253177493829849,1.7394307047020046
bcoop,1.2201080880400552,0.9788272948730674,1.3010299956639813
ucoop,0.45331834004703764,0.2100395669308612,0.6950486168440568
