,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,8.124E-01,4.860E+01,2.857E+02,1.008E+00,3.163E+01,4.127E+02,1.271E+00,2.187E+01,5.508E+02,1.648E+00,1.526E+01,7.069E+02,2.272E+00,1.023E+01,8.857E+02
gammam,2.182E+00,1.085E+01,8.101E+02,1.590E+00,1.608E+01,6.679E+02,1.226E+00,2.303E+01,5.345E+02,9.695E-01,3.337E+01,4.089E+02,7.781E-01,5.155E+01,2.869E+02
gammamRNA,2.300E+00,1.009E+01,8.917E+02,1.668E+00,1.501E+01,7.143E+02,1.289E+00,2.144E+01,5.591E+02,1.024E+00,3.079E+01,4.218E+02,8.265E-01,4.670E+01,2.960E+02
gammad,1.311E+00,2.130E+01,5.264E+02,1.299E+00,2.257E+01,4.448E+02,1.282E+00,2.459E+01,3.595E+02,1.259E+00,2.805E+01,2.733E+02,1.229E+00,3.505E+01,1.877E+02
alphaass,7.933E-01,4.931E+01,2.980E+02,9.890E-01,3.225E+01,4.197E+02,1.252E+00,2.233E+01,5.456E+02,1.628E+00,1.559E+01,6.795E+02,2.251E+00,1.046E+01,8.222E+02
alphadiss,2.246E+00,1.049E+01,8.214E+02,1.621E+00,1.568E+01,6.774E+02,1.244E+00,2.253E+01,5.425E+02,9.815E-01,3.267E+01,4.156E+02,7.860E-01,5.036E+01,2.927E+02
phi0,8.052E-01,4.963E+01,2.804E+02,9.978E-01,3.221E+01,4.065E+02,1.255E+00,2.228E+01,5.432E+02,1.622E+00,1.558E+01,6.975E+02,2.220E+00,1.052E+01,8.739E+02
f1,8.053E-01,3.251E+01,5.612E+02,8.080E-01,3.241E+01,5.613E+02,8.174E-01,3.205E+01,5.617E+02,8.528E-01,3.080E+01,5.629E+02,1.010E+00,2.634E+01,5.672E+02
f2,1.316E+00,2.077E+01,5.724E+02,1.318E+00,2.074E+01,5.724E+02,1.327E+00,2.063E+01,5.725E+02,1.362E+00,2.015E+01,5.729E+02,1.541E+00,1.808E+01,5.747E+02
f12,1.282E+00,3.314E+01,3.753E+02,1.327E+00,1.882E+01,6.244E+02,1.390E+00,1.178E+01,9.399E+02,1.487E+00,7.666E+00,1.347E+03,1.659E+00,4.980E+00,1.873E+03
kb1,1.158E+00,5.518E+01,4.726E+02,1.229E+00,2.924E+01,5.460E+02,1.375E+00,1.804E+01,5.809E+02,1.684E+00,1.206E+01,5.984E+02,2.332E+00,8.326E+00,6.073E+02
kb2,,,,,,,,,,1.666E-01,2.609E-01,8.085E+02,3.520E-02,3.425E-01,8.087E+02
ku1,2.333E+00,8.321E+00,6.073E+02,1.684E+00,1.205E+01,5.984E+02,1.375E+00,1.803E+01,5.809E+02,1.229E+00,2.924E+01,5.460E+02,1.158E+00,5.520E+01,4.726E+02
ku2,1.543E+00,4.739E+00,7.052E+02,1.415E+00,7.892E+00,6.695E+02,1.349E+00,1.348E+01,6.204E+02,1.308E+00,2.464E+01,5.512E+02,1.281E+00,5.087E+01,4.474E+02
bcoop,1.246E+00,5.636E+01,4.322E+02,1.287E+00,2.904E+01,5.302E+02,1.346E+00,1.636E+01,5.995E+02,1.438E+00,9.621E+00,6.515E+02,1.610E+00,5.690E+00,6.916E+02
ucoop,1.613E+00,5.643E+00,6.921E+02,1.438E+00,9.617E+00,6.516E+02,1.345E+00,1.648E+01,5.987E+02,1.285E+00,2.954E+01,5.279E+02,1.245E+00,5.818E+01,4.270E+02
