,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.035E+00,6.274E+01,2.890E+02,1.449E+00,4.471E+01,4.152E+02,2.034E+00,3.354E+01,5.587E+02,2.896E+00,2.532E+01,7.284E+02,4.299E+00,1.843E+01,9.320E+02
gammam,4.943E+00,2.007E+01,6.200E+02,3.083E+00,2.715E+01,5.727E+02,1.905E+00,3.595E+01,5.114E+02,1.138E+00,4.846E+01,4.331E+02,6.577E-01,6.972E+01,3.329E+02
gammamRNA,4.303E+00,1.842E+01,9.324E+02,2.903E+00,2.527E+01,7.297E+02,2.043E+00,3.343E+01,5.606E+02,1.457E+00,4.448E+01,4.175E+02,1.043E+00,6.219E+01,2.917E+02
gammad,2.371E+00,2.040E+01,4.964E+03,2.327E+00,2.112E+01,3.375E+03,2.238E+00,2.274E+01,2.038E+03,2.073E+00,2.655E+01,1.099E+03,1.802E+00,3.672E+01,5.153E+02
alphaass,5.450E-01,8.143E+01,2.924E+02,7.887E-01,6.119E+01,3.684E+02,1.127E+00,4.877E+01,4.314E+02,1.586E+00,3.992E+01,4.851E+02,2.198E+00,3.311E+01,5.309E+02
alphadiss,4.973E+00,1.999E+01,6.205E+02,3.100E+00,2.706E+01,5.733E+02,1.915E+00,3.584E+01,5.122E+02,1.144E+00,4.831E+01,4.340E+02,6.609E-01,6.946E+01,3.339E+02
phi0,1.042E+00,6.223E+01,2.915E+02,1.459E+00,4.443E+01,4.180E+02,2.049E+00,3.335E+01,5.619E+02,2.918E+00,2.516E+01,7.324E+02,4.340E+00,1.829E+01,9.367E+02
f1,1.792E+00,3.722E+01,5.029E+02,1.793E+00,3.721E+01,5.029E+02,1.793E+00,3.718E+01,5.029E+02,1.800E+00,3.696E+01,5.031E+02,1.843E+00,3.550E+01,5.048E+02
f2,1.787E+00,3.742E+01,5.026E+02,1.788E+00,3.738E+01,5.027E+02,1.794E+00,3.717E+01,5.029E+02,1.824E+00,3.613E+01,5.041E+02,1.994E+00,3.110E+01,5.099E+02
f12,1.773E+00,6.473E+01,2.708E+02,1.782E+00,4.802E+01,3.769E+02,1.792E+00,3.783E+01,4.935E+02,1.804E+00,3.068E+01,6.271E+02,1.818E+00,2.529E+01,7.825E+02
kb1,1.772E+00,6.183E+01,4.306E+02,1.798E+00,3.380E+01,5.141E+02,1.843E+00,2.012E+01,5.623E+02,1.925E+00,1.227E+01,5.916E+02,2.105E+00,7.327E+00,6.097E+02
kb2,1.793E+00,3.591E+01,5.041E+02,1.866E+00,9.132E+00,5.264E+02,,,,,,,,,
ku1,2.155E+00,6.678E+00,6.119E+02,1.971E+00,1.029E+01,5.990E+02,1.880E+00,1.541E+01,5.799E+02,1.828E+00,2.309E+01,5.515E+02,1.795E+00,3.546E+01,5.086E+02
ku2,1.929E+00,6.416E+00,5.281E+02,1.839E+00,1.192E+01,5.244E+02,1.805E+00,2.193E+01,5.165E+02,1.791E+00,4.131E+01,4.990E+02,1.784E+00,8.313E+01,4.571E+02
bcoop,1.771E+00,6.167E+01,4.294E+02,1.798E+00,3.380E+01,5.145E+02,1.844E+00,2.019E+01,5.641E+02,1.927E+00,1.236E+01,5.945E+02,2.107E+00,7.418E+00,6.135E+02
ucoop,1.803E+00,3.128E+01,5.233E+02,1.789E+00,3.945E+01,4.955E+02,1.778E+00,5.070E+01,4.604E+02,1.769E+00,6.722E+01,4.148E+02,1.762E+00,9.474E+01,3.521E+02
