,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.734E+02,8.585E-04,5.539E-02,1.738E+02,9.431E-04,8.175E-02,1.818E+02,1.060E-03,1.002E-01,1.996E+02,1.225E-03,1.154E-01,2.359E+02,1.503E-03,1.280E-01
gammam,2.430E+02,1.602E-03,1.237E-01,2.034E+02,1.270E-03,1.131E-01,1.838E+02,1.081E-03,9.962E-02,1.742E+02,9.518E-04,8.321E-02,1.721E+02,8.572E-04,6.038E-02
gammamRNA,2.414E+02,1.545E-03,1.285E-01,2.018E+02,1.244E-03,1.163E-01,1.830E+02,1.071E-03,1.013E-01,1.740E+02,9.503E-04,8.320E-02,1.730E+02,8.624E-04,5.782E-02
gammad,1.737E+02,9.425E-04,8.170E-02,1.737E+02,9.421E-04,8.152E-02,1.735E+02,9.413E-04,8.108E-02,1.730E+02,9.394E-04,8.002E-02,1.719E+02,9.349E-04,7.745E-02
alphaass,1.707E+02,8.751E-04,6.139E-02,1.745E+02,9.522E-04,8.377E-02,1.848E+02,1.054E-03,1.009E-01,2.038E+02,1.193E-03,1.155E-01,2.401E+02,1.414E-03,1.281E-01
alphadiss,2.418E+02,1.437E-03,1.273E-01,2.046E+02,1.203E-03,1.150E-01,1.850E+02,1.057E-03,1.006E-01,1.744E+02,9.521E-04,8.364E-02,1.705E+02,8.725E-04,6.150E-02
phi0,1.727E+02,8.795E-04,6.472E-02,1.752E+02,9.714E-04,8.720E-02,1.852E+02,1.095E-03,1.042E-01,2.056E+02,1.274E-03,1.186E-01,2.483E+02,1.593E-03,1.300E-01
fm,1.765E+02,7.571E-04,8.141E-02,1.763E+02,7.730E-04,8.150E-02,1.755E+02,8.183E-04,8.166E-02,1.736E+02,9.559E-04,8.151E-02,1.705E+02,1.480E-03,7.777E-02
fd,1.699E+02,9.206E-04,6.049E-02,1.753E+02,9.491E-04,8.603E-02,1.878E+02,9.931E-04,1.070E-01,2.107E+02,1.059E-03,1.263E-01,2.550E+02,1.172E-03,1.443E-01
Km,2.307E+02,1.434E-03,1.199E-01,1.969E+02,1.186E-03,1.083E-01,1.805E+02,1.033E-03,9.458E-02,1.728E+02,9.243E-04,7.824E-02,1.714E+02,8.448E-04,5.601E-02
Kd,1.700E+02,8.920E-04,6.332E-02,1.746E+02,9.499E-04,8.342E-02,1.859E+02,1.031E-03,9.717E-02,2.070E+02,1.151E-03,1.076E-01,2.480E+02,1.359E-03,1.152E-01
kbm,1.573E+03,4.716E-04,2.054E-01,8.676E+02,4.964E-04,1.962E-01,4.932E+02,5.484E-04,1.780E-01,2.914E+02,6.589E-04,1.446E-01,1.817E+02,9.028E-04,8.897E-02
kbd,1.985E+02,1.234E-03,4.255E-02,1.831E+02,1.044E-03,6.660E-02,1.738E+02,9.423E-04,8.154E-02,1.680E+02,8.843E-04,9.085E-02,1.644E+02,8.507E-04,9.665E-02
