,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.560E+02,5.981E-01,1.530E+01,1.716E+02,6.068E-01,3.236E+01,1.905E+02,7.152E-01,4.870E+01,2.229E+02,9.148E-01,6.302E+01,2.928E+02,1.368E+00,7.169E+01
gammam,2.900E+02,1.429E+00,6.563E+01,2.199E+02,9.112E-01,5.971E+01,1.874E+02,6.957E-01,4.689E+01,1.685E+02,5.828E-01,3.109E+01,1.520E+02,5.877E-01,1.363E+01
gammamRNA,2.741E+02,1.311E+00,6.537E+01,2.130E+02,8.689E-01,5.768E+01,1.835E+02,6.693E-01,4.447E+01,1.655E+02,5.647E-01,2.875E+01,1.484E+02,5.902E-01,1.198E+01
gammad,2.098E+02,7.421E-01,5.769E+01,2.061E+02,7.370E-01,5.615E+01,1.983E+02,7.253E-01,5.263E+01,1.843E+02,7.021E-01,4.505E+01,1.645E+02,6.740E-01,3.066E+01
alphaass,1.487E+02,6.421E-01,1.233E+01,1.658E+02,6.054E-01,2.834E+01,1.850E+02,6.876E-01,4.513E+01,2.164E+02,8.458E-01,6.098E+01,2.809E+02,1.168E+00,7.355E+01
alphadiss,3.264E+02,1.408E+00,7.547E+01,2.298E+02,9.129E-01,6.510E+01,1.904E+02,7.139E-01,4.860E+01,1.681E+02,6.121E-01,3.065E+01,1.499E+02,6.316E-01,1.323E+01
phi0,1.567E+02,5.941E-01,1.603E+01,1.715E+02,6.066E-01,3.232E+01,1.893E+02,7.081E-01,4.793E+01,2.187E+02,8.893E-01,6.178E+01,2.781E+02,1.267E+00,7.122E+01
fm,1.885E+02,6.495E-01,4.863E+01,1.889E+02,6.666E-01,4.856E+01,1.899E+02,7.102E-01,4.834E+01,1.923E+02,8.306E-01,4.754E+01,1.990E+02,1.252E+00,4.370E+01
fd,1.558E+02,6.622E-01,1.790E+01,1.711E+02,6.521E-01,3.306E+01,1.907E+02,7.148E-01,4.888E+01,2.230E+02,8.323E-01,6.434E+01,2.882E+02,1.060E+00,7.770E+01
Km,2.903E+02,1.271E+00,6.807E+01,2.146E+02,8.564E-01,5.825E+01,1.831E+02,6.711E-01,4.426E+01,1.655E+02,5.744E-01,2.916E+01,1.516E+02,5.740E-01,1.450E+01
Kd,1.548E+02,6.535E-01,1.730E+01,1.707E+02,6.433E-01,3.322E+01,1.910E+02,7.165E-01,4.905E+01,2.252E+02,8.557E-01,6.349E+01,2.974E+02,1.150E+00,7.409E+01
kbm,2.324E+02,4.921E-01,1.012E+02,2.107E+02,5.868E-01,7.299E+01,1.901E+02,7.099E-01,4.862E+01,1.702E+02,8.813E-01,2.863E+01,1.499E+02,1.192E+00,1.371E+01
kbd,1.925E+02,8.030E-01,3.627E+01,1.904E+02,7.269E-01,4.602E+01,1.899E+02,7.136E-01,4.804E+01,1.899E+02,7.111E-01,4.843E+01,1.898E+02,7.107E-01,4.850E+01
