,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.295E+02,2.111E-02,7.303E-02,1.344E+02,2.101E-02,9.530E-02,1.398E+02,2.259E-02,1.139E-01,1.460E+02,2.589E-02,1.263E-01,1.531E+02,3.205E-02,1.281E-01
gammam,1.514E+02,3.316E-02,1.078E-01,1.437E+02,2.571E-02,1.105E-01,1.370E+02,2.199E-02,1.013E-01,1.311E+02,2.028E-02,8.489E-02,1.256E+02,2.050E-02,6.419E-02
gammamRNA,1.528E+02,3.186E-02,1.270E-01,1.447E+02,2.514E-02,1.238E-01,1.378E+02,2.188E-02,1.076E-01,1.318E+02,2.079E-02,8.435E-02,1.263E+02,2.252E-02,5.736E-02
gammad,1.341E+02,2.098E-02,9.417E-02,1.338E+02,2.104E-02,9.256E-02,1.329E+02,2.119E-02,8.931E-02,1.314E+02,2.157E-02,8.278E-02,1.284E+02,2.280E-02,6.983E-02
alphaass,1.308E+02,2.109E-02,8.010E-02,1.375E+02,2.139E-02,1.063E-01,1.451E+02,2.370E-02,1.277E-01,1.540E+02,2.856E-02,1.392E-01,1.647E+02,3.918E-02,1.314E-01
alphadiss,1.650E+02,4.026E-02,1.275E-01,1.537E+02,2.854E-02,1.370E-01,1.442E+02,2.348E-02,1.248E-01,1.363E+02,2.122E-02,1.021E-01,1.293E+02,2.130E-02,7.423E-02
phi0,1.278E+02,2.173E-02,6.446E-02,1.334E+02,2.088E-02,9.079E-02,1.395E+02,2.244E-02,1.128E-01,1.464E+02,2.625E-02,1.269E-01,1.548E+02,3.415E-02,1.263E-01
fm,1.337E+02,1.903E-02,9.908E-02,1.339E+02,1.947E-02,9.798E-02,1.340E+02,2.032E-02,9.589E-02,1.344E+02,2.205E-02,9.178E-02,1.351E+02,2.604E-02,8.298E-02
fd,1.292E+02,2.242E-02,7.084E-02,1.369E+02,2.090E-02,1.059E-01,1.459E+02,2.239E-02,1.361E-01,1.571E+02,2.678E-02,1.545E-01,1.712E+02,3.789E-02,1.459E-01
Km,1.543E+02,3.366E-02,1.170E-01,1.451E+02,2.571E-02,1.177E-01,1.377E+02,2.200E-02,1.045E-01,1.314E+02,2.054E-02,8.431E-02,1.258E+02,2.138E-02,6.072E-02
Kd,1.276E+02,2.182E-02,6.963E-02,1.347E+02,2.101E-02,9.605E-02,1.428E+02,2.270E-02,1.169E-01,1.524E+02,2.706E-02,1.271E-01,1.640E+02,3.752E-02,1.169E-01
kbm,2.827E+03,1.390E-03,4.351E+00,1.425E+03,1.549E-03,3.991E+00,7.395E+02,1.931E-03,3.315E+00,3.973E+02,2.928E-03,2.254E+00,2.227E+02,6.003E-03,9.860E-01
kbd,1.287E+02,1.347E-02,2.179E-01,1.245E+02,1.111E-02,3.263E-01,1.226E+02,1.028E-02,3.834E-01,1.218E+02,9.932E-03,4.110E-01,1.213E+02,9.783E-03,4.239E-01
