,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.232E+02,5.412E-03,7.594E+00,1.238E+02,5.817E-03,8.653E+00,1.308E+02,6.299E-03,9.517E+00,1.465E+02,6.895E-03,1.032E+01,1.807E+02,7.690E-03,1.110E+01
gammam,1.986E+02,8.601E-03,1.074E+01,1.548E+02,7.457E-03,1.006E+01,1.353E+02,6.649E-03,9.386E+00,1.259E+02,6.026E-03,8.680E+00,1.230E+02,5.524E-03,7.856E+00
gammamRNA,2.009E+02,8.068E-03,1.126E+01,1.550E+02,7.154E-03,1.051E+01,1.352E+02,6.500E-03,9.745E+00,1.257E+02,5.983E-03,8.941E+00,1.227E+02,5.555E-03,8.019E+00
gammad,1.233E+02,5.414E-03,7.607E+00,1.232E+02,5.415E-03,7.598E+00,1.231E+02,5.417E-03,7.577E+00,1.229E+02,5.420E-03,7.524E+00,1.223E+02,5.430E-03,7.401E+00
alphaass,1.233E+02,5.379E-03,7.466E+00,1.258E+02,5.740E-03,8.574E+00,1.348E+02,6.163E-03,9.470E+00,1.528E+02,6.679E-03,1.029E+01,1.911E+02,7.356E-03,1.107E+01
alphadiss,2.075E+02,7.567E-03,1.124E+01,1.589E+02,6.815E-03,1.046E+01,1.376E+02,6.263E-03,9.639E+00,1.270E+02,5.817E-03,8.754E+00,1.233E+02,5.439E-03,7.693E+00
phi0,1.226E+02,5.540E-03,7.988E+00,1.254E+02,5.963E-03,8.945E+00,1.346E+02,6.472E-03,9.773E+00,1.540E+02,7.110E-03,1.056E+01,1.992E+02,7.992E-03,1.133E+01
fm,1.234E+02,5.388E-03,7.610E+00,1.227E+02,5.595E-03,7.563E+00,1.208E+02,6.255E-03,7.414E+00,1.154E+02,8.575E-03,6.925E+00,1.009E+02,1.950E-02,5.349E+00
fd,1.237E+02,5.390E-03,7.980E+00,1.297E+02,5.308E-03,9.377E+00,1.424E+02,5.259E-03,1.071E+01,1.661E+02,5.259E-03,1.205E+01,2.176E+02,5.347E-03,1.345E+01
Km,1.744E+02,7.670E-03,1.044E+01,1.439E+02,6.882E-03,9.804E+00,1.303E+02,6.291E-03,9.149E+00,1.242E+02,5.813E-03,8.442E+00,1.233E+02,5.414E-03,7.601E+00
Kd,1.233E+02,5.417E-03,7.630E+00,1.267E+02,5.527E-03,8.334E+00,1.369E+02,5.675E-03,8.790E+00,1.575E+02,5.886E-03,9.126E+00,2.041E+02,6.223E-03,9.385E+00
kbm,2.197E+02,4.605E-03,1.054E+01,1.663E+02,4.909E-03,9.309E+00,1.269E+02,5.354E-03,7.792E+00,9.780E+01,6.006E-03,5.965E+00,7.640E+01,6.973E-03,3.779E+00
kbd,1.339E+02,6.308E-03,5.251E+00,1.272E+02,5.681E-03,6.681E+00,1.246E+02,5.496E-03,7.279E+00,1.236E+02,5.434E-03,7.522E+00,1.231E+02,5.412E-03,7.618E+00
