,log10_var,log10_left_bound,log10_right_bound
beta,1.9265996539070276,1.9150959439834718,1.950440527678996
gammam,-0.423773862550395,-0.4464164750865732,-0.4072201960445202
gammamRNA,0.5811528919662888,0.556672354618863,0.5975141071238557
gammad,-3.0352690789463708,-3.3010299956639813,-1.4491902459393358
alphaass,-0.11509140583739282,-0.12613579213131434,-0.0827219479456261
alphadiss,0.7565600430066829,0.7235434020036946,0.7697051990046907
phi0,-1.9613798380502971,-1.9758623987814357,-1.935352085567433
fm,-2.1135656803710616,-3.0,-1.466803888828346
fd,1.6495295659478189,1.6359078972975811,1.6851242194062435
Km,0.9024924211586036,0.8721592025109339,0.9236667893733398
Kd,0.3042750504771283,0.28888375396717436,0.33675700804129416
kbm,-1.0494404383882,-3.0,-1.0226387157851786
kbd,0.012837224705172217,-0.06660281930560868,2.0
