,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.300E+02,4.214E-02,4.046E-01,1.368E+02,3.986E-02,7.776E-01,1.428E+02,4.487E-02,1.073E+00,1.530E+02,5.471E-02,1.300E+00,1.706E+02,7.595E-02,1.420E+00
gammam,1.716E+02,7.754E-02,1.411E+00,1.537E+02,5.537E-02,1.334E+00,1.427E+02,4.498E-02,1.150E+00,1.360E+02,3.913E-02,9.022E-01,1.308E+02,3.736E-02,5.809E-01
gammamRNA,1.729E+02,7.941E-02,1.416E+00,1.537E+02,5.556E-02,1.321E+00,1.426E+02,4.498E-02,1.107E+00,1.361E+02,3.946E-02,8.217E-01,1.297E+02,4.009E-02,4.550E-01
gammad,2.016E+02,9.674E-02,1.547E+00,2.001E+02,9.523E-02,1.548E+00,1.968E+02,9.190E-02,1.548E+00,1.895E+02,8.536E-02,1.538E+00,1.752E+02,7.477E-02,1.481E+00
alphaass,1.265E+02,4.204E-02,4.527E-01,1.343E+02,4.141E-02,8.277E-01,1.430E+02,4.771E-02,1.133E+00,1.579E+02,6.072E-02,1.359E+00,1.845E+02,9.877E-02,1.388E+00
alphadiss,1.738E+02,7.946E-02,1.423E+00,1.528E+02,5.601E-02,1.309E+00,1.406E+02,4.576E-02,1.078E+00,1.329E+02,4.066E-02,7.809E-01,1.252E+02,4.245E-02,4.219E-01
phi0,1.339E+02,3.944E-02,5.828E-01,1.387E+02,4.114E-02,8.900E-01,1.449E+02,4.681E-02,1.137E+00,1.551E+02,5.686E-02,1.327E+00,1.718E+02,7.777E-02,1.420E+00
fm,1.618E+02,5.319E-02,1.506E+00,1.621E+02,5.438E-02,1.498E+00,1.627E+02,5.720E-02,1.480E+00,1.644E+02,6.444E-02,1.432E+00,1.680E+02,8.794E-02,1.285E+00
fd,1.295E+02,5.172E-02,5.692E-01,1.367E+02,5.096E-02,8.707E-01,1.459E+02,5.521E-02,1.140E+00,1.602E+02,6.457E-02,1.363E+00,1.845E+02,8.891E-02,1.465E+00
Km,1.730E+02,7.910E-02,1.413E+00,1.517E+02,5.379E-02,1.307E+00,1.405E+02,4.330E-02,1.076E+00,1.341E+02,3.819E-02,7.789E-01,1.277E+02,3.979E-02,4.237E-01
Kd,1.262E+02,4.696E-02,5.065E-01,1.336E+02,4.468E-02,8.692E-01,1.417E+02,4.909E-02,1.150E+00,1.547E+02,5.877E-02,1.348E+00,1.772E+02,8.318E-02,1.403E+00
kbm,3.831E+02,2.758E-02,2.796E+00,2.949E+02,3.224E-02,2.564E+00,2.313E+02,4.023E-02,2.227E+00,1.847E+02,5.507E-02,1.738E+00,1.500E+02,8.598E-02,1.076E+00
kbd,1.788E+02,8.945E-02,1.053E+00,1.668E+02,7.050E-02,1.366E+00,1.620E+02,6.439E-02,1.485E+00,1.601E+02,6.222E-02,1.530E+00,1.594E+02,6.141E-02,1.547E+00
