,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.623E+02,3.620E-03,1.786E+00,1.687E+02,4.011E-03,2.754E+00,1.839E+02,4.505E-03,3.504E+00,2.128E+02,5.152E-03,4.189E+00,2.756E+02,6.079E-03,4.849E+00
gammam,3.200E+02,7.046E-03,4.555E+00,2.304E+02,5.738E-03,4.034E+00,1.930E+02,4.886E-03,3.481E+00,1.737E+02,4.262E-03,2.872E+00,1.639E+02,3.778E-03,2.121E+00
gammamRNA,2.785E+02,6.220E-03,4.740E+00,2.141E+02,5.231E-03,4.110E+00,1.846E+02,4.549E-03,3.453E+00,1.692E+02,4.033E-03,2.731E+00,1.623E+02,3.628E-03,1.796E+00
gammad,1.623E+02,3.544E-03,1.463E+00,1.621E+02,3.542E-03,1.435E+00,1.615E+02,3.540E-03,1.370E+00,1.604E+02,3.540E-03,1.213E+00,1.583E+02,3.597E-03,8.017E-01
alphaass,1.635E+02,3.640E-03,1.904E+00,1.732E+02,3.983E-03,2.844E+00,1.920E+02,4.410E-03,3.615E+00,2.269E+02,4.961E-03,4.334E+00,3.041E+02,5.742E-03,5.036E+00
alphadiss,2.952E+02,5.708E-03,4.927E+00,2.219E+02,4.916E-03,4.218E+00,1.888E+02,4.357E-03,3.487E+00,1.711E+02,3.926E-03,2.689E+00,1.626E+02,3.583E-03,1.655E+00
phi0,1.626E+02,3.650E-03,1.893E+00,1.708E+02,4.093E-03,2.900E+00,1.901E+02,4.666E-03,3.698E+00,2.301E+02,5.454E-03,4.437E+00,3.392E+02,6.704E-03,5.153E+00
fm,1.619E+02,3.564E-03,1.435E+00,1.613E+02,3.680E-03,1.482E+00,1.601E+02,4.034E-03,1.590E+00,1.567E+02,5.218E-03,1.767E+00,1.499E+02,1.041E-02,1.838E+00
fd,1.650E+02,3.604E-03,2.132E+00,1.757E+02,3.753E-03,3.013E+00,1.945E+02,3.942E-03,3.798E+00,2.276E+02,4.191E-03,4.562E+00,2.963E+02,4.545E-03,5.336E+00
Km,2.930E+02,6.174E-03,4.328E+00,2.173E+02,5.225E-03,3.773E+00,1.860E+02,4.559E-03,3.194E+00,1.702E+02,4.048E-03,2.559E+00,1.628E+02,3.642E-03,1.762E+00
Kd,1.638E+02,3.622E-03,1.897E+00,1.744E+02,3.896E-03,2.714E+00,1.946E+02,4.247E-03,3.330E+00,2.328E+02,4.719E-03,3.862E+00,3.231E+02,5.429E-03,4.342E+00
kbm,7.545E+02,1.356E-03,7.703E-01,9.340E+02,1.106E-03,1.595E+01,5.637E+02,1.302E-03,1.290E+01,3.464E+02,1.694E-03,8.890E+00,2.177E+02,2.505E-03,4.396E+00
kbd,1.566E+02,3.000E-03,2.530E+00,1.520E+02,2.602E-03,3.647E+00,1.503E+02,2.473E-03,4.147E+00,1.496E+02,2.426E-03,4.357E+00,1.493E+02,2.409E-03,4.442E+00
