,log10_var,log10_left_bound,log10_right_bound
beta,1.1559430179718369,1.1528610423683485,1.1667622159571
gammam,-0.030444315779156465,-0.044944099393516054,-0.026638776306761907
gammamRNA,0.37309598707872693,0.3632138699290822,0.3779936746796744
gammad,-2.3294758422179203,-3.3010299956639813,-1.9945102491591082
alphaass,-0.7079655640052637,-0.7104890687630658,-0.6941381115832859
alphadiss,0.46179855752510934,0.4448952442559438,0.4667559822174431
phi0,-0.809948582240794,-0.8145972205914158,-0.7993434147667268
fm,-1.4800408192479315,-1.8036258792127273,-0.5590534539977465
fd,1.5112147011363881,1.5068092180298098,1.522670606578504
Km,-0.40483458520977045,-0.4239586857486043,-0.40053298893515155
Kd,-0.5446982283429236,-0.5473619499111155,-0.5313836827520753
kbm,-2.2669633170664207,-3.0,-2.2044589716015803
kbd,0.3242824552976926,-0.26980317880335986,2.0
