,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,8.730E+01,6.284E-01,4.799E+00,9.190E+01,6.343E-01,7.330E+00,9.710E+01,7.151E-01,9.731E+00,1.037E+02,8.814E-01,1.148E+01,1.122E+02,1.223E+00,1.172E+01
gammam,1.146E+02,1.454E+00,9.843E+00,1.064E+02,1.008E+00,1.074E+01,9.990E+01,7.936E-01,1.006E+01,9.460E+01,6.755E-01,8.535E+00,9.020E+01,6.168E-01,6.582E+00
gammamRNA,1.094E+02,1.215E+00,9.081E+00,1.009E+02,8.492E-01,9.348E+00,9.430E+01,6.759E-01,8.179E+00,8.890E+01,5.931E-01,6.285E+00,8.390E+01,5.897E-01,4.134E+00
gammad,9.740E+01,6.305E-01,1.011E+01,9.730E+01,6.304E-01,1.003E+01,9.690E+01,6.303E-01,9.835E+00,9.590E+01,6.305E-01,9.381E+00,9.380E+01,6.337E-01,8.359E+00
alphaass,8.520E+01,6.756E-01,3.981E+00,9.170E+01,6.358E-01,7.239E+00,9.920E+01,7.164E-01,1.064E+01,1.092E+02,9.198E-01,1.325E+01,1.234E+02,1.446E+00,1.306E+01
alphadiss,1.244E+02,1.500E+00,1.287E+01,1.100E+02,9.437E-01,1.336E+01,9.990E+01,7.299E-01,1.094E+01,9.250E+01,6.402E-01,7.649E+00,8.610E+01,6.581E-01,4.413E+00
phi0,8.420E+01,6.965E-01,3.225E+00,8.620E+01,6.415E-01,4.262E+00,8.820E+01,6.217E-01,5.340E+00,9.020E+01,6.226E-01,6.445E+00,9.230E+01,6.387E-01,7.553E+00
fm,9.230E+01,6.430E-01,7.570E+00,9.240E+01,6.602E-01,7.468E+00,9.250E+01,6.963E-01,7.261E+00,9.270E+01,7.768E-01,6.828E+00,9.320E+01,9.872E-01,5.871E+00
fd,8.540E+01,7.124E-01,4.015E+00,9.170E+01,6.389E-01,7.263E+00,9.910E+01,6.861E-01,1.073E+01,1.091E+02,8.329E-01,1.362E+01,1.236E+02,1.200E+00,1.420E+01
Km,1.161E+02,1.370E+00,1.048E+01,1.040E+02,8.868E-01,1.076E+01,9.580E+01,6.931E-01,8.915E+00,8.970E+01,6.137E-01,6.374E+00,8.460E+01,6.364E-01,3.827E+00
Kd,8.710E+01,6.654E-01,4.907E+00,9.320E+01,6.428E-01,8.021E+00,1.007E+02,7.158E-01,1.105E+01,1.108E+02,8.976E-01,1.313E+01,1.253E+02,1.371E+00,1.246E+01
kbm,1.533E+02,1.900E-01,1.056E+02,1.366E+02,2.364E-01,7.327E+01,1.218E+02,2.997E-01,4.602E+01,1.086E+02,3.905E-01,2.494E+01,9.630E+01,5.476E-01,1.075E+01
kbd,9.310E+01,7.213E-01,5.925E+00,9.260E+01,6.584E-01,7.130E+00,9.240E+01,6.439E-01,7.477E+00,9.230E+01,6.402E-01,7.572E+00,9.230E+01,6.392E-01,7.598E+00
