,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.152E+02,8.999E-03,1.272E+01,1.173E+02,9.663E-03,1.466E+01,1.245E+02,1.044E-02,1.620E+01,1.387E+02,1.139E-02,1.761E+01,1.678E+02,1.262E-02,1.895E+01
gammam,1.661E+02,1.284E-02,1.846E+01,1.381E+02,1.143E-02,1.738E+01,1.238E+02,1.034E-02,1.626E+01,1.164E+02,9.460E-03,1.502E+01,1.136E+02,8.724E-03,1.346E+01
gammamRNA,1.706E+02,1.272E-02,1.898E+01,1.392E+02,1.141E-02,1.761E+01,1.243E+02,1.041E-02,1.617E+01,1.170E+02,9.603E-03,1.458E+01,1.152E+02,8.918E-03,1.253E+01
gammad,1.290E+02,1.079E-02,1.675E+01,1.289E+02,1.079E-02,1.673E+01,1.285E+02,1.079E-02,1.668E+01,1.275E+02,1.079E-02,1.655E+01,1.254E+02,1.078E-02,1.626E+01
alphaass,1.103E+02,9.198E-03,1.282E+01,1.152E+02,9.833E-03,1.475E+01,1.255E+02,1.058E-02,1.639E+01,1.445E+02,1.150E-02,1.790E+01,1.871E+02,1.275E-02,1.936E+01
alphadiss,1.707E+02,1.235E-02,1.895E+01,1.394E+02,1.129E-02,1.759E+01,1.236E+02,1.046E-02,1.616E+01,1.146E+02,9.779E-03,1.461E+01,1.102E+02,9.189E-03,1.279E+01
phi0,1.152E+02,9.138E-03,1.321E+01,1.182E+02,9.792E-03,1.495E+01,1.260E+02,1.056E-02,1.640E+01,1.406E+02,1.149E-02,1.773E+01,1.697E+02,1.268E-02,1.901E+01
fm,1.297E+02,9.209E-03,1.722E+01,1.296E+02,9.465E-03,1.714E+01,1.293E+02,1.021E-02,1.692E+01,1.285E+02,1.252E-02,1.631E+01,1.277E+02,2.115E-02,1.455E+01
fd,1.076E+02,1.044E-02,1.116E+01,1.122E+02,1.053E-02,1.362E+01,1.223E+02,1.069E-02,1.582E+01,1.412E+02,1.095E-02,1.798E+01,1.822E+02,1.142E-02,2.017E+01
Km,1.643E+02,1.240E-02,1.841E+01,1.341E+02,1.110E-02,1.715E+01,1.206E+02,1.013E-02,1.584E+01,1.138E+02,9.344E-03,1.443E+01,1.116E+02,8.683E-03,1.275E+01
Kd,1.101E+02,9.922E-03,1.349E+01,1.142E+02,1.023E-02,1.514E+01,1.233E+02,1.060E-02,1.634E+01,1.400E+02,1.109E-02,1.731E+01,1.745E+02,1.178E-02,1.813E+01
kbm,1.830E+02,8.700E-03,2.089E+01,1.355E+02,1.042E-02,1.741E+01,1.018E+02,1.312E-02,1.333E+01,7.750E+01,1.750E-02,8.866E+00,5.910E+01,2.486E-02,4.367E+00
kbd,1.460E+02,1.642E-02,9.913E+00,1.343E+02,1.208E-02,1.428E+01,1.306E+02,1.111E-02,1.600E+01,1.294E+02,1.086E-02,1.659E+01,1.290E+02,1.078E-02,1.678E+01
