,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,3.575E+02,3.129E-02,8.493E+00,3.652E+02,3.206E-02,9.187E+00,3.825E+02,3.290E-02,9.653E+00,4.110E+02,3.385E-02,1.003E+01,4.603E+02,3.497E-02,1.037E+01
gammam,2.335E+02,8.069E-02,3.893E-01,4.592E+02,3.515E-02,1.026E+01,4.001E+02,3.363E-02,9.836E+00,3.702E+02,3.237E-02,9.320E+00,3.574E+02,3.128E-02,8.509E+00
gammamRNA,4.338E+02,3.446E-02,1.021E+01,3.944E+02,3.335E-02,9.830E+00,3.712E+02,3.240E-02,9.385E+00,3.588E+02,3.155E-02,8.781E+00,1.321E+02,1.399E-01,1.439E-01
gammad,3.750E+02,3.180E-02,9.227E+00,3.725E+02,3.176E-02,9.165E+00,3.684E+02,3.170E-02,9.063E+00,3.623E+02,3.160E-02,8.889E+00,3.540E+02,3.145E-02,8.589E+00
alphaass,3.594E+02,3.159E-02,8.816E+00,3.715E+02,3.227E-02,9.304E+00,3.911E+02,3.302E-02,9.683E+00,4.213E+02,3.387E-02,1.001E+01,4.722E+02,3.486E-02,1.030E+01
alphadiss,2.335E+02,8.069E-02,3.893E-01,4.410E+02,3.436E-02,1.012E+01,3.941E+02,3.315E-02,9.707E+00,3.682E+02,3.213E-02,9.202E+00,3.562E+02,3.122E-02,8.433E+00
phi0,3.663E+02,3.088E-02,7.338E+00,3.602E+02,3.168E-02,8.903E+00,3.748E+02,3.256E-02,9.487E+00,4.014E+02,3.357E-02,9.931E+00,4.483E+02,3.474E-02,1.031E+01
fm,3.598E+02,3.088E-02,8.650E+00,3.583E+02,3.221E-02,8.866E+00,3.589E+02,3.447E-02,9.068E+00,3.647E+02,3.845E-02,9.236E+00,3.860E+02,4.590E-02,9.331E+00
fd,3.548E+02,3.132E-02,8.159E+00,3.629E+02,3.165E-02,8.997E+00,3.816E+02,3.204E-02,9.552E+00,4.122E+02,3.252E-02,1.002E+01,4.657E+02,3.313E-02,1.044E+01
Km,4.703E+02,3.490E-02,9.971E+00,4.188E+02,3.386E-02,9.723E+00,3.890E+02,3.297E-02,9.447E+00,3.699E+02,3.218E-02,9.127E+00,3.579E+02,3.147E-02,8.725E+00
Kd,3.588E+02,3.154E-02,8.772E+00,3.698E+02,3.199E-02,9.224E+00,3.880E+02,3.250E-02,9.559E+00,4.158E+02,3.309E-02,9.836E+00,4.611E+02,3.379E-02,1.008E+01
kbm,1.012E+03,2.121E-02,1.698E+01,1.012E+03,2.121E-02,1.698E+01,6.172E+02,2.396E-02,1.411E+01,4.911E+02,2.620E-02,1.226E+01,3.974E+02,2.936E-02,1.009E+01
kbd,3.622E+02,3.196E-02,8.560E+00,3.571E+02,3.134E-02,8.873E+00,3.551E+02,3.108E-02,9.003E+00,3.542E+02,3.098E-02,9.057E+00,3.538E+02,3.094E-02,9.080E+00
