,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,2.064E+02,2.139E-03,2.119E-01,2.068E+02,2.299E-03,2.480E-01,2.122E+02,2.496E-03,2.761E-01,2.233E+02,2.751E-03,2.992E-01,2.433E+02,3.116E-03,3.174E-01
gammam,2.649E+02,3.532E-03,3.123E-01,2.330E+02,2.951E-03,3.002E-01,2.166E+02,2.604E-03,2.810E-01,2.081E+02,2.355E-03,2.562E-01,2.053E+02,2.160E-03,2.238E-01
gammamRNA,2.869E+02,3.860E-03,3.228E-01,2.401E+02,3.062E-03,3.122E-01,2.193E+02,2.664E-03,2.905E-01,2.090E+02,2.394E-03,2.625E-01,2.058E+02,2.188E-03,2.261E-01
gammad,2.071E+02,2.315E-03,2.509E-01,2.067E+02,2.313E-03,2.496E-01,2.058E+02,2.307E-03,2.467E-01,2.038E+02,2.294E-03,2.397E-01,1.997E+02,2.262E-03,2.231E-01
alphaass,2.033E+02,2.127E-03,1.956E-01,2.058E+02,2.279E-03,2.425E-01,2.150E+02,2.469E-03,2.791E-01,2.332E+02,2.727E-03,3.098E-01,2.695E+02,3.139E-03,3.346E-01
alphadiss,2.587E+02,3.028E-03,3.282E-01,2.289E+02,2.674E-03,3.035E-01,2.132E+02,2.438E-03,2.736E-01,2.050E+02,2.259E-03,2.380E-01,2.033E+02,2.116E-03,1.920E-01
phi0,2.071E+02,2.107E-03,2.017E-01,2.068E+02,2.294E-03,2.471E-01,2.137E+02,2.534E-03,2.804E-01,2.293E+02,2.868E-03,3.065E-01,2.622E+02,3.430E-03,3.247E-01
fm,2.185E+02,1.770E-03,2.386E-01,2.089E+02,2.183E-03,2.504E-01,2.031E+02,2.811E-03,2.476E-01,2.012E+02,3.903E-03,2.325E-01,2.037E+02,6.597E-03,1.946E-01
fd,2.027E+02,2.219E-03,2.062E-01,2.074E+02,2.319E-03,2.523E-01,2.186E+02,2.448E-03,2.913E-01,2.393E+02,2.628E-03,3.262E-01,2.807E+02,2.929E-03,3.565E-01
Km,2.548E+02,2.781E-03,3.191E-01,2.250E+02,2.524E-03,2.912E-01,2.096E+02,2.351E-03,2.595E-01,2.019E+02,2.221E-03,2.232E-01,2.000E+02,2.117E-03,1.780E-01
Kd,2.032E+02,2.177E-03,2.016E-01,2.053E+02,2.280E-03,2.412E-01,2.132E+02,2.409E-03,2.707E-01,2.277E+02,2.584E-03,2.943E-01,2.542E+02,2.847E-03,3.128E-01
kbm,2.902E+03,1.232E-03,9.025E-01,1.456E+03,1.271E-03,8.594E-01,7.545E+02,1.356E-03,7.703E-01,4.093E+02,1.551E-03,6.049E-01,2.388E+02,2.034E-03,3.460E-01
kbd,2.429E+02,2.829E-03,1.224E-01,2.233E+02,2.538E-03,1.860E-01,2.134E+02,2.399E-03,2.241E-01,2.082E+02,2.329E-03,2.461E-01,2.053E+02,2.293E-03,2.586E-01
