,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,6.150E+01,5.948E-02,2.246E-01,6.340E+01,5.496E-02,4.060E-01,6.490E+01,6.058E-02,5.621E-01,6.680E+01,7.342E-02,6.681E-01,6.930E+01,9.968E-02,6.864E-01
gammam,7.020E+01,1.082E-01,6.285E-01,6.740E+01,7.697E-02,6.537E-01,6.520E+01,6.190E-02,5.865E-01,6.330E+01,5.412E-02,4.639E-01,6.150E+01,5.266E-02,3.069E-01
gammamRNA,7.030E+01,1.117E-01,6.408E-01,6.740E+01,7.710E-02,6.650E-01,6.510E+01,6.147E-02,5.792E-01,6.330E+01,5.420E-02,4.315E-01,6.120E+01,5.603E-02,2.497E-01
gammad,6.550E+01,6.360E-02,6.015E-01,6.550E+01,6.360E-02,6.010E-01,6.540E+01,6.359E-02,5.999E-01,6.540E+01,6.358E-02,5.973E-01,6.530E+01,6.354E-02,5.909E-01
alphaass,6.150E+01,6.063E-02,2.885E-01,6.380E+01,5.926E-02,4.811E-01,6.630E+01,6.667E-02,6.476E-01,6.940E+01,8.320E-02,7.520E-01,7.340E+01,1.227E-01,7.236E-01
alphadiss,7.320E+01,1.194E-01,7.304E-01,6.940E+01,8.334E-02,7.522E-01,6.640E+01,6.741E-02,6.565E-01,6.410E+01,5.978E-02,5.035E-01,6.190E+01,5.934E-02,3.241E-01
phi0,6.270E+01,5.507E-02,3.218E-01,6.420E+01,5.714E-02,4.940E-01,6.600E+01,6.649E-02,6.277E-01,6.810E+01,8.534E-02,6.928E-01,7.080E+01,1.295E-01,6.303E-01
fm,7.210E+01,7.832E-03,5.307E-01,7.210E+01,7.962E-03,5.635E-01,7.220E+01,8.434E-03,6.417E-01,7.140E+01,1.027E-02,7.836E-01,6.860E+01,1.850E-02,8.849E-01
fd,6.270E+01,6.320E-02,3.719E-01,6.490E+01,6.275E-02,5.619E-01,6.760E+01,6.906E-02,7.276E-01,7.100E+01,8.329E-02,8.349E-01,7.530E+01,1.173E-01,8.113E-01
Km,7.300E+01,1.104E-01,7.373E-01,6.930E+01,8.030E-02,7.441E-01,6.640E+01,6.671E-02,6.504E-01,6.420E+01,6.028E-02,5.090E-01,6.230E+01,5.991E-02,3.467E-01
Kd,6.220E+01,6.107E-02,3.596E-01,6.430E+01,6.095E-02,5.241E-01,6.660E+01,6.713E-02,6.550E-01,6.950E+01,8.048E-02,7.276E-01,7.300E+01,1.103E-01,6.952E-01
kbm,1.102E+02,3.367E-02,2.309E+00,9.580E+01,3.723E-02,1.921E+00,8.370E+01,4.222E-02,1.488E+00,7.360E+01,4.982E-02,1.031E+00,6.520E+01,6.421E-02,5.888E-01
kbd,6.910E+01,7.867E-02,3.987E-01,6.720E+01,6.935E-02,5.041E-01,6.610E+01,6.579E-02,5.600E-01,6.570E+01,6.421E-02,5.889E-01,6.540E+01,6.345E-02,6.036E-01
