,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.066E+02,9.661E-03,2.713E-01,1.136E+02,1.038E-02,3.739E-01,1.225E+02,1.149E-02,4.579E-01,1.353E+02,1.307E-02,5.272E-01,1.563E+02,1.552E-02,5.798E-01
gammam,1.789E+02,1.816E-02,5.939E-01,1.421E+02,1.384E-02,5.546E-01,1.238E+02,1.160E-02,4.824E-01,1.126E+02,1.015E-02,3.884E-01,1.044E+02,9.267E-03,2.670E-01
gammamRNA,1.711E+02,1.725E-02,5.919E-01,1.361E+02,1.313E-02,5.372E-01,1.189E+02,1.097E-02,4.475E-01,1.082E+02,9.628E-03,3.293E-01,9.780E+01,9.394E-03,1.644E-01
gammad,1.567E+02,1.558E-02,5.803E-01,1.560E+02,1.553E-02,5.790E-01,1.545E+02,1.544E-02,5.761E-01,1.512E+02,1.521E-02,5.688E-01,1.441E+02,1.470E-02,5.510E-01
alphaass,9.750E+01,9.902E-03,1.732E-01,1.079E+02,1.020E-02,3.250E-01,1.198E+02,1.153E-02,4.452E-01,1.393E+02,1.371E-02,5.413E-01,1.814E+02,1.812E-02,6.015E-01
alphadiss,1.877E+02,1.879E-02,6.025E-01,1.403E+02,1.382E-02,5.451E-01,1.197E+02,1.151E-02,4.462E-01,1.075E+02,1.013E-02,3.210E-01,9.640E+01,9.953E-03,1.606E-01
phi0,1.081E+02,9.779E-03,2.962E-01,1.160E+02,1.068E-02,4.014E-01,1.268E+02,1.204E-02,4.867E-01,1.438E+02,1.408E-02,5.548E-01,1.757E+02,1.772E-02,5.970E-01
fm,1.512E+02,1.386E-02,5.903E-01,1.520E+02,1.412E-02,5.890E-01,1.539E+02,1.470E-02,5.859E-01,1.585E+02,1.611E-02,5.773E-01,1.708E+02,2.039E-02,5.461E-01
fd,9.890E+01,1.103E-02,1.954E-01,1.091E+02,1.127E-02,3.355E-01,1.219E+02,1.243E-02,4.532E-01,1.437E+02,1.443E-02,5.510E-01,1.949E+02,1.882E-02,6.125E-01
Km,1.695E+02,1.694E-02,5.894E-01,1.315E+02,1.271E-02,5.303E-01,1.144E+02,1.057E-02,4.388E-01,1.043E+02,9.271E-03,3.256E-01,9.610E+01,8.863E-03,1.868E-01
Kd,9.950E+01,1.034E-02,2.165E-01,1.089E+02,1.073E-02,3.564E-01,1.204E+02,1.190E-02,4.642E-01,1.391E+02,1.382E-02,5.467E-01,1.775E+02,1.761E-02,5.951E-01
kbm,7.589E+02,2.886E-03,2.535E+00,4.843E+02,3.420E-03,2.310E+00,3.210E+02,4.463E-03,1.954E+00,2.249E+02,6.738E-03,1.442E+00,1.682E+02,1.270E-02,7.656E-01
kbd,1.676E+02,2.139E-02,3.362E-01,1.608E+02,1.724E-02,4.995E-01,1.565E+02,1.544E-02,5.883E-01,1.541E+02,1.463E-02,6.339E-01,1.530E+02,1.424E-02,6.569E-01
