,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max,p6_per,p6_min,p6_max,p7_per,p7_min,p7_max,p8_per,p8_min,p8_max,p9_per,p9_min,p9_max,p10_per,p10_min,p10_max,p11_per,p11_min,p11_max,p12_per,p12_min,p12_max,p13_per,p13_min,p13_max,p14_per,p14_min,p14_max,p15_per,p15_min,p15_max,p16_per,p16_min,p16_max,p17_per,p17_min,p17_max,p18_per,p18_min,p18_max,p19_per,p19_min,p19_max,p20_per,p20_min,p20_max
beta,100.0,0.31463472614137383,0.5561254229158817,103.30000000000001,0.23184318626712866,0.8452829811929207,106.4,0.19575116156556716,1.1369064588959434,109.2,0.1759294191350208,1.449157869458041,111.60000000000001,0.16459753582648656,1.7835521585794407,113.80000000000001,0.15861795493008504,2.1352521798956485,115.80000000000001,0.15637376751744236,2.498065532601365,117.7,0.15695563515428673,2.866245965011623,119.60000000000001,0.1598591948222809,3.234984098126379,121.60000000000001,0.16484684137820538,3.6001968624425267,123.80000000000001,0.17187749229414703,3.9580997668501445,126.10000000000001,0.18109638900531128,4.304652608966091,128.8,0.19283640991583156,4.634960773541222,131.8,0.20769572005623682,4.9424099060267785,135.1,0.22665150613486484,5.217519142579068,138.9,0.2513503659000046,5.445773161627847,143.3,0.2846777178797379,5.603974804763732,148.3,0.33213855912244983,5.65289083806024,153.70000000000002,0.40551758393783344,5.522135227264247,159.3,0.5347906419958844,5.079015587484052
gammam,161.10000000000002,0.8454044038511521,2.9577245874769185,156.5,0.5612719532172089,3.752423607331801,151.4,0.42835044084569424,4.160697150923388,146.4,0.3500754947713865,4.343467231747835,141.9,0.29838632021916783,4.381945944271483,137.8,0.26171500952328447,4.32374770237953,134.0,0.23442691442985789,4.1980708505135205,130.70000000000002,0.21347217407580418,4.023456746207044,127.7,0.19707725537263107,3.8121394369191446,124.9,0.18416632532236013,3.572489001618892,122.4,0.17408692845316934,3.3105419776029987,120.10000000000001,0.16646376675134134,3.0308896248967647,117.9,0.16115035281160106,2.73743866722872,115.7,0.1582045892495339,2.433993154818221,113.5,0.15792262026852846,2.124828288467986,111.2,0.160928536477485,1.8150897839189253,108.60000000000001,0.16836345149503512,1.5109143325927488,105.7,0.18234444249021836,1.2186514872639442,102.5,0.2073860260972108,0.9420744925647537,98.80000000000001,0.2575531949541284,0.6735495604913503
gammamRNA,163.70000000000002,0.7250896911749893,4.195424251351988,158.60000000000002,0.4998460018032997,4.9947043741560595,152.9,0.3887232468853144,5.34362076886913,147.5,0.32252543840400966,5.435020520387754,142.70000000000002,0.2784759848778126,5.372496737294628,138.5,0.2469974676824771,5.2132836882805424,134.70000000000002,0.22341896716056828,4.990518882794216,131.4,0.20520757751589463,4.724398682885604,128.4,0.190894035326284,4.427825351617121,125.80000000000001,0.17958813730026613,4.109481405801017,123.4,0.1707528473007073,3.7754697289905077,121.2,0.16408716710473228,3.43044291720181,119.10000000000001,0.15948421120950124,3.0783097881859462,117.2,0.1570154475120285,2.722819520352648,115.2,0.1569593210608989,2.3680854074983237,113.0,0.15988008832364423,2.018966219537425,110.80000000000001,0.16678810659651233,1.6811446786808293,108.10000000000001,0.17949000293410236,1.3605331361503779,105.2,0.2016159713406706,1.061049516675796,101.9,0.2429532019707692,0.7785121227327324
gammad,134.70000000000002,0.14305375364453188,4.603285889826884,134.6,0.14301307010943695,4.584695631872751,134.4,0.1429633826591699,4.561375160113433,134.1,0.14290451764730272,4.532144217463979,133.70000000000002,0.14283708694805575,4.495544823863977,133.3,0.1427581153876758,4.449800585047902,132.8,0.14267251394722347,4.392744640800836,132.0,0.14258670421282668,4.321751961678402,131.20000000000002,0.14250947868933278,4.233711159178581,130.20000000000002,0.14246654547200263,4.124928264753341,129.0,0.1424951918674413,3.9911941705368745,127.5,0.14266214659746318,3.827778196369521,125.80000000000001,0.14308492971241502,3.6295778524930573,123.80000000000001,0.14396049244613926,3.3914879050941455,121.5,0.14562864749303395,3.1089177193752473,118.80000000000001,0.14868916367627596,2.7787302975004744,115.7,0.15424408631422237,2.400735065956129,112.2,0.1644726616035653,1.979723308628532,108.0,0.1842172447748976,1.5272386651964898,103.30000000000001,0.22745047467537705,1.0570629035365757
alphaass,102.4,0.22146185875627175,0.9236683604070591,105.7,0.1915486978934596,1.206792983826816,108.7,0.17413960723124877,1.5117494534931615,111.5,0.16382808395627027,1.838652287537719,114.0,0.15819057759290664,2.1831682940836887,116.5,0.1559066030577793,2.5397963116416684,118.80000000000001,0.15620654106617807,2.903334266453148,121.30000000000001,0.15864908498709313,3.2692889882065077,123.80000000000001,0.16301391905668927,3.6337833066404346,126.60000000000001,0.1692546134554723,3.993267323014396,129.5,0.1774778550479596,4.344041223788267,132.8,0.18796051384485635,4.681777900203642,136.5,0.20119285691881436,5.000754380963709,140.6,0.21798961086030771,5.292893409437319,145.20000000000002,0.23970715607584878,5.545941882707834,150.5,0.2687033326752981,5.740300598410471,156.4,0.3094072462420092,5.842453842816891,163.20000000000002,0.3711559919464293,5.790979149083744,170.60000000000002,0.47720677221268326,5.464356602375334,177.3,0.7030172851599259,4.609777151425333
alphadiss,178.10000000000002,0.787824119574944,4.220898146918297,171.20000000000002,0.5030262537439407,5.251141342877933,163.5,0.38086161587395273,5.646269187032476,156.4,0.3128461293511529,5.721219876939225,150.0,0.2691941389779722,5.622388478733691,144.5,0.23865343970261818,5.421603009687689,139.8,0.21608640223217174,5.157006652892516,135.6,0.19883976114627228,4.85050498873144,131.8,0.18542225660110512,4.515555025017898,128.4,0.17495654425247864,4.160982671332637,125.4,0.16693836202530019,3.7930237069203803,122.5,0.16110872608877125,3.4165083155994633,119.9,0.15741830542802687,3.0357565536122006,117.30000000000001,0.15601712794344058,2.655152914812659,114.60000000000001,0.15730099213356863,2.279671456278829,112.0,0.16202014155881495,1.9152188692409375,109.10000000000001,0.17149949943584608,1.5682544318062592,105.9,0.1881940243747984,1.24445200334686,102.4,0.21756349730002578,0.945050812079254,98.80000000000001,0.2783331046725392,0.655853698326521
phi0,105.2,0.20708015456780007,1.0216030705727666,108.10000000000001,0.18305225806383743,1.3133724612217068,110.60000000000001,0.16903656500701722,1.6263277716463516,112.80000000000001,0.1610595941983817,1.9577564743606137,114.7,0.15718060808291362,2.3023761602366584,116.60000000000001,0.15631292263706065,2.6547347080816537,118.4,0.15782865626469672,3.0100549377392505,120.30000000000001,0.16138506397582747,3.364350770640183,122.30000000000001,0.1668418181631195,3.7141366094641337,124.4,0.17421677929749826,4.056007695427033,126.80000000000001,0.18368599241586142,4.386203938912855,129.3,0.19560098168976298,4.700045488832297,132.3,0.21055551693014748,4.99116263603866,135.6,0.22951120653896978,5.250449378543896,139.3,0.25405462260470324,5.4640762538362635,143.6,0.28693077898623953,5.610179261452937,148.3,0.33329702347861795,5.652350547690433,153.60000000000002,0.4039420615667126,5.526442927098334,159.0,0.5253717889454399,5.114290356184415,163.60000000000002,0.782381593534225,4.193716437047455
fm,113.80000000000001,0.12029382177701149,2.223441898320623,113.80000000000001,0.12063646989803854,2.2238915987306402,113.9,0.12107626403392706,2.2244614652372987,113.9,0.1216391986277642,2.225166072582193,113.9,0.12236190070980743,2.2260393210966463,113.9,0.12329140432604652,2.2271014408433434,113.9,0.12448798819850149,2.2283823561686877,113.9,0.12603385612072543,2.2298867447555755,114.0,0.1280369061825786,2.2316155216497773,114.0,0.13064626086910486,2.2334794088313132,114.0,0.13406431516106998,2.235316119790007,114.10000000000001,0.13857853582985172,2.236766709758349,114.2,0.1445998001249479,2.237143464459575,114.30000000000001,0.15274089252708142,2.23520286386011,114.4,0.16394128269640923,2.228640091380256,114.60000000000001,0.17973687995305396,2.2133606084828834,114.9,0.202792141799831,2.1818495530825226,115.30000000000001,0.23820254854523856,2.1200282955686527,116.0,0.2973115224476643,1.9997383431474312,116.9,0.4134195504312227,1.7556528121057116
fd,103.7,0.24318551029408317,0.9523585765916396,106.9,0.20298385830836385,1.2651849045789392,109.9,0.17927530184591403,1.6049710152083765,112.60000000000001,0.1643436171186449,1.9754440838534522,115.2,0.1549169668111783,2.3734055603534734,117.60000000000001,0.14923534377575506,2.7934299362305324,120.10000000000001,0.1462560619990428,3.229972366196712,122.5,0.14534025052109306,3.67822436241475,125.10000000000001,0.14610866679143933,4.134214923442877,127.9,0.14835972087553276,4.59457480684742,131.0,0.15203060460459975,5.056085360163816,134.4,0.15717682003708672,5.515327301130241,138.3,0.1639927902042824,5.967940282716876,142.70000000000002,0.1728462560079288,6.407951953471922,147.8,0.18437740630332583,6.826223225798475,153.9,0.19970778982629242,7.207904364782235,160.9,0.2209360410270679,7.526813694785652,169.3,0.25243280935070045,7.731827196423553,179.3,0.30513808637032297,7.708282753393182,190.5,0.41590053203513133,7.144777103312697
Km,170.3,0.7238309164353937,4.1500470058512935,163.20000000000002,0.48191229345600645,5.0093624934363365,155.9,0.37222196602616453,5.336010211466428,149.4,0.3091657114477152,5.392052889503412,143.8,0.26787511929183777,5.298693788642114,139.1,0.2386051687540361,5.1163759741353285,135.0,0.21678741575036825,4.877959614864526,131.4,0.2000067992253279,4.6026941088713995,128.4,0.18688238354853653,4.30266305521298,125.60000000000001,0.17658879590742538,3.9859177013150138,123.10000000000001,0.168632070753712,3.658198155062423,120.9,0.16273734393710854,3.323965396105572,118.80000000000001,0.1588023657137452,2.9870388715247906,116.80000000000001,0.15687640383539386,2.651121052592405,114.9,0.1571790941820312,2.320078477829532,112.80000000000001,0.16013684048473698,1.9981841818158976,110.7,0.16647366681452794,1.6900114582687533,108.4,0.17740599387212364,1.3998257666449823,105.9,0.19513685642494677,1.1302989506861036,103.10000000000001,0.22453896871187054,0.879833043325703
