,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,8.270E+01,2.082E-02,5.448E+00,8.550E+01,2.399E-02,8.981E+00,9.240E+01,2.866E-02,1.209E+01,1.067E+02,3.577E-02,1.504E+01,1.396E+02,4.914E-02,1.773E+01
gammam,1.328E+02,4.543E-02,1.788E+01,1.014E+02,3.147E-02,1.581E+01,8.770E+01,2.419E-02,1.337E+01,8.100E+01,1.952E-02,1.064E+01,7.880E+01,1.632E-02,7.158E+00
gammamRNA,1.309E+02,4.572E-02,1.735E+01,1.030E+02,3.397E-02,1.463E+01,9.040E+01,2.741E-02,1.170E+01,8.420E+01,2.304E-02,8.578E+00,8.210E+01,2.018E-02,4.873E+00
gammad,2.140E+02,6.281E-02,2.004E+01,2.114E+02,6.258E-02,1.998E+01,2.052E+02,6.202E-02,1.984E+01,1.924E+02,6.077E-02,1.949E+01,1.688E+02,5.824E-02,1.868E+01
alphaass,7.490E+01,2.243E-02,3.814E+00,7.890E+01,2.495E-02,7.538E+00,8.640E+01,2.926E-02,1.092E+01,1.009E+02,3.575E-02,1.420E+01,1.325E+02,4.751E-02,1.731E+01
alphadiss,1.331E+02,4.771E-02,1.735E+01,1.007E+02,3.567E-02,1.420E+01,8.620E+01,2.909E-02,1.086E+01,7.860E+01,2.476E-02,7.411E+00,7.460E+01,2.235E-02,3.576E+00
phi0,8.250E+01,2.037E-02,4.421E+00,8.450E+01,2.312E-02,8.217E+00,9.040E+01,2.746E-02,1.141E+01,1.028E+02,3.393E-02,1.442E+01,1.298E+02,4.538E-02,1.723E+01
fm,1.616E+02,5.812E-02,1.830E+01,1.623E+02,5.995E-02,1.815E+01,1.636E+02,6.385E-02,1.782E+01,1.665E+02,7.298E-02,1.712E+01,1.734E+02,1.007E-01,1.534E+01
fd,7.370E+01,3.305E-02,3.261E+00,7.810E+01,3.337E-02,6.658E+00,8.590E+01,3.608E-02,9.986E+00,1.002E+02,4.059E-02,1.342E+01,1.308E+02,4.917E-02,1.691E+01
Km,1.250E+02,4.348E-02,1.715E+01,9.800E+01,3.156E-02,1.418E+01,8.680E+01,2.502E-02,1.106E+01,8.190E+01,2.074E-02,7.778E+00,8.060E+01,1.830E-02,3.920E+00
Kd,7.510E+01,2.878E-02,4.680E+00,7.920E+01,3.031E-02,8.705E+00,8.680E+01,3.367E-02,1.208E+01,1.015E+02,3.898E-02,1.508E+01,1.338E+02,4.912E-02,1.765E+01
kbm,3.037E+02,1.867E-02,3.708E+01,2.389E+02,2.529E-02,3.158E+01,1.915E+02,3.746E-02,2.490E+01,1.554E+02,6.412E-02,1.682E+01,1.213E+02,1.482E-01,7.514E+00
kbd,1.733E+02,1.048E-01,1.083E+01,1.654E+02,6.698E-02,1.607E+01,1.623E+02,5.941E-02,1.781E+01,1.614E+02,5.739E-02,1.836E+01,1.611E+02,5.680E-02,1.853E+01
