,log10_var,log10_left_bound,log10_right_bound
beta,1.9074113607745862,1.8730688781115281,1.9423021187206722
gammam,-0.18795610206977328,-0.2236558781177156,-0.1497775188368506
gammamRNA,-0.5684754158125491,-0.6017189159869869,-0.5286508447079336
gammad,-1.9010103605988227,-3.3010299956639813,-1.0
alphaass,-0.35991626862687964,-0.40155901961877527,-0.3233622725944622
alphadiss,1.8098289610678862,1.7675550737147505,1.8516709116553431
phi0,-1.3912600809312121,-1.4245505452552862,-1.3585670720122307
fm,-1.8395314688809625,-3.0,-0.6959210216068477
fd,1.845035993513415,1.8119156302765071,1.8789343699323555
Km,-0.9645702618154517,-1.0088269684987141,-0.9112399172061061
Kd,-1.8823973083099157,-1.9185871757173483,-1.8450578722708393
kbm,-2.8241983671517206,-3.0,-2.6498865120886212
kbd,0.25527250510330607,-2.3101619788990067,2.0
