,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,2.199E+02,9.874E-04,3.016E-03,2.283E+02,9.799E-04,3.804E-03,2.367E+02,1.032E-03,4.423E-03,2.457E+02,1.136E-03,4.850E-03,2.562E+02,1.310E-03,5.029E-03
gammam,2.670E+02,1.563E-03,4.627E-03,2.519E+02,1.237E-03,4.745E-03,2.396E+02,1.071E-03,4.408E-03,2.289E+02,9.893E-04,3.770E-03,2.183E+02,9.930E-04,2.887E-03
gammamRNA,2.770E+02,1.939E-03,4.427E-03,2.583E+02,1.351E-03,5.005E-03,2.438E+02,1.112E-03,4.764E-03,2.318E+02,9.971E-04,4.082E-03,2.204E+02,9.845E-04,3.068E-03
gammad,2.213E+02,9.803E-04,3.157E-03,2.213E+02,9.804E-04,3.155E-03,2.213E+02,9.806E-04,3.152E-03,2.212E+02,9.813E-04,3.144E-03,2.210E+02,9.829E-04,3.124E-03
alphaass,2.251E+02,9.708E-04,3.509E-03,2.368E+02,1.011E-03,4.418E-03,2.496E+02,1.134E-03,5.031E-03,2.656E+02,1.379E-03,5.222E-03,2.864E+02,1.991E-03,4.578E-03
alphadiss,2.711E+02,1.495E-03,5.144E-03,2.556E+02,1.213E-03,5.161E-03,2.431E+02,1.063E-03,4.764E-03,2.323E+02,9.856E-04,4.098E-03,2.220E+02,9.779E-04,3.216E-03
phi0,2.216E+02,9.794E-04,3.187E-03,2.313E+02,9.933E-04,4.051E-03,2.413E+02,1.081E-03,4.676E-03,2.528E+02,1.247E-03,5.006E-03,2.670E+02,1.567E-03,4.888E-03
fm,2.015E+02,8.778E-04,1.966E-03,2.026E+02,8.717E-04,2.034E-03,2.050E+02,8.617E-04,2.191E-03,2.099E+02,8.596E-04,2.529E-03,2.194E+02,9.457E-04,3.078E-03
fd,2.203E+02,9.888E-04,3.053E-03,2.330E+02,9.537E-04,4.252E-03,2.464E+02,1.016E-03,5.183E-03,2.628E+02,1.166E-03,5.765E-03,2.850E+02,1.495E-03,5.729E-03
Km,2.667E+02,1.427E-03,4.690E-03,2.524E+02,1.197E-03,4.661E-03,2.407E+02,1.068E-03,4.345E-03,2.309E+02,9.978E-04,3.839E-03,2.218E+02,9.801E-04,3.187E-03
Kd,2.213E+02,9.807E-04,3.152E-03,2.325E+02,9.857E-04,3.972E-03,2.442E+02,1.065E-03,4.548E-03,2.581E+02,1.226E-03,4.820E-03,2.755E+02,1.555E-03,4.613E-03
kbm,4.226E+02,3.278E-04,2.157E-02,3.632E+02,3.724E-04,1.888E-02,3.154E+02,4.340E-04,1.559E-02,2.771E+02,5.214E-04,1.164E-02,2.464E+02,6.610E-04,7.103E-03
kbd,2.199E+02,9.053E-04,3.627E-03,2.151E+02,7.780E-04,4.896E-03,2.100E+02,7.089E-04,5.978E-03,2.053E+02,6.631E-04,6.906E-03,2.011E+02,6.300E-04,7.700E-03
