,log10_var,log10_left_bound,log10_right_bound
beta,2.0433622780211294,1.9209558028075993,2.0791812460476247
gammam,-0.018997310058600236,-0.2664438224072516,0.0
gammamRNA,-0.5070999888912966,-0.7262025289301476,-0.3805271382617541
gammad,-3.1275523522109867,-3.3010299956639813,-1.0
alphaass,-1.4556838582525726,-1.7065795798392773,-0.9297043391574049
alphadiss,0.4303975913869668,-0.0620520628453419,0.6788259492509221
phi0,-1.9578184054842338,-2.0,-1.67185744636027
f1,1.373279893277496,1.249427240049911,1.7894612141479087
f2,-0.7510463845042924,-3.0,0.03611825481187718
f12,-1.3390397082239165,-3.0,0.30113311720248004
kb1,-0.29022139815177483,-0.45693629260142155,-0.00841681205106818
kb2,-2.037299268295659,-2.582578979612571,-1.654859786826246
ku1,0.5759956202032677,0.286699237074971,0.7416990446034349
ku2,-1.5684754158125491,-2.0,-1.2071018721789393
bcoop,-0.5389519083293421,-1.262330717791519,0.4924441980106653
ucoop,-1.1819061308533643,-1.3010299956639813,-0.5854195223345489
