,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,3.308000E+02,1.502041E-03,6.854323E-01,2.439000E+02,1.883850E-03,7.695242E-01,1.994000E+02,2.444593E-03,8.426426E-01,1.703000E+02,3.326123E-03,9.072788E-01,1.481000E+02,4.913847E-03,9.563283E-01
gammam,1.885000E+02,5.173368E-03,7.820032E-01,2.080000E+02,3.158820E-03,7.818117E-01,2.330000E+02,2.209086E-03,7.652863E-01,2.730000E+02,1.652047E-03,7.418363E-01,3.552000E+02,1.290554E-03,7.093507E-01
gammamRNA,1.471000E+02,5.120829E-03,9.714294E-01,1.685000E+02,3.441100E-03,9.198217E-01,1.961000E+02,2.517948E-03,8.527740E-01,2.379000E+02,1.933987E-03,7.783578E-01,3.170000E+02,1.537082E-03,6.949094E-01
gammad,2.608000E+02,1.765459E-03,7.492311E-01,2.609000E+02,1.765940E-03,7.487340E-01,2.609000E+02,1.767106E-03,7.475173E-01,2.611000E+02,1.769931E-03,7.446465E-01,2.615000E+02,1.776799E-03,7.377290E-01
alphaass,3.373000E+02,1.446463E-03,6.875288E-01,2.502000E+02,1.849105E-03,7.597426E-01,2.055000E+02,2.461164E-03,8.193207E-01,1.763000E+02,3.470149E-03,8.683242E-01,1.537000E+02,5.430726E-03,8.974352E-01
alphadiss,1.548000E+02,5.425281E-03,8.947868E-01,1.773000E+02,3.484304E-03,8.660699E-01,2.062000E+02,2.471263E-03,8.180928E-01,2.501000E+02,1.852780E-03,7.598549E-01,3.343000E+02,1.444302E-03,6.894361E-01
phi0,3.298000E+02,1.504588E-03,6.861769E-01,2.438000E+02,1.884141E-03,7.695837E-01,1.997000E+02,2.439958E-03,8.421962E-01,1.706000E+02,3.310160E-03,9.064281E-01,1.485000E+02,4.866022E-03,9.555620E-01
f1,2.668000E+02,1.353477E-03,7.562633E-01,2.663000E+02,1.389055E-03,7.555618E-01,2.639000E+02,1.552952E-03,7.523594E-01,2.528000E+02,2.398947E-03,7.358829E-01,1.987000E+02,8.421538E-03,6.130401E-01
f2,3.863000E+02,1.840626E-03,5.224306E-01,3.010000E+02,1.777054E-03,6.461614E-01,2.549000E+02,1.768201E-03,7.674636E-01,2.240000E+02,1.807408E-03,8.908585E-01,2.011000E+02,1.904142E-03,1.018027E+00
f12,2.610000E+02,1.758636E-03,7.481043E-01,2.610000E+02,1.762840E-03,7.481657E-01,2.607000E+02,1.778117E-03,7.483804E-01,2.598000E+02,1.835686E-03,7.491241E-01,2.563000E+02,2.086827E-03,7.514132E-01
kb1,2.625000E+02,1.928478E-03,1.046985E+00,2.608000E+02,1.756220E-03,7.242120E-01,2.614000E+02,1.681795E-03,4.708581E-01,2.653000E+02,1.713010E-03,2.766785E-01,2.763000E+02,2.001418E-03,1.289449E-01
kb2,3.774000E+02,1.680204E-03,6.986152E-01,2.887000E+02,1.722399E-03,7.366837E-01,2.424000E+02,1.817079E-03,7.546407E-01,2.124000E+02,1.982240E-03,7.600767E-01,1.905000E+02,2.274849E-03,7.552677E-01
ku1,2.696000E+02,1.653038E-03,7.431716E-01,2.500000E+02,1.938444E-03,7.549424E-01,2.324000E+02,2.316878E-03,7.666210E-01,2.169000E+02,2.851023E-03,7.778960E-01,2.024000E+02,3.699032E-03,7.875987E-01
ku2,1.908000E+02,2.284786E-03,7.546017E-01,2.126000E+02,1.986361E-03,7.595892E-01,2.424000E+02,1.818479E-03,7.544923E-01,2.881000E+02,1.722081E-03,7.371564E-01,3.748000E+02,1.678175E-03,7.002903E-01
bcoop,2.587000E+02,2.244845E-03,1.234163E+00,2.587000E+02,2.047778E-03,1.072325E+00,2.592000E+02,1.904820E-03,9.244072E-01,2.604000E+02,1.796818E-03,7.902892E-01,2.621000E+02,1.713816E-03,6.696674E-01
ucoop,3.851000E+02,9.380227E-04,6.537359E-01,3.335000E+02,1.080229E-03,6.796973E-01,2.991000E+02,1.253649E-03,7.050785E-01,2.749000E+02,1.494669E-03,7.298922E-01,2.564000E+02,1.902405E-03,7.549282E-01
