,log10_var,log10_left_bound,log10_right_bound
beta,1.276921132065774,1.0689134430186302,2.0791812460476247
gammam,-0.10045306890913301,-0.6016442864902691,0.0
gammamRNA,0.8109713998222075,-0.09338997728403899,1.0
gammad,-2.4414114168918006,-3.3010299956639813,-1.0
alphaass,-1.8610660597430764,-2.0,-0.7015346670515894
alphadiss,0.5461723683169426,-0.5031344945737151,0.9631313604193371
phi0,0.5972562829251418,0.39180925273282097,1.0
f1,-1.573163546196492,-3.0,1.0613466856183043
f2,1.9170326221623935,1.6625377696481287,2.0
f12,-1.7602001815529014,-3.0,0.1529485436317291
kb1,-2.820161071976813,-3.0,-1.9775743220902415
kb2,0.8900295861634169,0.559529025620236,1.8655895201994763
ku1,-1.047401265470227,-2.0,-0.15807969835030403
ku2,2.821971817642043,1.8472177490366692,3.0
bcoop,1.2579184503140584,-0.19648388909924153,1.3010299956639813
ucoop,-1.1746388040473668,-1.3010299956639813,-0.24142771353117504
