,log10_var,log10_left_bound,log10_right_bound
beta,-0.11970100857424741,-0.2629269083117559,-0.09822754905645568
gammam,-0.12918657608440248,-0.14881127722445048,0.0
gammamRNA,-0.025764722556973572,-0.04609640902386926,0.11447654810511265
gammad,-1.0383416513622847,-3.3010299956639813,-1.0
alphaass,-1.520280764560429,-1.8088618671295458,-1.4757412890361976
alphadiss,1.0386201619497029,0.9952365469287587,1.325931661664102
phi0,0.40925665203890976,0.26338369068499135,0.43233256406863985
f1,1.6695957810243134,1.427907718139266,1.7031524595140315
f2,-0.05462990550969621,-3.0,0.09384920875565295
f12,-0.341035157335565,-3.0,0.020179251706446008
kb1,0.4151403521958728,0.15166761018076153,0.43680835519319483
kb2,-1.86518562967954,-1.9139471846542473,-0.9177621989670746
ku1,0.6831371314830071,0.6595548715383323,0.9501193760972699
ku2,-1.8002448227465253,-2.0,-1.7580551709841048
bcoop,0.021189299069938092,-0.04853710905079594,1.3010299956639813
ucoop,-0.4252744164059267,-1.3010299956639813,-0.36121233861427
