,log10_var,log10_left_bound,log10_right_bound
beta,1.466274321789292,1.2259369420558548,1.4806393278265966
gammam,-0.5148466500963477,-0.5197004652328783,-0.2534010855942961
gammamRNA,0.35831564008219585,0.34847682473039254,0.6014538545823014
gammad,-1.6974526275125144,-1.882239863295594,-1.0
alphaass,-1.8309136425129773,-2.0,-1.8130336264728117
alphadiss,-0.4621809049267259,-0.4671375828467909,0.15654869038732763
phi0,-1.5512936800949202,-1.7931744306687523,-1.5363446936881142
f1,1.9448773059636955,1.8048368353846456,1.9689934846045785
f2,-0.7741740085381067,-3.0,-0.7227000767390598
f12,-1.1853529305481438,-3.0,-0.6969736238137116
kb1,0.1693804953119495,-0.05037147262471885,0.18725763891241876
kb2,-1.0424884885455203,-1.2833541628065208,-0.9919784257474014
ku1,0.6271609523747759,0.6092018443019014,0.8449801618247477
ku2,-1.8604357338241502,-2.0,-1.8461961760102121
bcoop,-0.15795271149036197,-0.24279047867512277,0.39771453049224925
ucoop,-0.6852903070448263,-1.3010299956639813,-0.650374520473773
