,log10_var,log10_left_bound,log10_right_bound
beta,-0.7399286120149252,-0.7743836890301421,-0.22511069848201817
gammam,-0.5154154707171571,-0.8211358327187568,-0.479175320432357
gammamRNA,-0.4458744184869873,-0.8100368549136472,-0.40916276333009116
gammad,-1.4849213249240774,-3.3010299956639813,-1.0
alphaass,-0.15107228677292164,-0.21968483863095772,0.0
alphadiss,2.9105710484812586,2.0361066794920877,2.9804374168552754
phi0,0.9598995878659435,0.9281037915119148,1.0
f1,1.5157414166693652,1.4848720905788517,2.0
f2,-1.5700863022362455,-3.0,-0.2487360009202913
f12,-1.1806535159195473,-3.0,0.2450495737357967
kb1,0.3362595520141933,0.2939046944202631,0.9569127269463984
kb2,-2.0996875030162734,-3.0,-1.9915902739328368
ku1,1.4027770696103474,0.8013096383608623,1.4433315580772723
ku2,-1.6474316138206915,-1.8099436043252166,-1.179965347977399
bcoop,0.911370707116138,-1.3010299956639813,1.1396866964996397
ucoop,-0.3439976793170428,-0.6542855006326517,0.5395621070497183
